timestep,apple_num
50,4
50,5
100,3
100,4
150,2
150,4
200,2
200,4
250,2
250,4
300,2
300,4
350,2
350,4
400,2
400,4
450,2
450,4
500,2
500,4
550,2
550,4
600,2
600,4
650,2
650,4
700,2
700,4
750,2
750,4
800,2
800,4
850,2
850,4
900,2
900,4
950,2
950,4
1000,2
1000,4
50,5
50,5
100,5
100,5
150,5
150,5
200,5
200,5
250,5
250,5
300,5
300,5
350,5
350,5
400,5
400,5
450,5
450,5
500,5
500,5
550,5
550,5
600,5
600,5
650,5
650,5
700,5
700,5
750,5
750,5
800,5
800,5
850,5
850,5
900,5
900,5
950,5
950,5
1000,5
1000,5
