"Step","cleanup_cbamcausal - SW_ep_rew_total","cleanup_cbamcausal - SW_ep_rew_total__MIN","cleanup_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4277.265625","-4277.265625","-4277.265625"
"128000","-4344.3800048828125","-4344.3800048828125","-4344.3800048828125"
"192000","-3844.97998046875","-3844.97998046875","-3844.97998046875"
"256000","-3191.6300048828125","-3191.6300048828125","-3191.6300048828125"
"320000","-2909.3300170898438","-2909.3300170898438","-2909.3300170898438"
"384000","-2517.0800170898438","-2517.0800170898438","-2517.0800170898438"
"448000","-2150.3199768066406","-2150.3199768066406","-2150.3199768066406"
"512000","-1876.9199829101562","-1876.9199829101562","-1876.9199829101562"
"576000","-1591.3099975585938","-1591.3099975585938","-1591.3099975585938"
"640000","-1329.5500183105469","-1329.5500183105469","-1329.5500183105469"
"704000","-1098.479995727539","-1098.479995727539","-1098.479995727539"
"768000","-966.2200012207031","-966.2200012207031","-966.2200012207031"
"832000","-779.5299987792969","-779.5299987792969","-779.5299987792969"
"896000","-595.2200088500977","-595.2200088500977","-595.2200088500977"
"960000","-529.3499984741211","-529.3499984741211","-529.3499984741211"
"1024000","-527.0100021362305","-527.0100021362305","-527.0100021362305"
"1088000","-508.55999755859375","-508.55999755859375","-508.55999755859375"
"1152000","-422.7999954223633","-422.7999954223633","-422.7999954223633"
"1216000","-378.73999786376953","-378.73999786376953","-378.73999786376953"
"1280000","-367.5199966430664","-367.5199966430664","-367.5199966430664"
"1344000","-307.35000228881836","-307.35000228881836","-307.35000228881836"
"1408000","-277.45000076293945","-277.45000076293945","-277.45000076293945"
"1472000","-281.36000061035156","-281.36000061035156","-281.36000061035156"
"1536000","-254.57000350952148","-254.57000350952148","-254.57000350952148"
"1600000","-237.77000045776367","-237.77000045776367","-237.77000045776367"
"1664000","-213.84999465942383","-213.84999465942383","-213.84999465942383"
"1728000","-187.68999862670898","-187.68999862670898","-187.68999862670898"
"1792000","-161.18999862670898","-161.18999862670898","-161.18999862670898"
"1856000","-146.25","-146.25","-146.25"
"1920000","-113.94000053405762","-113.94000053405762","-113.94000053405762"
"1984000","-135.28000259399414","-135.28000259399414","-135.28000259399414"
"2048000","-113.30999946594238","-113.30999946594238","-113.30999946594238"
"2112000","-95.69000053405762","-95.69000053405762","-95.69000053405762"
"2176000","-78.25999927520752","-78.25999927520752","-78.25999927520752"
"2240000","-73.35999965667725","-73.35999965667725","-73.35999965667725"
"2304000","-55.80000019073486","-55.80000019073486","-55.80000019073486"
"2368000","-44.890000343322754","-44.890000343322754","-44.890000343322754"
"2432000","-34.269999980926514","-34.269999980926514","-34.269999980926514"
"2496000","-37.540000438690186","-37.540000438690186","-37.540000438690186"
"2560000","-34.99000024795532","-34.99000024795532","-34.99000024795532"
"2624000","-19.949999809265137","-19.949999809265137","-19.949999809265137"
"2688000","-9.999999821186066","-9.999999821186066","-9.999999821186066"
"2752000","-4.619999915361404","-4.619999915361404","-4.619999915361404"
"2816000","-4.480000078678131","-4.480000078678131","-4.480000078678131"
"2880000","5.520000010728836","5.520000010728836","5.520000010728836"
"2944000","8.569999933242798","8.569999933242798","8.569999933242798"
"3008000","12.350000143051147","12.350000143051147","12.350000143051147"
"3072000","11.750000059604645","11.750000059604645","11.750000059604645"
"3136000","9.18000003695488","9.18000003695488","9.18000003695488"
"3200000","12.099999964237213","12.099999964237213","12.099999964237213"
"3264000","13.79999989271164","13.79999989271164","13.79999989271164"
"3328000","15.769999980926514","15.769999980926514","15.769999980926514"
"3392000","14.069999933242798","14.069999933242798","14.069999933242798"
"3456000","18.52999973297119","18.52999973297119","18.52999973297119"
"3520000","17.48999971151352","17.48999971151352","17.48999971151352"
"3584000","16.84000015258789","16.84000015258789","16.84000015258789"
"3648000","20.21999979019165","20.21999979019165","20.21999979019165"
"3712000","21.980000019073486","21.980000019073486","21.980000019073486"
"3776000","22.239999532699585","22.239999532699585","22.239999532699585"
"3840000","20.609999775886536","20.609999775886536","20.609999775886536"
"3904000","21.15999972820282","21.15999972820282","21.15999972820282"
"3968000","25.880000114440918","25.880000114440918","25.880000114440918"
"4032000","24.610000133514404","24.610000133514404","24.610000133514404"
"4096000","23.49999976158142","23.49999976158142","23.49999976158142"
"4160000","26.37000012397766","26.37000012397766","26.37000012397766"
"4224000","23.239999771118164","23.239999771118164","23.239999771118164"
"4288000","20.700000047683716","20.700000047683716","20.700000047683716"
"4352000","24.050000190734863","24.050000190734863","24.050000190734863"
"4416000","24.84999990463257","24.84999990463257","24.84999990463257"
"4480000","26.889999389648438","26.889999389648438","26.889999389648438"
"4544000","26.62000036239624","26.62000036239624","26.62000036239624"
"4608000","26.820000648498535","26.820000648498535","26.820000648498535"
"4672000","30.270000457763672","30.270000457763672","30.270000457763672"
"4736000","28.929999828338623","28.929999828338623","28.929999828338623"
"4800000","26.110000371932983","26.110000371932983","26.110000371932983"
"4864000","26.139999866485596","26.139999866485596","26.139999866485596"
"4928000","25.450000047683716","25.450000047683716","25.450000047683716"
"4992000","25.49999976158142","25.49999976158142","25.49999976158142"
"5056000","26.369999885559082","26.369999885559082","26.369999885559082"
"5120000","25.019999504089355","25.019999504089355","25.019999504089355"
"5184000","26.399999618530273","26.399999618530273","26.399999618530273"
