"Step","cleanup_cbaminequity_aversion - SW_ep_rew_total","cleanup_cbaminequity_aversion - SW_ep_rew_total__MIN","cleanup_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","-6372.621826171875","-6372.621826171875","-6372.621826171875"
"128000","-6220.2967529296875","-6220.2967529296875","-6220.2967529296875"
"192000","-5808.38720703125","-5808.38720703125","-5808.38720703125"
"256000","-4747.000183105469","-4747.000183105469","-4747.000183105469"
"320000","-3753.8613891601562","-3753.8613891601562","-3753.8613891601562"
"384000","-3154.71337890625","-3154.71337890625","-3154.71337890625"
"448000","-2862.7488403320312","-2862.7488403320312","-2862.7488403320312"
"512000","-2442.5551147460938","-2442.5551147460938","-2442.5551147460938"
"576000","-1968.5386352539062","-1968.5386352539062","-1968.5386352539062"
"640000","-1655.3218688964844","-1655.3218688964844","-1655.3218688964844"
"704000","-1298.587417602539","-1298.587417602539","-1298.587417602539"
"768000","-1115.1126251220703","-1115.1126251220703","-1115.1126251220703"
"832000","-932.6078033447266","-932.6078033447266","-932.6078033447266"
"896000","-726.3202133178711","-726.3202133178711","-726.3202133178711"
"960000","-601.242561340332","-601.242561340332","-601.242561340332"
"1024000","-565.5851058959961","-565.5851058959961","-565.5851058959961"
"1088000","-517.1126098632812","-517.1126098632812","-517.1126098632812"
"1152000","-467.88006591796875","-467.88006591796875","-467.88006591796875"
"1216000","-389.8975372314453","-389.8975372314453","-389.8975372314453"
"1280000","-346.04000091552734","-346.04000091552734","-346.04000091552734"
"1344000","-296.7774848937988","-296.7774848937988","-296.7774848937988"
"1408000","-287.06249237060547","-287.06249237060547","-287.06249237060547"
"1472000","-224.6574821472168","-224.6574821472168","-224.6574821472168"
"1536000","-212.434965133667","-212.434965133667","-212.434965133667"
"1600000","-233.25500106811523","-233.25500106811523","-233.25500106811523"
"1664000","-200.67498779296875","-200.67498779296875","-200.67498779296875"
"1728000","-168.54748153686523","-168.54748153686523","-168.54748153686523"
"1792000","-155.7174777984619","-155.7174777984619","-155.7174777984619"
"1856000","-131.88997077941895","-131.88997077941895","-131.88997077941895"
"1920000","-103.33497047424316","-103.33497047424316","-103.33497047424316"
