"Step","cleanup_cbam_baseline - SW_ep_rew_total","cleanup_cbam_baseline - SW_ep_rew_total__MIN","cleanup_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-4971.421875","-4971.421875","-4971.421875"
"128000","-4732.81005859375","-4732.81005859375","-4732.81005859375"
"192000","-4408.470031738281","-4408.470031738281","-4408.470031738281"
"256000","-4750.5999755859375","-4750.5999755859375","-4750.5999755859375"
"320000","-4700.27001953125","-4700.27001953125","-4700.27001953125"
"384000","-4444.149963378906","-4444.149963378906","-4444.149963378906"
"448000","-4070.1799926757812","-4070.1799926757812","-4070.1799926757812"
"512000","-3792.9000854492188","-3792.9000854492188","-3792.9000854492188"
"576000","-3520.8400268554688","-3520.8400268554688","-3520.8400268554688"
"640000","-3193.2000122070312","-3193.2000122070312","-3193.2000122070312"
"704000","-3292.300048828125","-3292.300048828125","-3292.300048828125"
"768000","-3228.4200439453125","-3228.4200439453125","-3228.4200439453125"
"832000","-3135.3699951171875","-3135.3699951171875","-3135.3699951171875"
"896000","-3185.0499877929688","-3185.0499877929688","-3185.0499877929688"
"960000","-3555.4800415039062","-3555.4800415039062","-3555.4800415039062"
"1024000","-3370.3800048828125","-3370.3800048828125","-3370.3800048828125"
"1088000","-3179.1300048828125","-3179.1300048828125","-3179.1300048828125"
"1152000","-3325.5199584960938","-3325.5199584960938","-3325.5199584960938"
"1216000","-3106.8400268554688","-3106.8400268554688","-3106.8400268554688"
"1280000","-3080.3499755859375","-3080.3499755859375","-3080.3499755859375"
"1344000","-3037.97998046875","-3037.97998046875","-3037.97998046875"
"1408000","-3195.27001953125","-3195.27001953125","-3195.27001953125"
"1472000","-3374.1300048828125","-3374.1300048828125","-3374.1300048828125"
"1536000","-3497.4299926757812","-3497.4299926757812","-3497.4299926757812"
"1600000","-3270.6699829101562","-3270.6699829101562","-3270.6699829101562"
"1664000","-3155.3500366210938","-3155.3500366210938","-3155.3500366210938"
"1728000","-2875.5800170898438","-2875.5800170898438","-2875.5800170898438"
"1792000","-2935.4600219726562","-2935.4600219726562","-2935.4600219726562"
"1856000","-2961.3599853515625","-2961.3599853515625","-2961.3599853515625"
"1920000","-2878.8299560546875","-2878.8299560546875","-2878.8299560546875"
"1984000","-3000.239990234375","-3000.239990234375","-3000.239990234375"
"2048000","-2777.8400268554688","-2777.8400268554688","-2777.8400268554688"
"2112000","-2558.3600158691406","-2558.3600158691406","-2558.3600158691406"
"2176000","-2257.719970703125","-2257.719970703125","-2257.719970703125"
"2240000","-2291.1900024414062","-2291.1900024414062","-2291.1900024414062"
"2304000","-2299.029998779297","-2299.029998779297","-2299.029998779297"
"2368000","-2137.0499877929688","-2137.0499877929688","-2137.0499877929688"
"2432000","-2088.040008544922","-2088.040008544922","-2088.040008544922"
"2496000","-1906.2400207519531","-1906.2400207519531","-1906.2400207519531"
"2560000","-1712.3000183105469","-1712.3000183105469","-1712.3000183105469"
"2624000","-1549.510009765625","-1549.510009765625","-1549.510009765625"
"2688000","-1304.0800018310547","-1304.0800018310547","-1304.0800018310547"
"2752000","-1154.8000030517578","-1154.8000030517578","-1154.8000030517578"
"2816000","-973.2999725341797","-973.2999725341797","-973.2999725341797"
"2880000","-891.1999969482422","-891.1999969482422","-891.1999969482422"
"2944000","-809.0599975585938","-809.0599975585938","-809.0599975585938"
"3008000","-794.0599975585938","-794.0599975585938","-794.0599975585938"
"3072000","-777.7100067138672","-777.7100067138672","-777.7100067138672"
"3136000","-702.5599975585938","-702.5599975585938","-702.5599975585938"
"3200000","-616.7000122070312","-616.7000122070312","-616.7000122070312"
"3264000","-509.20999908447266","-509.20999908447266","-509.20999908447266"
"3328000","-471.0899963378906","-471.0899963378906","-471.0899963378906"
"3392000","-443.3499984741211","-443.3499984741211","-443.3499984741211"
"3456000","-354.87000274658203","-354.87000274658203","-354.87000274658203"
"3520000","-325.6700019836426","-325.6700019836426","-325.6700019836426"
"3584000","-323.72999572753906","-323.72999572753906","-323.72999572753906"
"3648000","-287.7200050354004","-287.7200050354004","-287.7200050354004"
"3712000","-259.76000213623047","-259.76000213623047","-259.76000213623047"
"3776000","-203.03999710083008","-203.03999710083008","-203.03999710083008"
"3840000","-173.45000076293945","-173.45000076293945","-173.45000076293945"
"3904000","-151.92000198364258","-151.92000198364258","-151.92000198364258"
"3968000","-153.3000030517578","-153.3000030517578","-153.3000030517578"
"4032000","-142.43999862670898","-142.43999862670898","-142.43999862670898"
"4096000","-113.69000053405762","-113.69000053405762","-113.69000053405762"
"4160000","-98.94000053405762","-98.94000053405762","-98.94000053405762"
"4224000","-91.16000175476074","-91.16000175476074","-91.16000175476074"
