"Step","cleanup_cbam_causal - SW_ep_rew_total","cleanup_cbam_causal - SW_ep_rew_total__MIN","cleanup_cbam_causal - SW_ep_rew_total__MAX"
"64000","-4277.265625","-4277.265625","-4277.265625"
"128000","-4481.7900390625","-4481.7900390625","-4481.7900390625"
"192000","-4481.580078125","-4481.580078125","-4481.580078125"
"256000","-3971.6400146484375","-3971.6400146484375","-3971.6400146484375"
"320000","-3513.320068359375","-3513.320068359375","-3513.320068359375"
"384000","-3262.1599731445312","-3262.1599731445312","-3262.1599731445312"
"448000","-2910.3400268554688","-2910.3400268554688","-2910.3400268554688"
"512000","-2471.1499633789062","-2471.1499633789062","-2471.1499633789062"
"576000","-2096.6400146484375","-2096.6400146484375","-2096.6400146484375"
"640000","-1834.1199951171875","-1834.1199951171875","-1834.1199951171875"
"704000","-1540.6700134277344","-1540.6700134277344","-1540.6700134277344"
"768000","-1284.8800048828125","-1284.8800048828125","-1284.8800048828125"
"832000","-1035.1400146484375","-1035.1400146484375","-1035.1400146484375"
"896000","-811.5599822998047","-811.5599822998047","-811.5599822998047"
"960000","-675.390007019043","-675.390007019043","-675.390007019043"
"1024000","-593.8899993896484","-593.8899993896484","-593.8899993896484"
"1088000","-505.8399963378906","-505.8399963378906","-505.8399963378906"
"1152000","-450.84000396728516","-450.84000396728516","-450.84000396728516"
"1216000","-429.1500015258789","-429.1500015258789","-429.1500015258789"
"1280000","-367.12999725341797","-367.12999725341797","-367.12999725341797"
"1344000","-324.00999450683594","-324.00999450683594","-324.00999450683594"
"1408000","-293.03000259399414","-293.03000259399414","-293.03000259399414"
"1472000","-234.0800018310547","-234.0800018310547","-234.0800018310547"
"1536000","-204.88000106811523","-204.88000106811523","-204.88000106811523"
"1600000","-151.34000396728516","-151.34000396728516","-151.34000396728516"
"1664000","-133.2299976348877","-133.2299976348877","-133.2299976348877"
"1728000","-113.21000099182129","-113.21000099182129","-113.21000099182129"
"1792000","-92.48999786376953","-92.48999786376953","-92.48999786376953"
"1856000","-81.85999965667725","-81.85999965667725","-81.85999965667725"
"1920000","-54.34000062942505","-54.34000062942505","-54.34000062942505"
"1984000","-42.55999958515167","-42.55999958515167","-42.55999958515167"
"2048000","-34.83999955654144","-34.83999955654144","-34.83999955654144"
"2112000","-24.609999895095825","-24.609999895095825","-24.609999895095825"
"2176000","-13.360000312328339","-13.360000312328339","-13.360000312328339"
"2240000","-4.979999780654907","-4.979999780654907","-4.979999780654907"
"2304000","-1.0899999141693115","-1.0899999141693115","-1.0899999141693115"
"2368000","2.319999873638153","2.319999873638153","2.319999873638153"
"2432000","1.9199998378753662","1.9199998378753662","1.9199998378753662"
"2496000","1.3199999332427979","1.3199999332427979","1.3199999332427979"
"2560000","11.269999787211418","11.269999787211418","11.269999787211418"
"2624000","13.069999814033508","13.069999814033508","13.069999814033508"
