"Step","coin3_cbamsvo - SW_ep_rew_total","coin3_cbamsvo - SW_ep_rew_total__MIN","coin3_cbamsvo - SW_ep_rew_total__MAX"
"64000","-0.6800000667572021","-0.6800000667572021","-0.6800000667572021"
"128000","-2.950000047683716","-2.950000047683716","-2.950000047683716"
"192000","-4.29999977350235","-4.29999977350235","-4.29999977350235"
"256000","-3.1200000047683716","-3.1200000047683716","-3.1200000047683716"
"320000","-0.7599998712539673","-0.7599998712539673","-0.7599998712539673"
"384000","-3.510000228881836","-3.510000228881836","-3.510000228881836"
"448000","-2.489999771118164","-2.489999771118164","-2.489999771118164"
"512000","-4.240000009536743","-4.240000009536743","-4.240000009536743"
"576000","-3.940000146627426","-3.940000146627426","-3.940000146627426"
"640000","-3.4600001871585846","-3.4600001871585846","-3.4600001871585846"
"704000","-2.180000066757202","-2.180000066757202","-2.180000066757202"
"768000","-2.6600000262260437","-2.6600000262260437","-2.6600000262260437"
"832000","-4.8700001537799835","-4.8700001537799835","-4.8700001537799835"
"896000","-4.180000185966492","-4.180000185966492","-4.180000185966492"
"960000","-3.1999997794628143","-3.1999997794628143","-3.1999997794628143"
"1024000","-2.6000001430511475","-2.6000001430511475","-2.6000001430511475"
"1088000","-2.6399997770786285","-2.6399997770786285","-2.6399997770786285"
"1152000","-4.500000059604645","-4.500000059604645","-4.500000059604645"
"1216000","-4.700000047683716","-4.700000047683716","-4.700000047683716"
"1280000","-2.9400001168251038","-2.9400001168251038","-2.9400001168251038"
"1344000","-5.1999998688697815","-5.1999998688697815","-5.1999998688697815"
"1408000","-2.7800002098083496","-2.7800002098083496","-2.7800002098083496"
"1472000","-4.139999866485596","-4.139999866485596","-4.139999866485596"
"1536000","-3.840000033378601","-3.840000033378601","-3.840000033378601"
"1600000","-4.35999995470047","-4.35999995470047","-4.35999995470047"
"1664000","-3.8600001335144043","-3.8600001335144043","-3.8600001335144043"
"1728000","-3.200000047683716","-3.200000047683716","-3.200000047683716"
"1792000","-4.029999881982803","-4.029999881982803","-4.029999881982803"
"1856000","-4.659999847412109","-4.659999847412109","-4.659999847412109"
"1920000","-3.7400002107024193","-3.7400002107024193","-3.7400002107024193"
"1984000","-4.080000221729279","-4.080000221729279","-4.080000221729279"
"2048000","-4.219999846071005","-4.219999846071005","-4.219999846071005"
"2112000","-5.1599999368190765","-5.1599999368190765","-5.1599999368190765"
"2176000","-3.600000023841858","-3.600000023841858","-3.600000023841858"
"2240000","-4.690000206232071","-4.690000206232071","-4.690000206232071"
"2304000","-4.78000009059906","-4.78000009059906","-4.78000009059906"
"2368000","-5.800000309944153","-5.800000309944153","-5.800000309944153"
"2432000","-5.359999842941761","-5.359999842941761","-5.359999842941761"
"2496000","-4.660000026226044","-4.660000026226044","-4.660000026226044"
"2560000","-4.460000246763229","-4.460000246763229","-4.460000246763229"
"2624000","-5.720000209286809","-5.720000209286809","-5.720000209286809"
"2688000","-7.199999809265137","-7.199999809265137","-7.199999809265137"
"2752000","-3.6199997663497925","-3.6199997663497925","-3.6199997663497925"
"2816000","-5.400000028312206","-5.400000028312206","-5.400000028312206"
"2880000","-5.960000067949295","-5.960000067949295","-5.960000067949295"
"2944000","-6.5700002908706665","-6.5700002908706665","-6.5700002908706665"
"3008000","-6.119999974966049","-6.119999974966049","-6.119999974966049"
"3072000","-8.059999942779541","-8.059999942779541","-8.059999942779541"
"3136000","-7.820000052452087","-7.820000052452087","-7.820000052452087"
"3200000","-7.669999957084656","-7.669999957084656","-7.669999957084656"
"3264000","-8.489999651908875","-8.489999651908875","-8.489999651908875"
"3328000","-8.519999980926514","-8.519999980926514","-8.519999980926514"
"3392000","-7.259999930858612","-7.259999930858612","-7.259999930858612"
"3456000","-7.88000001013279","-7.88000001013279","-7.88000001013279"
"3520000","-8.550000041723251","-8.550000041723251","-8.550000041723251"
"3584000","-7.9799997210502625","-7.9799997210502625","-7.9799997210502625"
"3648000","-8.500000238418579","-8.500000238418579","-8.500000238418579"
"3712000","-8.200000047683716","-8.200000047683716","-8.200000047683716"
"3776000","-8.820000171661377","-8.820000171661377","-8.820000171661377"
"3840000","-8.21999979019165","-8.21999979019165","-8.21999979019165"
"3904000","-10.910000264644623","-10.910000264644623","-10.910000264644623"
"3968000","-10.459999725222588","-10.459999725222588","-10.459999725222588"
"4032000","-9.139999955892563","-9.139999955892563","-9.139999955892563"
"4096000","-8.979999899864197","-8.979999899864197","-8.979999899864197"
"4160000","-9.56000030040741","-9.56000030040741","-9.56000030040741"
"4224000","-10.680000245571136","-10.680000245571136","-10.680000245571136"
"4288000","-10.400000303983688","-10.400000303983688","-10.400000303983688"
"4352000","-10.840000212192535","-10.840000212192535","-10.840000212192535"
"4416000","-9.759999871253967","-9.759999871253967","-9.759999871253967"
"4480000","-10.380000114440918","-10.380000114440918","-10.380000114440918"
"4544000","-10.020000398159027","-10.020000398159027","-10.020000398159027"
"4608000","-10.140000253915787","-10.140000253915787","-10.140000253915787"
"4672000","-11.43999981880188","-11.43999981880188","-11.43999981880188"
"4736000","-11.620000123977661","-11.620000123977661","-11.620000123977661"
"4800000","-10.580000042915344","-10.580000042915344","-10.580000042915344"
"4864000","-11.0600004196167","-11.0600004196167","-11.0600004196167"
"4928000","-9.819999903440475","-9.819999903440475","-9.819999903440475"
"4992000","-10.040000438690186","-10.040000438690186","-10.040000438690186"
