"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"64000","-29826.9287109375","-29826.9287109375","-29826.9287109375"
"128000","-25805.03173828125","-25805.03173828125","-25805.03173828125"
"192000","-21271.248046875","-21271.248046875","-21271.248046875"
"256000","-17581.8251953125","-17581.8251953125","-17581.8251953125"
"320000","-14328.535888671875","-14328.535888671875","-14328.535888671875"
"384000","-11809.660400390625","-11809.660400390625","-11809.660400390625"
"448000","-9344.79736328125","-9344.79736328125","-9344.79736328125"
"512000","-7722.372802734375","-7722.372802734375","-7722.372802734375"
"576000","-5912.1534423828125","-5912.1534423828125","-5912.1534423828125"
"640000","-4736.7467041015625","-4736.7467041015625","-4736.7467041015625"
"704000","-3629.5040283203125","-3629.5040283203125","-3629.5040283203125"
"768000","-2896.266845703125","-2896.266845703125","-2896.266845703125"
"832000","-2457.5972290039062","-2457.5972290039062","-2457.5972290039062"
"896000","-1931.1327209472656","-1931.1327209472656","-1931.1327209472656"
"960000","-1528.9401550292969","-1528.9401550292969","-1528.9401550292969"
"1024000","-1280.0675506591797","-1280.0675506591797","-1280.0675506591797"
"1088000","-912.2300567626953","-912.2300567626953","-912.2300567626953"
"1152000","-664.5024795532227","-664.5024795532227","-664.5024795532227"
"1216000","-506.7649612426758","-506.7649612426758","-506.7649612426758"
"1280000","-346.5299758911133","-346.5299758911133","-346.5299758911133"
"1344000","-407.85994720458984","-407.85994720458984","-407.85994720458984"
"1408000","-376.6224899291992","-376.6224899291992","-376.6224899291992"
"1472000","-570.4299697875977","-570.4299697875977","-570.4299697875977"
"1536000","-574.9474716186523","-574.9474716186523","-574.9474716186523"
"1600000","-407.9324645996094","-407.9324645996094","-407.9324645996094"
"1664000","-376.11499786376953","-376.11499786376953","-376.11499786376953"
"1728000","-328.0399589538574","-328.0399589538574","-328.0399589538574"
"1792000","-296.0949821472168","-296.0949821472168","-296.0949821472168"
"1856000","-267.33496475219727","-267.33496475219727","-267.33496475219727"
"1920000","-134.53248405456543","-134.53248405456543","-134.53248405456543"
"1984000","-538.6399917602539","-538.6399917602539","-538.6399917602539"
"2048000","-354.1975326538086","-354.1975326538086","-354.1975326538086"
"2112000","-84.71749019622803","-84.71749019622803","-84.71749019622803"
"2176000","-69.03998184204102","-69.03998184204102","-69.03998184204102"
"2240000","-102.7449779510498","-102.7449779510498","-102.7449779510498"
"2304000","7.342496186494827","7.342496186494827","7.342496186494827"
"2368000","-294.15502548217773","-294.15502548217773","-294.15502548217773"
"2432000","-204.26750946044922","-204.26750946044922","-204.26750946044922"
"2496000","23.417498886585236","23.417498886585236","23.417498886585236"
"2560000","-0.22999334707856178","-0.22999334707856178","-0.22999334707856178"
"2624000","41.909987926483154","41.909987926483154","41.909987926483154"
"2688000","-20.48750877380371","-20.48750877380371","-20.48750877380371"
"2752000","25.377495765686035","25.377495765686035","25.377495765686035"
"2816000","86.61247730255127","86.61247730255127","86.61247730255127"
"2880000","61.197476387023926","61.197476387023926","61.197476387023926"
"2944000","110.32747268676758","110.32747268676758","110.32747268676758"
"3008000","93.32997035980225","93.32997035980225","93.32997035980225"
"3072000","114.8349609375","114.8349609375","114.8349609375"
"3136000","118.40997505187988","118.40997505187988","118.40997505187988"
"3200000","143.34996795654297","143.34996795654297","143.34996795654297"
"3264000","146.46246719360352","146.46246719360352","146.46246719360352"
"3328000","157.22747039794922","157.22747039794922","157.22747039794922"
"3392000","175.0699634552002","175.0699634552002","175.0699634552002"
"3456000","160.96994400024414","160.96994400024414","160.96994400024414"
"3520000","174.75992393493652","174.75992393493652","174.75992393493652"
"3584000","187.20744705200195","187.20744705200195","187.20744705200195"
"3648000","183.8674545288086","183.8674545288086","183.8674545288086"
"3712000","202.76245498657227","202.76245498657227","202.76245498657227"
"3776000","197.9249382019043","197.9249382019043","197.9249382019043"
"3840000","209.18995666503906","209.18995666503906","209.18995666503906"
"3904000","174.5124740600586","174.5124740600586","174.5124740600586"
"3968000","182.08996200561523","182.08996200561523","182.08996200561523"
"4032000","198.64493942260742","198.64493942260742","198.64493942260742"
"4096000","208.0574836730957","208.0574836730957","208.0574836730957"
"4160000","251.9199562072754","251.9199562072754","251.9199562072754"
"4224000","261.86249923706055","261.86249923706055","261.86249923706055"
"4288000","264.5424690246582","264.5424690246582","264.5424690246582"
"4352000","252.87495040893555","252.87495040893555","252.87495040893555"
"4416000","251.96496200561523","251.96496200561523","251.96496200561523"
"4480000","242.7599334716797","242.7599334716797","242.7599334716797"
"4544000","277.034969329834","277.034969329834","277.034969329834"
"4608000","284.7300338745117","284.7300338745117","284.7300338745117"
"4672000","250.48499298095703","250.48499298095703","250.48499298095703"
"4736000","273.52246856689453","273.52246856689453","273.52246856689453"
"4800000","287.22248458862305","287.22248458862305","287.22248458862305"
"4864000","280.6774711608887","280.6774711608887","280.6774711608887"
"4928000","259.6274070739746","259.6274070739746","259.6274070739746"
"4992000","259.79744720458984","259.79744720458984","259.79744720458984"
"5056000","264.95244216918945","264.95244216918945","264.95244216918945"
"5120000","274.93996810913086","274.93996810913086","274.93996810913086"
"5184000","273.4874687194824","273.4874687194824","273.4874687194824"
"5248000","305.4599723815918","305.4599723815918","305.4599723815918"
"5312000","320.6974792480469","320.6974792480469","320.6974792480469"
"5376000","320.2299995422363","320.2299995422363","320.2299995422363"
"5440000","323.86248779296875","323.86248779296875","323.86248779296875"
"5504000","318.5449752807617","318.5449752807617","318.5449752807617"
"5568000","332.6525230407715","332.6525230407715","332.6525230407715"
"5632000","354.52510833740234","354.52510833740234","354.52510833740234"
"5696000","345.2050552368164","345.2050552368164","345.2050552368164"
"5760000","330.5325050354004","330.5325050354004","330.5325050354004"
"5824000","321.10250091552734","321.10250091552734","321.10250091552734"
"5888000","318.88249588012695","318.88249588012695","318.88249588012695"
"5952000","330.1700553894043","330.1700553894043","330.1700553894043"
"6016000","320.99505615234375","320.99505615234375","320.99505615234375"
"6080000","345.09252166748047","345.09252166748047","345.09252166748047"
"6144000","344.2650680541992","344.2650680541992","344.2650680541992"
"6208000","340.4800262451172","340.4800262451172","340.4800262451172"
"6272000","342.8025131225586","342.8025131225586","342.8025131225586"
"6336000","329.64751052856445","329.64751052856445","329.64751052856445"
"6400000","345.7100296020508","345.7100296020508","345.7100296020508"
"6464000","357.64256286621094","357.64256286621094","357.64256286621094"
"6528000","360.1000671386719","360.1000671386719","360.1000671386719"
"6592000","367.8225784301758","367.8225784301758","367.8225784301758"
"6656000","340.0475158691406","340.0475158691406","340.0475158691406"
"6720000","364.9551086425781","364.9551086425781","364.9551086425781"
"6784000","356.9275207519531","356.9275207519531","356.9275207519531"
"6848000","348.3350372314453","348.3350372314453","348.3350372314453"
"6912000","393.2576446533203","393.2576446533203","393.2576446533203"
"6976000","389.0125961303711","389.0125961303711","389.0125961303711"
"7040000","378.4525680541992","378.4525680541992","378.4525680541992"
"7104000","400.6701126098633","400.6701126098633","400.6701126098633"
"7168000","402.4326400756836","402.4326400756836","402.4326400756836"
"7232000","362.83509063720703","362.83509063720703","362.83509063720703"
"7296000","352.83753967285156","352.83753967285156","352.83753967285156"
"7360000","391.7426300048828","391.7426300048828","391.7426300048828"
"7424000","407.2951202392578","407.2951202392578","407.2951202392578"
"7488000","422.4901657104492","422.4901657104492","422.4901657104492"
"7552000","409.51268005371094","409.51268005371094","409.51268005371094"
"7616000","434.39269256591797","434.39269256591797","434.39269256591797"
"7680000","474.91028594970703","474.91028594970703","474.91028594970703"
"7744000","460.2527542114258","460.2527542114258","460.2527542114258"
"7808000","446.3876953125","446.3876953125","446.3876953125"
"7872000","462.52274322509766","462.52274322509766","462.52274322509766"
"7936000","457.1976776123047","457.1976776123047","457.1976776123047"
"8000000","461.4702453613281","461.4702453613281","461.4702453613281"
"8064000","507.1677932739258","507.1677932739258","507.1677932739258"
"8128000","487.5702362060547","487.5702362060547","487.5702362060547"
"8192000","471.2352752685547","471.2352752685547","471.2352752685547"
"8256000","451.1928024291992","451.1928024291992","451.1928024291992"
"8320000","471.5777130126953","471.5777130126953","471.5777130126953"
"8384000","500.18531799316406","500.18531799316406","500.18531799316406"
"8448000","504.25035095214844","504.25035095214844","504.25035095214844"
"8512000","495.6877975463867","495.6877975463867","495.6877975463867"
"8576000","479.7977828979492","479.7977828979492","479.7977828979492"
"8640000","470.4852600097656","470.4852600097656","470.4852600097656"
"8704000","499.5928039550781","499.5928039550781","499.5928039550781"
"8768000","514.7228622436523","514.7228622436523","514.7228622436523"
"8832000","517.4778671264648","517.4778671264648","517.4778671264648"
"8896000","508.3578186035156","508.3578186035156","508.3578186035156"
"8960000","512.3253784179688","512.3253784179688","512.3253784179688"
"9024000","550.8604431152344","550.8604431152344","550.8604431152344"
"9088000","512.637825012207","512.637825012207","512.637825012207"
"9152000","513.5053100585938","513.5053100585938","513.5053100585938"
"9216000","537.7378387451172","537.7378387451172","537.7378387451172"
"9280000","540.4154357910156","540.4154357910156","540.4154357910156"
"9344000","521.3153228759766","521.3153228759766","521.3153228759766"
"9408000","503.4502716064453","503.4502716064453","503.4502716064453"
"9472000","526.7428436279297","526.7428436279297","526.7428436279297"
"9536000","542.6679458618164","542.6679458618164","542.6679458618164"
"9600000","526.2503967285156","526.2503967285156","526.2503967285156"
"9664000","562.0129318237305","562.0129318237305","562.0129318237305"
"9728000","568.8155059814453","568.8155059814453","568.8155059814453"
