"Step","cleanup_cbambaseline - SW_ep_rew_total","cleanup_cbambaseline - SW_ep_rew_total__MIN","cleanup_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4557.15625","-4557.15625","-4557.15625"
"128000","-4188.279968261719","-4188.279968261719","-4188.279968261719"
"192000","-3788.7799682617188","-3788.7799682617188","-3788.7799682617188"
"256000","-3108.2999267578125","-3108.2999267578125","-3108.2999267578125"
"320000","-2608.9500122070312","-2608.9500122070312","-2608.9500122070312"
"384000","-2214.3600158691406","-2214.3600158691406","-2214.3600158691406"
"448000","-1787.3799743652344","-1787.3799743652344","-1787.3799743652344"
"512000","-1491.9899597167969","-1491.9899597167969","-1491.9899597167969"
"576000","-1304.7999877929688","-1304.7999877929688","-1304.7999877929688"
"640000","-1091.1399993896484","-1091.1399993896484","-1091.1399993896484"
"704000","-920.6699981689453","-920.6699981689453","-920.6699981689453"
"768000","-766.9199829101562","-766.9199829101562","-766.9199829101562"
"832000","-646.2599792480469","-646.2599792480469","-646.2599792480469"
"896000","-528.3399963378906","-528.3399963378906","-528.3399963378906"
"960000","-479.82999420166016","-479.82999420166016","-479.82999420166016"
"1024000","-428.79000091552734","-428.79000091552734","-428.79000091552734"
"1088000","-398.2900085449219","-398.2900085449219","-398.2900085449219"
"1152000","-334.14000701904297","-334.14000701904297","-334.14000701904297"
"1216000","-294.61999893188477","-294.61999893188477","-294.61999893188477"
"1280000","-258.0999984741211","-258.0999984741211","-258.0999984741211"
"1344000","-231.22000122070312","-231.22000122070312","-231.22000122070312"
"1408000","-209.6300048828125","-209.6300048828125","-209.6300048828125"
"1472000","-187.9099998474121","-187.9099998474121","-187.9099998474121"
"1536000","-167.9199981689453","-167.9199981689453","-167.9199981689453"
"1600000","-136.3799991607666","-136.3799991607666","-136.3799991607666"
"1664000","-104.55000114440918","-104.55000114440918","-104.55000114440918"
"1728000","-77.07000160217285","-77.07000160217285","-77.07000160217285"
"1792000","-67.90000057220459","-67.90000057220459","-67.90000057220459"
"1856000","-54.99000024795532","-54.99000024795532","-54.99000024795532"
"1920000","-55.99000024795532","-55.99000024795532","-55.99000024795532"
"1984000","-54.790000438690186","-54.790000438690186","-54.790000438690186"
"2048000","-43.119999408721924","-43.119999408721924","-43.119999408721924"
"2112000","-28.5","-28.5","-28.5"
"2176000","-12.830000281333923","-12.830000281333923","-12.830000281333923"
"2240000","-10.629999876022339","-10.629999876022339","-10.629999876022339"
"2304000","-8.810000121593475","-8.810000121593475","-8.810000121593475"
"2368000","-5.460000157356262","-5.460000157356262","-5.460000157356262"
"2432000","-3.3499996662139893","-3.3499996662139893","-3.3499996662139893"
"2496000","0.4999997615814209","0.4999997615814209","0.4999997615814209"
"2560000","8.649999856948853","8.649999856948853","8.649999856948853"
"2624000","0.8799999058246613","0.8799999058246613","0.8799999058246613"
"2688000","10.110000014305115","10.110000014305115","10.110000014305115"
"2752000","9.740000218153","9.740000218153","9.740000218153"
"2816000","5.500000059604645","5.500000059604645","5.500000059604645"
"2880000","10.210000097751617","10.210000097751617","10.210000097751617"
"2944000","8.409999996423721","8.409999996423721","8.409999996423721"
"3008000","13.649999856948853","13.649999856948853","13.649999856948853"
"3072000","16.329999923706055","16.329999923706055","16.329999923706055"
"3136000","15.239999890327454","15.239999890327454","15.239999890327454"
"3200000","18.289999961853027","18.289999961853027","18.289999961853027"
"3264000","20.06000018119812","20.06000018119812","20.06000018119812"
"3328000","19.53000009059906","19.53000009059906","19.53000009059906"
"3392000","19.899999856948853","19.899999856948853","19.899999856948853"
"3456000","23.600000858306885","23.600000858306885","23.600000858306885"
"3520000","24.550000429153442","24.550000429153442","24.550000429153442"
"3584000","26.43000030517578","26.43000030517578","26.43000030517578"
"3648000","25.199999809265137","25.199999809265137","25.199999809265137"
"3712000","28.680000066757202","28.680000066757202","28.680000066757202"
"3776000","27.59999966621399","27.59999966621399","27.59999966621399"
"3840000","33.49999952316284","33.49999952316284","33.49999952316284"
"3904000","32.93000078201294","32.93000078201294","32.93000078201294"
"3968000","35.61000061035156","35.61000061035156","35.61000061035156"
"4032000","32.90000009536743","32.90000009536743","32.90000009536743"
"4096000","26.8100004196167","26.8100004196167","26.8100004196167"
"4160000","23.570000171661377","23.570000171661377","23.570000171661377"
"4224000","22.899999618530273","22.899999618530273","22.899999618530273"
"4288000","24.800000190734863","24.800000190734863","24.800000190734863"
"4352000","25.399999618530273","25.399999618530273","25.399999618530273"
"4416000","24.56999969482422","24.56999969482422","24.56999969482422"
"4480000","24.94000005722046","24.94000005722046","24.94000005722046"
"4544000","25.260000228881836","25.260000228881836","25.260000228881836"
"4608000","26.8100004196167","26.8100004196167","26.8100004196167"
"4672000","28.999999523162842","28.999999523162842","28.999999523162842"
"4736000","30.360000133514404","30.360000133514404","30.360000133514404"
"4800000","32.59000015258789","32.59000015258789","32.59000015258789"
"4864000","28.309999465942383","28.309999465942383","28.309999465942383"
"4928000","29.830000400543213","29.830000400543213","29.830000400543213"
"4992000","31.730000495910645","31.730000495910645","31.730000495910645"
"5056000","30.519999504089355","30.519999504089355","30.519999504089355"
"5120000","34.69000005722046","34.69000005722046","34.69000005722046"
"5184000","37.260000228881836","37.260000228881836","37.260000228881836"
"5248000","35.63999938964844","35.63999938964844","35.63999938964844"
"5312000","33.69000005722046","33.69000005722046","33.69000005722046"
"5376000","39.08999967575073","39.08999967575073","39.08999967575073"
"5440000","41.42999982833862","41.42999982833862","41.42999982833862"
"5504000","40.450000286102295","40.450000286102295","40.450000286102295"
"5568000","42.329999923706055","42.329999923706055","42.329999923706055"
"5632000","40.670000076293945","40.670000076293945","40.670000076293945"
"5696000","40.41999959945679","40.41999959945679","40.41999959945679"
"5760000","41.910000801086426","41.910000801086426","41.910000801086426"
"5824000","40.420000076293945","40.420000076293945","40.420000076293945"
"5888000","37.630000591278076","37.630000591278076","37.630000591278076"
"5952000","37.40000057220459","37.40000057220459","37.40000057220459"
"6016000","39.510000228881836","39.510000228881836","39.510000228881836"
"6080000","43.75999927520752","43.75999927520752","43.75999927520752"
"6144000","45.75","45.75","45.75"
"6208000","47.30000019073486","47.30000019073486","47.30000019073486"
"6272000","47.30000019073486","47.30000019073486","47.30000019073486"
"6336000","48.14999961853027","48.14999961853027","48.14999961853027"
"6400000","47","47","47"
"6464000","44.21000099182129","44.21000099182129","44.21000099182129"
"6528000","41.459999561309814","41.459999561309814","41.459999561309814"
"6592000","37.55999946594238","37.55999946594238","37.55999946594238"
"6656000","35.71000051498413","35.71000051498413","35.71000051498413"
"6720000","38.31999969482422","38.31999969482422","38.31999969482422"
"6784000","37.33000040054321","37.33000040054321","37.33000040054321"
"6848000","40.519999980926514","40.519999980926514","40.519999980926514"
"6912000","41.149999141693115","41.149999141693115","41.149999141693115"
"6976000","36.62000036239624","36.62000036239624","36.62000036239624"
"7040000","37.540000438690186","37.540000438690186","37.540000438690186"
"7104000","38.77999973297119","38.77999973297119","38.77999973297119"
"7168000","39.25999975204468","39.25999975204468","39.25999975204468"
"7232000","38.22000074386597","38.22000074386597","38.22000074386597"
"7296000","40.65000057220459","40.65000057220459","40.65000057220459"
"7360000","39.56999969482422","39.56999969482422","39.56999969482422"
"7424000","40.8299994468689","40.8299994468689","40.8299994468689"
"7488000","43.739999771118164","43.739999771118164","43.739999771118164"
"7552000","43.52000045776367","43.52000045776367","43.52000045776367"
"7616000","42.65999984741211","42.65999984741211","42.65999984741211"
"7680000","42.130000591278076","42.130000591278076","42.130000591278076"
"7744000","46.22000026702881","46.22000026702881","46.22000026702881"
"7808000","43.899999141693115","43.899999141693115","43.899999141693115"
"7872000","43.66000032424927","43.66000032424927","43.66000032424927"
"7936000","45.730000495910645","45.730000495910645","45.730000495910645"
"8000000","45.55000019073486","45.55000019073486","45.55000019073486"
"8064000","43.380000591278076","43.380000591278076","43.380000591278076"
"8128000","43.63999938964844","43.63999938964844","43.63999938964844"
"8192000","44.78000068664551","44.78000068664551","44.78000068664551"
"8256000","44.610000133514404","44.610000133514404","44.610000133514404"
"8320000","40.40999984741211","40.40999984741211","40.40999984741211"
"8384000","39.25999975204468","39.25999975204468","39.25999975204468"
"8448000","47.13999891281128","47.13999891281128","47.13999891281128"
"8512000","43.709999561309814","43.709999561309814","43.709999561309814"
"8576000","40.940001010894775","40.940001010894775","40.940001010894775"
"8640000","44.36999988555908","44.36999988555908","44.36999988555908"
"8704000","47.97000026702881","47.97000026702881","47.97000026702881"
"8768000","43.5","43.5","43.5"
"8832000","42.3100004196167","42.3100004196167","42.3100004196167"
