Step,cleanup_cbamsvo - SW_ep_rew_total,cleanup_cbamsvo - SW_ep_rew_total__MIN,cleanup_cbamsvo - SW_ep_rew_total__MAX
64000,-4856.8587167388295711,-4942.7413725326141503,-4861.5442389446679954
128000,-4651.9820211095802733,-4670.1970627429736851,-4578.8854383713296556
192000,-3871.2220175512402420,-3869.3168078377580059,-3875.8053838932373765
256000,-3723.1602914645563942,-3647.8121972691374140,-3723.1765142518802350
320000,-3309.1546106557043458,-3390.1561590510200404,-3311.2304638960426928
384000,-2704.4343297739983427,-2616.2912556334495093,-2619.1950173770505899
448000,-2183.8692856501447750,-2098.7124252827807140,-2181.5358110078177560
512000,-1842.2173140852246433,-1927.2752927287508555,-1927.3324725821867105
576000,-1621.1749447715492352,-1617.3300480775997130,-1620.9407076789855182
640000,-1295.7275342910427298,-1295.6755302242379457,-1216.3540483897502327
704000,-1069.7429503452949575,-1067.7825993965384441,-1065.9207019798316196
768000,-1011.0369159118446305,-1008.5018711900767130,-1100.0191762069252945
832000,-918.4676790303975622,-822.0656635732842688,-819.9112320894715822
896000,-657.3681881882004063,-743.6451463488097033,-748.3779048629171484
960000,-613.5950483498318135,-532.5696487760500304,-626.6257337163215198
1024000,-615.9241649651864918,-615.9260647948527776,-543.1061453966040062
1088000,-574.7212332261093479,-651.0515279475721400,-574.6536853696273965
1152000,-577.9855596912592546,-581.9021302171413481,-579.2173022290074869
1216000,-506.2496894622415766,-410.4137194362616583,-502.9571622743968646
1280000,-375.3402614883071919,-368.2107939764173921,-452.0851691988294192
1344000,-399.5423498705831662,-326.3828494216115246,-325.6822196220295496
1408000,-325.4294618534602250,-324.3170812046267883,-325.1981725183679828
1472000,-347.5131446423382613,-349.9104660697374811,-266.5016095543951451
1536000,-355.3140231849159818,-352.7917869822046555,-289.3188421481718819
1600000,-321.0533356895946326,-325.3530224913521351,-236.1312253459059605
1664000,-204.6364396176887794,-291.1411244519048864,-203.6003511610306020
1728000,-252.5246576062374686,-189.4422678770013988,-252.4267171023942637
1792000,-155.7949656380714885,-160.0654322836831227,-224.6810683145329790
1856000,-131.3867339694197653,-136.5819641954061012,-211.4347250081898721
1920000,-83.3446407985950088,-89.6567055830930713,-182.2276340457625849
1984000,-154.6279797231258613,-70.1369062071568976,-155.2338785039251547
2048000,-143.8836881519987969,-60.9703071115398032,-60.3634352238772465
2112000,-131.2547867592531929,-40.6582431757907301,-128.9227507213199999
2176000,-108.1427460118817407,-114.8609565887457791,-30.8941221345793338
2240000,-97.7804374467451964,-28.0142513360835608,-106.5222499166545731
2304000,-96.5570336804092619,-21.5841061362570414,-97.9864518363451111
2368000,-89.4294338226002878,-16.3298611028289145,-18.5825058183163705
2432000,-78.3000402160978268,-9.0204341683163989,-4.8040530422285244
2496000,-75.8740278712775336,17.2418326286718369,13.9078140794117715
2560000,-66.3864825582140838,20.1654266436273772,13.5793036027495546
2624000,-69.4429302351052513,-64.5840519662979204,22.2690716469971477
2688000,-58.4477870720676762,16.3754848184762878,27.1609396506270286
2752000,-52.1415323685020908,-52.3949653722095405,-52.2876511775807273
2816000,-48.1681759571077777,45.9229152437886015,45.1064494456111476
2880000,40.3847977501185582,-37.6246506195681292,42.1233853423490885
2944000,-40.0531798496782301,46.4662138960151836,44.1748707256521627
3008000,-33.3677995990246075,-38.9621513791612202,61.0867117825926087
3072000,56.0709956510169789,49.4184110245676393,-41.0889065093199406
3136000,-36.0305140752258595,51.1338806498186926,-39.9396946300353051
3200000,-26.6660761692192381,47.5426739234376541,48.6144720020675507
3264000,64.1305476082003594,-34.6369501648450040,57.3734231093445288
3328000,-24.1730653184988284,61.4506255467652878,61.6231254646947519
3392000,60.2168075541699821,-20.0558783572512525,-21.4289749655832225
3456000,56.4420305993847862,57.6984556015353860,58.3195277773981999
3520000,54.8253084414890708,57.0057324132230363,53.5131106419971161
3584000,-26.7783966558643272,-27.1817946549057581,-23.0055050732138184
3648000,58.8372771356011910,-26.0108000636440266,65.4078789308908739
3712000,66.1785215226674666,-15.9012363260728691,72.9503502429196544
3776000,72.7174331763973925,74.9718577178462624,-21.4073781262171892
3840000,68.8871989885337257,70.2321562998628082,-13.2164831680624744
3904000,68.6496070021926243,75.9736406146187875,72.2026384742755027
3968000,63.6190013047098901,65.7098562420608374,-13.9525386726931302
4032000,-27.0147560435710261,73.4441443459691072,67.7773229339115346
4096000,-5.2216568386423887,-7.4589033570275447,59.0990315377312427
4160000,67.7911640308653745,-13.5453855495320070,-13.6720184882689466
4224000,-8.8757302413532599,-13.1864832761570625,-15.0878936765931968
4288000,-2.9581169954088544,58.8339278416233924,-2.5857740723260676
4352000,-12.9986548191293565,69.6062840447366682,70.7573001278947231
4416000,73.8309064894706495,-12.4549914777405135,-8.9018293013933061
4480000,67.4823122576281804,75.7592129283836755,76.6367470257734738
4544000,-3.1924674043122323,65.9540679076758920,-3.4578595784589652
4608000,-2.7394859207384741,-6.5498083233216704,77.6163938402111455
4672000,-6.5584671275950157,67.7208241197907057,-14.9613347807057480
4736000,-11.4387847761929038,74.1266204111359457,-11.3816124506259584
4800000,78.9566382887735614,67.0058217986994151,69.8732562581519971
4864000,72.6849899310945204,70.8851525709851273,70.7623112941570298
4928000,77.8339844523866589,68.0443953589080621,71.0723073709779101
4992000,0.0001596704733942,0.0599388823682716,-2.5407529567407252
5056000,76.6053567340985637,77.6560552606873387,-11.6020419351055395
5120000,-3.9182468420327012,-4.5368512817231590,-2.7466761320098065
5184000,-7.0285297721097777,-3.5990814905773405,68.1005652002262565
5248000,-10.2647696334822740,-10.2707442060979162,-10.2266769544995100
5312000,72.5046479851386749,65.6299646317712302,-11.3144799356775607
5376000,61.4832348588255613,-11.7708810152448180,-12.3418646162259407
5440000,-6.9130900749012270,60.7231190465739559,66.1745551315900400
5504000,-8.7202480859694589,62.0932442912131393,62.7434123360641323
5568000,71.8608460379701626,-21.2620110499868886,-21.0121481272887110
