"Step","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"64000","-13737.280151367188","-13737.280151367188","-13737.280151367188"
"128000","-13974.102661132812","-13974.102661132812","-13974.102661132812"
"192000","-13782.738403320312","-13782.738403320312","-13782.738403320312"
"256000","-14052.790283203125","-14052.790283203125","-14052.790283203125"
"320000","-14378.454833984375","-14378.454833984375","-14378.454833984375"
"384000","-14750.303955078125","-14750.303955078125","-14750.303955078125"
"448000","-14582.58544921875","-14582.58544921875","-14582.58544921875"
"512000","-12906.963256835938","-12906.963256835938","-12906.963256835938"
"576000","-11756.697265625","-11756.697265625","-11756.697265625"
"640000","-10744.235961914062","-10744.235961914062","-10744.235961914062"
"704000","-10027.716674804688","-10027.716674804688","-10027.716674804688"
"768000","-9265.348754882812","-9265.348754882812","-9265.348754882812"
"832000","-9419.594116210938","-9419.594116210938","-9419.594116210938"
"896000","-9363.38427734375","-9363.38427734375","-9363.38427734375"
"960000","-8823.172973632812","-8823.172973632812","-8823.172973632812"
"1024000","-8683.722534179688","-8683.722534179688","-8683.722534179688"
"1088000","-8301.62548828125","-8301.62548828125","-8301.62548828125"
"1152000","-7502.961669921875","-7502.961669921875","-7502.961669921875"
"1216000","-7572.8673095703125","-7572.8673095703125","-7572.8673095703125"
"1280000","-8062.401611328125","-8062.401611328125","-8062.401611328125"
"1344000","-7884.244140625","-7884.244140625","-7884.244140625"
"1408000","-7970.400634765625","-7970.400634765625","-7970.400634765625"
"1472000","-7941.329833984375","-7941.329833984375","-7941.329833984375"
"1536000","-8282.669799804688","-8282.669799804688","-8282.669799804688"
"1600000","-8123.9281005859375","-8123.9281005859375","-8123.9281005859375"
"1664000","-7602.184265136719","-7602.184265136719","-7602.184265136719"
"1728000","-7231.579284667969","-7231.579284667969","-7231.579284667969"
"1792000","-7506.2330322265625","-7506.2330322265625","-7506.2330322265625"
"1856000","-7642.095458984375","-7642.095458984375","-7642.095458984375"
"1920000","-7250.15576171875","-7250.15576171875","-7250.15576171875"
"1984000","-7444.600769042969","-7444.600769042969","-7444.600769042969"
"2048000","-7824.847412109375","-7824.847412109375","-7824.847412109375"
"2112000","-7456.384948730469","-7456.384948730469","-7456.384948730469"
"2176000","-7659.4417724609375","-7659.4417724609375","-7659.4417724609375"
"2240000","-7757.8660888671875","-7757.8660888671875","-7757.8660888671875"
"2304000","-7168.639221191406","-7168.639221191406","-7168.639221191406"
"2368000","-6942.409606933594","-6942.409606933594","-6942.409606933594"
"2432000","-7161.189514160156","-7161.189514160156","-7161.189514160156"
"2496000","-7151.862976074219","-7151.862976074219","-7151.862976074219"
"2560000","-6846.188171386719","-6846.188171386719","-6846.188171386719"
"2624000","-6636.5147705078125","-6636.5147705078125","-6636.5147705078125"
"2688000","-6584.203308105469","-6584.203308105469","-6584.203308105469"
"2752000","-6442.030944824219","-6442.030944824219","-6442.030944824219"
"2816000","-6189.7493896484375","-6189.7493896484375","-6189.7493896484375"
"2880000","-6661.898193359375","-6661.898193359375","-6661.898193359375"
"2944000","-7194.550842285156","-7194.550842285156","-7194.550842285156"
"3008000","-7111.603698730469","-7111.603698730469","-7111.603698730469"
"3072000","-7097.7703857421875","-7097.7703857421875","-7097.7703857421875"
"3136000","-7019.594421386719","-7019.594421386719","-7019.594421386719"
"3200000","-6746.458679199219","-6746.458679199219","-6746.458679199219"
"3264000","-7053.193359375","-7053.193359375","-7053.193359375"
"3328000","-7446.338134765625","-7446.338134765625","-7446.338134765625"
"3392000","-6945.5203857421875","-6945.5203857421875","-6945.5203857421875"
"3456000","-6583.042053222656","-6583.042053222656","-6583.042053222656"
"3520000","-6496.878967285156","-6496.878967285156","-6496.878967285156"
"3584000","-5767.16259765625","-5767.16259765625","-5767.16259765625"
"3648000","-5651.277404785156","-5651.277404785156","-5651.277404785156"
"3712000","-5684.938415527344","-5684.938415527344","-5684.938415527344"
"3776000","-5665.801696777344","-5665.801696777344","-5665.801696777344"
"3840000","-5284.0701904296875","-5284.0701904296875","-5284.0701904296875"
"3904000","-4929.109680175781","-4929.109680175781","-4929.109680175781"
"3968000","-4838.3345947265625","-4838.3345947265625","-4838.3345947265625"
"4032000","-4993.388610839844","-4993.388610839844","-4993.388610839844"
"4096000","-4820.390380859375","-4820.390380859375","-4820.390380859375"
"4160000","-4616.585693359375","-4616.585693359375","-4616.585693359375"
"4224000","-4641.847412109375","-4641.847412109375","-4641.847412109375"
"4288000","-4571.8824462890625","-4571.8824462890625","-4571.8824462890625"
"4352000","-4443.6373291015625","-4443.6373291015625","-4443.6373291015625"
"4416000","-4266.492614746094","-4266.492614746094","-4266.492614746094"
"4480000","-4364.9794921875","-4364.9794921875","-4364.9794921875"
"4544000","-4174.191680908203","-4174.191680908203","-4174.191680908203"
"4608000","-3877.9720458984375","-3877.9720458984375","-3877.9720458984375"
