Step,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-13707.6603797679254058,-13773.0876984329042898,-13706.5689053290789161
128000,-13940.0863164797901845,-14004.9388647602263518,-13940.7434001700585213
192000,-13759.9731222034351958,-13806.6016421550230007,-13820.4671811046409857
256000,-14039.8569950773307937,-14092.5908393956942746,-14081.4529861560658901
320000,-14385.5942468254434061,-14372.6943231248242228,-14374.8775340582578792
384000,-14781.2079771182179684,-14776.9178377388689114,-14718.2220961215261923
448000,-14618.4091908946866170,-14602.8554349334008293,-14598.2099016063148156
512000,-12928.5718839233886683,-12886.8161654397590610,-12886.5704835044361971
576000,-11774.0467804345335026,-11776.8959245173209638,-11778.2792950928160280
640000,-10741.7535070164412900,-10740.2220372377378226,-10750.3761973189757555
704000,-10051.0238025206945167,-10048.3197886298785306,-10048.1449688502871140
768000,-9244.5954441047651926,-9288.4085714374778036,-9230.3564576217850117
832000,-9435.6804358480203518,-9435.7457803448724007,-9403.0896351724059059
896000,-9350.3523052047585224,-9348.6095317446761328,-9345.7459463178220176
960000,-8847.2572075145963026,-8847.8530450839298283,-8842.0721745640239533
1024000,-8718.0543484957324836,-8665.7678983628793503,-8715.4673574252501567
1088000,-8312.8052606050314353,-8283.7720998505956231,-8315.1694212340189551
1152000,-7532.2770579544403518,-7521.8851290478951341,-7529.1970783172573647
1216000,-7607.3003451367958405,-7614.2711268612547428,-7535.8930425817588912
1280000,-8084.9234759470436984,-8084.7976174909626934,-8031.5492875297932187
1344000,-7898.6613286033943950,-7874.5190503638841619,-7858.5799502393747389
1408000,-7981.6360304618929149,-7981.8688466686298852,-7952.7968723793283061
1472000,-7899.3045351836008194,-7968.1716359521315098,-7960.9983040701472419
1536000,-8310.0809289534790878,-8315.8068081651836110,-8255.3640536759339739
1600000,-8136.3615475149754275,-8137.5205887552801869,-8114.8874435127499964
1664000,-7580.3171639490055895,-7568.7961663399983081,-7583.2361453810235616
1728000,-7257.4149993285600431,-7258.2646076432693008,-7252.5860962984652360
1792000,-7523.3827593973019248,-7527.5557739560108530,-7524.7296655483605718
1856000,-7680.5392669195171038,-7608.8762863784368164,-7675.9553337727184044
1920000,-7266.3461906196826021,-7226.4879946699575157,-7234.1169208771761987
1984000,-7423.6534746487977827,-7459.7507513294895034,-7461.1564917250298095
2048000,-7789.8696674792690828,-7860.4959855626111676,-7792.0057719894584807
2112000,-7496.6278779129452232,-7420.9150486995131359,-7494.0316410804061888
2176000,-7668.3496490509824071,-7650.2011552561980352,-7648.6950536398762779
2240000,-7745.7992185434786734,-7739.7101518553017740,-7772.8335720853383464
2304000,-7200.8351025908441443,-7151.8360907296219011,-7203.5854408122495443
2368000,-6974.4141531832856344,-6911.6255983945375192,-6974.2883701295204446
