"Step","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX"
"64000","-9306.015625","-9306.015625","-9306.015625"
"128000","-9199.309936523438","-9199.309936523438","-9199.309936523438"
"192000","-8976.31005859375","-8976.31005859375","-8976.31005859375"
"256000","-9273.380004882812","-9273.380004882812","-9273.380004882812"
"320000","-9268.010009765625","-9268.010009765625","-9268.010009765625"
"384000","-9111.06982421875","-9111.06982421875","-9111.06982421875"
"448000","-9432.75","-9432.75","-9432.75"
"512000","-8789.18994140625","-8789.18994140625","-8789.18994140625"
"576000","-7707.7099609375","-7707.7099609375","-7707.7099609375"
"640000","-6731.239929199219","-6731.239929199219","-6731.239929199219"
"704000","-6920.0899658203125","-6920.0899658203125","-6920.0899658203125"
"768000","-7232.9801025390625","-7232.9801025390625","-7232.9801025390625"
"832000","-6787.059997558594","-6787.059997558594","-6787.059997558594"
"896000","-6091.279968261719","-6091.279968261719","-6091.279968261719"
"960000","-5952.380065917969","-5952.380065917969","-5952.380065917969"
"1024000","-6085.02001953125","-6085.02001953125","-6085.02001953125"
"1088000","-5777.749938964844","-5777.749938964844","-5777.749938964844"
"1152000","-5544.22998046875","-5544.22998046875","-5544.22998046875"
"1216000","-5478.299987792969","-5478.299987792969","-5478.299987792969"
"1280000","-5755.029968261719","-5755.029968261719","-5755.029968261719"
"1344000","-5846.919982910156","-5846.919982910156","-5846.919982910156"
"1408000","-5926.260009765625","-5926.260009765625","-5926.260009765625"
"1472000","-6050.27001953125","-6050.27001953125","-6050.27001953125"
"1536000","-5672.93994140625","-5672.93994140625","-5672.93994140625"
"1600000","-5440.280029296875","-5440.280029296875","-5440.280029296875"
"1664000","-5281.0999755859375","-5281.0999755859375","-5281.0999755859375"
"1728000","-4827.7799072265625","-4827.7799072265625","-4827.7799072265625"
"1792000","-4779.2200927734375","-4779.2200927734375","-4779.2200927734375"
"1856000","-4803.200012207031","-4803.200012207031","-4803.200012207031"
"1920000","-4469.419982910156","-4469.419982910156","-4469.419982910156"
"1984000","-4005.1900024414062","-4005.1900024414062","-4005.1900024414062"
"2048000","-3484.980010986328","-3484.980010986328","-3484.980010986328"
"2112000","-3272.790008544922","-3272.790008544922","-3272.790008544922"
"2176000","-3228.970001220703","-3228.970001220703","-3228.970001220703"
"2240000","-3071.510040283203","-3071.510040283203","-3071.510040283203"
"2304000","-2878.1599731445312","-2878.1599731445312","-2878.1599731445312"
"2368000","-2615.4500122070312","-2615.4500122070312","-2615.4500122070312"
"2432000","-2568.6199951171875","-2568.6199951171875","-2568.6199951171875"
"2496000","-2576.239990234375","-2576.239990234375","-2576.239990234375"
"2560000","-2615.990020751953","-2615.990020751953","-2615.990020751953"
"2624000","-2546.9600219726562","-2546.9600219726562","-2546.9600219726562"
"2688000","-2244.7799682617188","-2244.7799682617188","-2244.7799682617188"
"2752000","-2147.5399780273438","-2147.5399780273438","-2147.5399780273438"
"2816000","-2233.4500122070312","-2233.4500122070312","-2233.4500122070312"
"2880000","-2175.1199951171875","-2175.1199951171875","-2175.1199951171875"
"2944000","-2102.9500274658203","-2102.9500274658203","-2102.9500274658203"
"3008000","-2090.239990234375","-2090.239990234375","-2090.239990234375"
"3072000","-2100.780029296875","-2100.780029296875","-2100.780029296875"
"3136000","-2088.3599853515625","-2088.3599853515625","-2088.3599853515625"
"3200000","-2070.9000244140625","-2070.9000244140625","-2070.9000244140625"
"3264000","-2034.760009765625","-2034.760009765625","-2034.760009765625"
"3328000","-1937.2200012207031","-1937.2200012207031","-1937.2200012207031"
"3392000","-1766.020004272461","-1766.020004272461","-1766.020004272461"
"3456000","-1748.9800109863281","-1748.9800109863281","-1748.9800109863281"
"3520000","-1611.0899810791016","-1611.0899810791016","-1611.0899810791016"
"3584000","-1500.2699890136719","-1500.2699890136719","-1500.2699890136719"
"3648000","-1464.8000030517578","-1464.8000030517578","-1464.8000030517578"
"3712000","-1371.6800231933594","-1371.6800231933594","-1371.6800231933594"
"3776000","-1260.0699920654297","-1260.0699920654297","-1260.0699920654297"
"3840000","-1176.229995727539","-1176.229995727539","-1176.229995727539"
"3904000","-1224.1599884033203","-1224.1599884033203","-1224.1599884033203"
"3968000","-1215.4599914550781","-1215.4599914550781","-1215.4599914550781"
"4032000","-1023.6400146484375","-1023.6400146484375","-1023.6400146484375"
"4096000","-935.5400009155273","-935.5400009155273","-935.5400009155273"
"4160000","-887.1699905395508","-887.1699905395508","-887.1699905395508"
"4224000","-869.7799987792969","-869.7799987792969","-869.7799987792969"
"4288000","-887.9999923706055","-887.9999923706055","-887.9999923706055"
"4352000","-836.4299926757812","-836.4299926757812","-836.4299926757812"
"4416000","-840.5399932861328","-840.5399932861328","-840.5399932861328"
"4480000","-844.7000122070312","-844.7000122070312","-844.7000122070312"
"4544000","-713.6700134277344","-713.6700134277344","-713.6700134277344"
"4608000","-676.2900009155273","-676.2900009155273","-676.2900009155273"
"4672000","-657.7899971008301","-657.7899971008301","-657.7899971008301"
"4736000","-620.620002746582","-620.620002746582","-620.620002746582"
"4800000","-604.5","-604.5","-604.5"
"4864000","-577.5099945068359","-577.5099945068359","-577.5099945068359"
"4928000","-557.1600036621094","-557.1600036621094","-557.1600036621094"
"4992000","-593.989990234375","-593.989990234375","-593.989990234375"
"5056000","-627.8999862670898","-627.8999862670898","-627.8999862670898"
"5120000","-569.1600112915039","-569.1600112915039","-569.1600112915039"
"5184000","-545.6700019836426","-545.6700019836426","-545.6700019836426"
"5248000","-538.4000015258789","-538.4000015258789","-538.4000015258789"
"5312000","-502.42999267578125","-502.42999267578125","-502.42999267578125"
"5376000","-492.0200004577637","-492.0200004577637","-492.0200004577637"
"5440000","-480.50999450683594","-480.50999450683594","-480.50999450683594"
"5504000","-483.35999298095703","-483.35999298095703","-483.35999298095703"
"5568000","-518.7400016784668","-518.7400016784668","-518.7400016784668"
"5632000","-534.2200012207031","-534.2200012207031","-534.2200012207031"
"5696000","-499.0699996948242","-499.0699996948242","-499.0699996948242"
"5760000","-504.8299903869629","-504.8299903869629","-504.8299903869629"
"5824000","-449.6800003051758","-449.6800003051758","-449.6800003051758"
"5888000","-388.90999603271484","-388.90999603271484","-388.90999603271484"
"5952000","-463.9700012207031","-463.9700012207031","-463.9700012207031"
"6016000","-379.11000061035156","-379.11000061035156","-379.11000061035156"
"6080000","-344.0799980163574","-344.0799980163574","-344.0799980163574"
"6144000","-331.17999839782715","-331.17999839782715","-331.17999839782715"
"6208000","-362.0099983215332","-362.0099983215332","-362.0099983215332"
"6272000","-356.0200004577637","-356.0200004577637","-356.0200004577637"
"6336000","-370.05999755859375","-370.05999755859375","-370.05999755859375"
"6400000","-415.11999893188477","-415.11999893188477","-415.11999893188477"
"6464000","-370.7699947357178","-370.7699947357178","-370.7699947357178"
"6528000","-416.5200080871582","-416.5200080871582","-416.5200080871582"
"6592000","-380.4799995422363","-380.4799995422363","-380.4799995422363"
"6656000","-338.2999973297119","-338.2999973297119","-338.2999973297119"
"6720000","-284.20000076293945","-284.20000076293945","-284.20000076293945"
"6784000","-257.9199981689453","-257.9199981689453","-257.9199981689453"
"6848000","-278.24999809265137","-278.24999809265137","-278.24999809265137"
"6912000","-230.66000175476074","-230.66000175476074","-230.66000175476074"
"6976000","-215.56000137329102","-215.56000137329102","-215.56000137329102"
"7040000","-235.17999839782715","-235.17999839782715","-235.17999839782715"
"7104000","-189.8000030517578","-189.8000030517578","-189.8000030517578"
"7168000","-153.5600004196167","-153.5600004196167","-153.5600004196167"
"7232000","-121.99999904632568","-121.99999904632568","-121.99999904632568"
"7296000","-140.19000053405762","-140.19000053405762","-140.19000053405762"
"7360000","-127.75000047683716","-127.75000047683716","-127.75000047683716"
"7424000","-165.6700029373169","-165.6700029373169","-165.6700029373169"
"7488000","-140.58000087738037","-140.58000087738037","-140.58000087738037"
"7552000","-168.3199977874756","-168.3199977874756","-168.3199977874756"
"7616000","-134.61999893188477","-134.61999893188477","-134.61999893188477"
"7680000","-122.65999984741211","-122.65999984741211","-122.65999984741211"
"7744000","-184.8599967956543","-184.8599967956543","-184.8599967956543"
"7808000","-158.7800006866455","-158.7800006866455","-158.7800006866455"
"7872000","-106.49999904632568","-106.49999904632568","-106.49999904632568"
"7936000","-79.78000116348267","-79.78000116348267","-79.78000116348267"
"8000000","-125.42000007629395","-125.42000007629395","-125.42000007629395"
"8064000","-81.12999963760376","-81.12999963760376","-81.12999963760376"
"8128000","-79.46999931335449","-79.46999931335449","-79.46999931335449"
"8192000","-70.41999888420105","-70.41999888420105","-70.41999888420105"
"8256000","-58.320000648498535","-58.320000648498535","-58.320000648498535"
"8320000","-64.12000107765198","-64.12000107765198","-64.12000107765198"
"8384000","-50.46999955177307","-50.46999955177307","-50.46999955177307"
"8448000","-14.289999783039093","-14.289999783039093","-14.289999783039093"
"8512000","-19.71000027656555","-19.71000027656555","-19.71000027656555"
"8576000","-4.230000048875809","-4.230000048875809","-4.230000048875809"
"8640000","-13.269999980926514","-13.269999980926514","-13.269999980926514"
"8704000","-18.969999939203262","-18.969999939203262","-18.969999939203262"
"8768000","0.820000022649765","0.820000022649765","0.820000022649765"
"8832000","-4.319999575614929","-4.319999575614929","-4.319999575614929"
"8896000","13.549999833106995","13.549999833106995","13.549999833106995"
"8960000","23.62999974936247","23.62999974936247","23.62999974936247"
"9024000","0.030000507831573486","0.030000507831573486","0.030000507831573486"
"9088000","15.25000011920929","15.25000011920929","15.25000011920929"
"9152000","53.20000073313713","53.20000073313713","53.20000073313713"
"9216000","12.979999005794525","12.979999005794525","12.979999005794525"
"9280000","42.04000025987625","42.04000025987625","42.04000025987625"
"9344000","66.17000031471252","66.17000031471252","66.17000031471252"
"9408000","75.24000024795532","75.24000024795532","75.24000024795532"
"9472000","67.31000101566315","67.31000101566315","67.31000101566315"
"9536000","72.9299988746643","72.9299988746643","72.9299988746643"
"9600000","75.57000017166138","75.57000017166138","75.57000017166138"
"9664000","94.519999563694","94.519999563694","94.519999563694"
"9728000","97.84000039100647","97.84000039100647","97.84000039100647"
"9792000","100.35999900102615","100.35999900102615","100.35999900102615"
"9856000","106.97000002861023","106.97000002861023","106.97000002861023"
"9920000","91.67999923229218","91.67999923229218","91.67999923229218"
"9984000","90.40000069141388","90.40000069141388","90.40000069141388"
"10048000","88.31000125408173","88.31000125408173","88.31000125408173"
"10112000","112.10999870300293","112.10999870300293","112.10999870300293"
"10176000","108.69000101089478","108.69000101089478","108.69000101089478"
"10240000","121.84000015258789","121.84000015258789","121.84000015258789"
"10304000","119.16999864578247","119.16999864578247","119.16999864578247"
"10368000","125.42999982833862","125.42999982833862","125.42999982833862"
"10432000","125.92999935150146","125.92999935150146","125.92999935150146"
"10496000","121.30000066757202","121.30000066757202","121.30000066757202"
"10560000","109.72999954223633","109.72999954223633","109.72999954223633"
"10624000","127.16999912261963","127.16999912261963","127.16999912261963"
"10688000","132.4800000190735","132.4800000190735","132.4800000190735"
"10752000","120.72000026702881","120.72000026702881","120.72000026702881"
"10816000","131.08999919891357","131.08999919891357","131.08999919891357"
"10880000","117.99000072479248","117.99000072479248","117.99000072479248"
"10944000","112.34999895095825","112.34999895095825","112.34999895095825"
"11008000","136.02000045776367","136.02000045776367","136.02000045776367"
"11072000","120.59000015258789","120.59000015258789","120.59000015258789"
"11136000","136.77999782562256","136.77999782562256","136.77999782562256"
"11200000","151.19000053405762","151.19000053405762","151.19000053405762"
"11264000","142.91000032424927","142.91000032424927","142.91000032424927"
"11328000","155.77000045776367","155.77000045776367","155.77000045776367"
"11392000","158.03000164031982","158.03000164031982","158.03000164031982"
"11456000","162.4099998474121","162.4099998474121","162.4099998474121"
"11520000","161.20999813079834","161.20999813079834","161.20999813079834"
"11584000","153.9300022125244","153.9300022125244","153.9300022125244"
"11648000","157.92000007629395","157.92000007629395","157.92000007629395"
"11712000","163.5299973487854","163.5299973487854","163.5299973487854"
"11776000","169.1299991607666","169.1299991607666","169.1299991607666"
"11840000","159.79000091552734","159.79000091552734","159.79000091552734"
"11904000","170.23999786376953","170.23999786376953","170.23999786376953"
"11968000","165.11999988555908","165.11999988555908","165.11999988555908"
"12032000","174.88000011444092","174.88000011444092","174.88000011444092"
"12096000","176.0399990081787","176.0399990081787","176.0399990081787"
"12160000","175.23999881744385","175.23999881744385","175.23999881744385"
"12224000","173.55000114440918","173.55000114440918","173.55000114440918"
"12288000","175.48000144958496","175.48000144958496","175.48000144958496"
"12352000","170.16000175476074","170.16000175476074","170.16000175476074"
"12416000","158.9199981689453","158.9199981689453","158.9199981689453"
"12480000","162.39999961853027","162.39999961853027","162.39999961853027"
"12544000","166.1699981689453","166.1699981689453","166.1699981689453"
"12608000","157.8300018310547","157.8300018310547","157.8300018310547"
"12672000","144.03999996185303","144.03999996185303","144.03999996185303"
