Step,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX
64000,-9316.7305412366913515,-9295.4185257328535954,-9296.3205278390050808
128000,-9211.1058091195609450,-9187.0220544365402020,-9211.7016495241950906
192000,-8987.5342840510475071,-8965.0358552222278377,-8964.2208644938436919
256000,-9260.0042946386092808,-9259.2127080236223264,-9260.0255010738455894
320000,-9282.3077672089893895,-9252.2450954941577947,-9252.0072947112639667
384000,-9100.9952534138301417,-9098.7770093603739952,-9123.4388984551478643
448000,-9442.7849752664460539,-9443.2634948653230822,-9442.8705373649208923
512000,-8801.7828136157968402,-8802.0751695059479971,-8801.5261564366592211
576000,-7722.3765318475470849,-7722.5945051681592304,-7693.0283328428349705
640000,-6719.5227127543566894,-6741.4943137074778861,-6741.4903729167999700
704000,-6937.5216878077253568,-6902.1991169877883294,-6937.3005282405692924
768000,-7245.6461505173401747,-7244.6947255938512171,-7245.3441940327111297
832000,-6799.8851245588975871,-6800.9704682271776619,-6800.6926845838916051
896000,-6101.3112999779395977,-6082.5672851361232460,-6100.4157676052282113
960000,-5939.0442032071196081,-5936.8288552308395083,-5965.1443851079257001
1024000,-6072.9254905584066364,-6073.9528904921771755,-6095.7320461158169564
1088000,-5787.5027281859192954,-5787.4390320519614761,-5787.7556817900776878
1152000,-5534.8979030943555699,-5535.0934577794268989,-5553.6952420985471690
1216000,-5465.8058989436285628,-5461.1429920699210925,-5489.1346690127811598
1280000,-5742.2586739308508186,-5766.5163962774440733,-5745.1920232208167363
1344000,-5858.3920417368244671,-5859.0166275942447101,-5835.2747022517687583
1408000,-5915.7067056264850180,-5912.2642094822940635,-5937.8517297372327448
1472000,-6062.8097190381986366,-6064.7300695301755695,-6064.0853430603128800
1536000,-5659.8685129450286695,-5688.3626129977374148,-5654.7001443263452529
1600000,-5448.9430969887389438,-5430.0709972587355878,-5450.0993119631184527
1664000,-5265.2695858858551219,-5268.5854200308513100,-5266.3547496045048320
1728000,-4840.2001084398743842,-4839.6560835153404696,-4814.7501433795177945
1792000,-4770.0226116341100351,-4770.0240340880527583,-4770.0202435190876713
1856000,-4791.0331876739319341,-4793.9053834998776438,-4813.1582462092710557
1920000,-4457.8526818085019841,-4457.6603490045008584,-4480.6840765803526665
1984000,-3994.0109724400836058,-4020.1364860066605615,-3994.1043819399988024
2048000,-3472.0450864656268095,-3496.3124553350126007,-3498.0806639567204002
2112000,-3285.8069581651948283,-3282.4077011676909024,-3283.1146221620438155
2176000,-3216.3547194683092130,-3241.2600195262289162,-3240.2730161485083045
2240000,-3056.0796350125688150,-3087.0875800132316726,-3087.2279520303463869
2304000,-2895.1447597381652486,-2891.4626232407817952,-2891.6708835828058000
2368000,-2629.2955335369301793,-2599.6689879559776273,-2602.7222841340362720
2432000,-2580.3482163488688457,-2558.2859922843335880,-2579.7479647915970418
2496000,-2592.2895560252845826,-2559.6590913479444680,-2561.3217394357097874
2560000,-2602.6496648288925826,-2628.0257341882584115,-2603.0677434972321862
2624000,-2533.3296766144485446,-2535.6788992445112854,-2532.2760501229477086
2688000,-2260.3745062109951505,-2231.1560482889381092,-2255.2723105245236184
2752000,-2157.9949142833070255,-2157.2461850808763302,-2138.1000423893615334
2816000,-2219.5742177333913787,-2220.8185812291421826,-2245.9878669561558127
2880000,-2161.5808207225145452,-2163.2125555114193958,-2165.6824952124079573
2944000,-2091.7709788832744380,-2120.5533114029358330,-2084.6158051694255846
3008000,-2076.4547437140704460,-2103.3934659973360795,-2076.3620839007221548
3072000,-2112.0965324322401102,-2089.7964254025559967,-2111.4322190793232039
3136000,-2101.6423196463879322,-2102.5650307968644483,-2101.8814289683073184
3200000,-2084.6108342209877264,-2084.6718010030417645,-2084.8822597690832481
3264000,-2023.9999661641152215,-2022.8073078031006844,-2024.1533887280852468
3328000,-1952.5497836571398693,-1951.4106170924283106,-1950.6081050761708866
