"Step","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-4374.90625","-4374.90625","-4374.90625"
"128000","-4226.010009765625","-4226.010009765625","-4226.010009765625"
"192000","-4023.739990234375","-4023.739990234375","-4023.739990234375"
"256000","-3938.9299926757812","-3938.9299926757812","-3938.9299926757812"
"320000","-3835.9800415039062","-3835.9800415039062","-3835.9800415039062"
"384000","-3615.8199462890625","-3615.8199462890625","-3615.8199462890625"
"448000","-3652.6400756835938","-3652.6400756835938","-3652.6400756835938"
"512000","-3861.7000122070312","-3861.7000122070312","-3861.7000122070312"
"576000","-3800.6200561523438","-3800.6200561523438","-3800.6200561523438"
"640000","-3536.5","-3536.5","-3536.5"
"704000","-3537.0499877929688","-3537.0499877929688","-3537.0499877929688"
"768000","-3583.2299194335938","-3583.2299194335938","-3583.2299194335938"
"832000","-3336.6799926757812","-3336.6799926757812","-3336.6799926757812"
"896000","-2901.3399658203125","-2901.3399658203125","-2901.3399658203125"
"960000","-2622.4000244140625","-2622.4000244140625","-2622.4000244140625"
"1024000","-2687.6599731445312","-2687.6599731445312","-2687.6599731445312"
"1088000","-2698.020050048828","-2698.020050048828","-2698.020050048828"
"1152000","-2731.010009765625","-2731.010009765625","-2731.010009765625"
"1216000","-2506.4199829101562","-2506.4199829101562","-2506.4199829101562"
"1280000","-2204.759979248047","-2204.759979248047","-2204.759979248047"
"1344000","-2260.1200256347656","-2260.1200256347656","-2260.1200256347656"
"1408000","-2416.199981689453","-2416.199981689453","-2416.199981689453"
"1472000","-2369.779998779297","-2369.779998779297","-2369.779998779297"
"1536000","-2221.050018310547","-2221.050018310547","-2221.050018310547"
"1600000","-2318.209991455078","-2318.209991455078","-2318.209991455078"
"1664000","-2370.0700073242188","-2370.0700073242188","-2370.0700073242188"
