Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4366.2784563322929898,-4379.5422127675728916,-4384.1914294219168369
128000,-4230.8301108266286974,-4219.8303165796423855,-4216.7988061077730890
192000,-4031.1360581032372465,-4030.2043791048663479,-4018.6214991694050696
256000,-3947.7698070549276963,-3929.8052629555877502,-3929.8517396778734110
320000,-3842.5582326120425023,-3829.8994310372731888,-3843.8878709972709657
384000,-3624.0234806008179476,-3622.2772646553103186,-3625.6708427215398842
448000,-3659.0904297571896677,-3643.2807972995592536,-3647.8285847559964168
512000,-3866.4719898425378233,-3854.9899871218449334,-3856.6789904271295200
576000,-3810.1075667824461561,-3792.8605120853594599,-3794.9439438685790265
640000,-3542.9107911177925416,-3528.0709696429062205,-3528.4021634237587932
704000,-3541.7734739434154108,-3542.8592588318388152,-3544.7770473961095377
768000,-3591.9428032182895549,-3573.5708856661544814,-3574.6328842379239177
832000,-3331.9761009727121746,-3342.1344217640903480,-3345.0499809061193446
896000,-2909.0162463755100362,-2896.5324103609700614,-2896.2024943535011516
960000,-2616.7199816154702603,-2630.8848328079479870,-2629.3570827565881700
1024000,-2677.7323194669638724,-2692.9220345118237674,-2680.1457927646688404
1088000,-2692.7388515068337256,-2704.3955457069346267,-2689.8625616584554336
1152000,-2724.3566972711696508,-2724.9597822370419635,-2735.4336815026344993
1216000,-2515.8898307839181143,-2511.1711512032761675,-2516.3401613752612320
1280000,-2198.0027788726533799,-2197.2056045710378385,-2214.0153264793702874
1344000,-2265.4087478939291032,-2269.1001968638374819,-2268.0459253908243227
1408000,-2423.0080749424123496,-2422.1943009934734619,-2423.6875361150732715
1472000,-2364.3913575817318815,-2361.2885714946928601,-2379.3656693870484560
1536000,-2213.7979621715885514,-2230.8581792190830129,-2212.5188729793685525
1600000,-2327.3288870134574609,-2326.3899294767693391,-2324.6066867251929580
1664000,-2365.7681197562669695,-2375.2014458794747043,-2361.8404365537539888
1728000,-2350.7100821223380080,-2347.1701819340178190,-2347.3189011087838480
1792000,-2237.5777911791242332,-2234.7052650155251285,-2222.5548481303621884
1856000,-2160.5183567809353917,-2160.2620364901727044,-2163.5023173521262834
