"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4882.171875","-4882.171875","-4882.171875"
"128000","-4908.020080566406","-4908.020080566406","-4908.020080566406"
"192000","-4271.360046386719","-4271.360046386719","-4271.360046386719"
"256000","-3513.6500244140625","-3513.6500244140625","-3513.6500244140625"
"320000","-3058.3899536132812","-3058.3899536132812","-3058.3899536132812"
"384000","-2502.3199768066406","-2502.3199768066406","-2502.3199768066406"
"448000","-2071.480010986328","-2071.480010986328","-2071.480010986328"
"512000","-1830.6000061035156","-1830.6000061035156","-1830.6000061035156"
"576000","-1699.2000122070312","-1699.2000122070312","-1699.2000122070312"
"640000","-1452.7300109863281","-1452.7300109863281","-1452.7300109863281"
"704000","-1196.4500122070312","-1196.4500122070312","-1196.4500122070312"
"768000","-1004.0800018310547","-1004.0800018310547","-1004.0800018310547"
"832000","-787.9199981689453","-787.9199981689453","-787.9199981689453"
"896000","-627.0200042724609","-627.0200042724609","-627.0200042724609"
"960000","-544.1100006103516","-544.1100006103516","-544.1100006103516"
"1024000","-488.90999603271484","-488.90999603271484","-488.90999603271484"
"1088000","-465.4000015258789","-465.4000015258789","-465.4000015258789"
"1152000","-425.9100036621094","-425.9100036621094","-425.9100036621094"
"1216000","-363.13999938964844","-363.13999938964844","-363.13999938964844"
"1280000","-331.06999588012695","-331.06999588012695","-331.06999588012695"
"1344000","-303.54999923706055","-303.54999923706055","-303.54999923706055"
"1408000","-291.55999755859375","-291.55999755859375","-291.55999755859375"
"1472000","-236.5","-236.5","-236.5"
"1536000","-204.87999725341797","-204.87999725341797","-204.87999725341797"
"1600000","-170.82999992370605","-170.82999992370605","-170.82999992370605"
"1664000","-155.76000213623047","-155.76000213623047","-155.76000213623047"
"1728000","-140.8700008392334","-140.8700008392334","-140.8700008392334"
"1792000","-123.84000015258789","-123.84000015258789","-123.84000015258789"
"1856000","-92.98000144958496","-92.98000144958496","-92.98000144958496"
"1920000","-86.36999893188477","-86.36999893188477","-86.36999893188477"
"1984000","-69.23999881744385","-69.23999881744385","-69.23999881744385"
"2048000","-62.660000801086426","-62.660000801086426","-62.660000801086426"
"2112000","-62.09000015258789","-62.09000015258789","-62.09000015258789"
"2176000","-54.60000038146973","-54.60000038146973","-54.60000038146973"
"2240000","-41.549999713897705","-41.549999713897705","-41.549999713897705"
"2304000","-39.1700005531311","-39.1700005531311","-39.1700005531311"
"2368000","-33.65000033378601","-33.65000033378601","-33.65000033378601"
"2432000","-29.27999997138977","-29.27999997138977","-29.27999997138977"
"2496000","-19.84000015258789","-19.84000015258789","-19.84000015258789"
"2560000","-12.179999828338623","-12.179999828338623","-12.179999828338623"
"2624000","-17.21999967098236","-17.21999967098236","-17.21999967098236"
