"Step","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4882.171875","-4882.171875","-4882.171875"
"128000","-4934.280029296875","-4934.280029296875","-4934.280029296875"
"192000","-4215.229919433594","-4215.229919433594","-4215.229919433594"
"256000","-3504.7000122070312","-3504.7000122070312","-3504.7000122070312"
"320000","-2852.9100341796875","-2852.9100341796875","-2852.9100341796875"
"384000","-2337.3699645996094","-2337.3699645996094","-2337.3699645996094"
"448000","-1935.3300170898438","-1935.3300170898438","-1935.3300170898438"
"512000","-1775.2000122070312","-1775.2000122070312","-1775.2000122070312"
"576000","-1622.1499938964844","-1622.1499938964844","-1622.1499938964844"
"640000","-1432.5599975585938","-1432.5599975585938","-1432.5599975585938"
"704000","-1124.6900177001953","-1124.6900177001953","-1124.6900177001953"
"768000","-887.7999877929688","-887.7999877929688","-887.7999877929688"
"832000","-787.9500122070312","-787.9500122070312","-787.9500122070312"
"896000","-647.0299987792969","-647.0299987792969","-647.0299987792969"
"960000","-558.4600067138672","-558.4600067138672","-558.4600067138672"
"1024000","-514.1399993896484","-514.1399993896484","-514.1399993896484"
"1088000","-434.0599899291992","-434.0599899291992","-434.0599899291992"
"1152000","-402.62999725341797","-402.62999725341797","-402.62999725341797"
"1216000","-392.25","-392.25","-392.25"
"1280000","-334.4400100708008","-334.4400100708008","-334.4400100708008"
"1344000","-285.13000106811523","-285.13000106811523","-285.13000106811523"
"1408000","-262.2799987792969","-262.2799987792969","-262.2799987792969"
"1472000","-242.35000228881836","-242.35000228881836","-242.35000228881836"
"1536000","-220.90000534057617","-220.90000534057617","-220.90000534057617"
"1600000","-196.13999938964844","-196.13999938964844","-196.13999938964844"
"1664000","-186.73999786376953","-186.73999786376953","-186.73999786376953"
"1728000","-166.59000396728516","-166.59000396728516","-166.59000396728516"
"1792000","-141.3400001525879","-141.3400001525879","-141.3400001525879"
"1856000","-127.41999816894531","-127.41999816894531","-127.41999816894531"
"1920000","-105.17000007629395","-105.17000007629395","-105.17000007629395"
"1984000","-81.70999908447266","-81.70999908447266","-81.70999908447266"
"2048000","-77","-77","-77"
"2112000","-68.18999862670898","-68.18999862670898","-68.18999862670898"
"2176000","-46.84000015258789","-46.84000015258789","-46.84000015258789"
"2240000","-50.79999923706055","-50.79999923706055","-50.79999923706055"
"2304000","-40.06999969482422","-40.06999969482422","-40.06999969482422"
"2368000","-29.069999933242798","-29.069999933242798","-29.069999933242798"
"2432000","-27.90999984741211","-27.90999984741211","-27.90999984741211"
"2496000","-24.84999990463257","-24.84999990463257","-24.84999990463257"
"2560000","-23.329999923706055","-23.329999923706055","-23.329999923706055"
"2624000","-16.76999992132187","-16.76999992132187","-16.76999992132187"
"2688000","-7.319999979808927","-7.319999979808927","-7.319999979808927"
"2752000","-8.940000087022781","-8.940000087022781","-8.940000087022781"
"2816000","-6.649999987334013","-6.649999987334013","-6.649999987334013"
"2880000","-3.7299999594688416","-3.7299999594688416","-3.7299999594688416"
"2944000","-1.3099998608231544","-1.3099998608231544","-1.3099998608231544"
"3008000","-3.620000034570694","-3.620000034570694","-3.620000034570694"
"3072000","-0.9499999433755875","-0.9499999433755875","-0.9499999433755875"
"3136000","0.3700000196695328","0.3700000196695328","0.3700000196695328"
"3200000","-1.4999999813735485","-1.4999999813735485","-1.4999999813735485"
"3264000","-0.6400000005960464","-0.6400000005960464","-0.6400000005960464"
"3328000","1.5999999940395355","1.5999999940395355","1.5999999940395355"
"3392000","1.8499999642372131","1.8499999642372131","1.8499999642372131"
"3456000","4.659999966621399","4.659999966621399","4.659999966621399"
"3520000","6.020000010728836","6.020000010728836","6.020000010728836"
"3584000","4.709999963641167","4.709999963641167","4.709999963641167"
"3648000","5.669999957084656","5.669999957084656","5.669999957084656"
"3712000","2.4499999433755875","2.4499999433755875","2.4499999433755875"
"3776000","1.1999999284744263","1.1999999284744263","1.1999999284744263"
"3840000","3.260000053793192","3.260000053793192","3.260000053793192"
"3904000","3.4800000190734863","3.4800000190734863","3.4800000190734863"
"3968000","3.130000114440918","3.130000114440918","3.130000114440918"
"4032000","3.9799999594688416","3.9799999594688416","3.9799999594688416"
"4096000","4.029999956488609","4.029999956488609","4.029999956488609"
"4160000","4.889999985694885","4.889999985694885","4.889999985694885"
"4224000","5.709999859333038","5.709999859333038","5.709999859333038"
"4288000","5.669999957084656","5.669999957084656","5.669999957084656"
"4352000","6.040000021457672","6.040000021457672","6.040000021457672"
"4416000","5.9799999594688416","5.9799999594688416","5.9799999594688416"
"4480000","5.800000011920929","5.800000011920929","5.800000011920929"
"4544000","6.400000095367432","6.400000095367432","6.400000095367432"
"4608000","6.5000001192092896","6.5000001192092896","6.5000001192092896"
"4672000","6.549999952316284","6.549999952316284","6.549999952316284"
"4736000","4.959999978542328","4.959999978542328","4.959999978542328"
"4800000","3.9799999594688416","3.9799999594688416","3.9799999594688416"
"4864000","6.96999990940094","6.96999990940094","6.96999990940094"
"4928000","6.789999961853027","6.789999961853027","6.789999961853027"
"4992000","5.949999928474426","5.949999928474426","5.949999928474426"
"5056000","5.809999942779541","5.809999942779541","5.809999942779541"
"5120000","6.860000014305115","6.860000014305115","6.860000014305115"
"5184000","6.449999928474426","6.449999928474426","6.449999928474426"
"5248000","7.060000061988831","7.060000061988831","7.060000061988831"
"5312000","7.759999990463257","7.759999990463257","7.759999990463257"
"5376000","7.110000014305115","7.110000014305115","7.110000014305115"
"5440000","5.530000030994415","5.530000030994415","5.530000030994415"
"5504000","5.169999897480011","5.169999897480011","5.169999897480011"
"5568000","5.229999899864197","5.229999899864197","5.229999899864197"
"5632000","5.310000002384186","5.310000002384186","5.310000002384186"
"5696000","5.2700000405311584","5.2700000405311584","5.2700000405311584"
"5760000","4.8899999260902405","4.8899999260902405","4.8899999260902405"
"5824000","5.039999902248383","5.039999902248383","5.039999902248383"
"5888000","5.110000014305115","5.110000014305115","5.110000014305115"
"5952000","6.050000071525574","6.050000071525574","6.050000071525574"
"6016000","6.020000100135803","6.020000100135803","6.020000100135803"
"6080000","5.329999923706055","5.329999923706055","5.329999923706055"
"6144000","6.5","6.5","6.5"
"6208000","7.809999942779541","7.809999942779541","7.809999942779541"
"6272000","7.020000100135803","7.020000100135803","7.020000100135803"
