"Step","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4852.40625","-4852.40625","-4852.40625"
"128000","-4338.9599609375","-4338.9599609375","-4338.9599609375"
"192000","-3744.4299926757812","-3744.4299926757812","-3744.4299926757812"
"256000","-3143.3800659179688","-3143.3800659179688","-3143.3800659179688"
"320000","-2717.5","-2717.5","-2717.5"
"384000","-2444.3199768066406","-2444.3199768066406","-2444.3199768066406"
"448000","-2126.0299682617188","-2126.0299682617188","-2126.0299682617188"
"512000","-1764.97998046875","-1764.97998046875","-1764.97998046875"
"576000","-1457.3199768066406","-1457.3199768066406","-1457.3199768066406"
"640000","-1145.2699890136719","-1145.2699890136719","-1145.2699890136719"
"704000","-918.5200042724609","-918.5200042724609","-918.5200042724609"
"768000","-738.8199920654297","-738.8199920654297","-738.8199920654297"
"832000","-669.4699859619141","-669.4699859619141","-669.4699859619141"
"896000","-628.9799957275391","-628.9799957275391","-628.9799957275391"
"960000","-585.4700012207031","-585.4700012207031","-585.4700012207031"
"1024000","-498.72999572753906","-498.72999572753906","-498.72999572753906"
"1088000","-429.75999450683594","-429.75999450683594","-429.75999450683594"
"1152000","-397.3300018310547","-397.3300018310547","-397.3300018310547"
"1216000","-371.8199996948242","-371.8199996948242","-371.8199996948242"
"1280000","-336.8900032043457","-336.8900032043457","-336.8900032043457"
"1344000","-303.48999786376953","-303.48999786376953","-303.48999786376953"
"1408000","-268.20000076293945","-268.20000076293945","-268.20000076293945"
"1472000","-242.3499984741211","-242.3499984741211","-242.3499984741211"
"1536000","-221.11999893188477","-221.11999893188477","-221.11999893188477"
"1600000","-164.39999771118164","-164.39999771118164","-164.39999771118164"
"1664000","-133.49999809265137","-133.49999809265137","-133.49999809265137"
"1728000","-107.38000106811523","-107.38000106811523","-107.38000106811523"
"1792000","-95.67000198364258","-95.67000198364258","-95.67000198364258"
"1856000","-95.84000015258789","-95.84000015258789","-95.84000015258789"
"1920000","-105.97999954223633","-105.97999954223633","-105.97999954223633"
"1984000","-73.01999950408936","-73.01999950408936","-73.01999950408936"
"2048000","-66.1899995803833","-66.1899995803833","-66.1899995803833"
"2112000","-56.72999954223633","-56.72999954223633","-56.72999954223633"
"2176000","-44.87000036239624","-44.87000036239624","-44.87000036239624"
"2240000","-36.5","-36.5","-36.5"
"2304000","-30.079999923706055","-30.079999923706055","-30.079999923706055"
"2368000","-28.130000591278076","-28.130000591278076","-28.130000591278076"
"2432000","-31.65999984741211","-31.65999984741211","-31.65999984741211"
"2496000","-24.28999972343445","-24.28999972343445","-24.28999972343445"
"2560000","-16.450000047683716","-16.450000047683716","-16.450000047683716"
"2624000","-14.89000004529953","-14.89000004529953","-14.89000004529953"
"2688000","-8.890000075101852","-8.890000075101852","-8.890000075101852"
"2752000","-10.289999976754189","-10.289999976754189","-10.289999976754189"
"2816000","-3.2299998998641968","-3.2299998998641968","-3.2299998998641968"
"2880000","0.34000012278556824","0.34000012278556824","0.34000012278556824"
"2944000","0.020000040531158447","0.020000040531158447","0.020000040531158447"
"3008000","1.449999988079071","1.449999988079071","1.449999988079071"
"3072000","1.450000025331974","1.450000025331974","1.450000025331974"
"3136000","1.1099999621510506","1.1099999621510506","1.1099999621510506"
"3200000","4.579999970272183","4.579999970272183","4.579999970272183"
"3264000","1.9800000190734863","1.9800000190734863","1.9800000190734863"
"3328000","2.8400000017136335","2.8400000017136335","2.8400000017136335"
"3392000","2.6200000271201134","2.6200000271201134","2.6200000271201134"
"3456000","4.139999985694885","4.139999985694885","4.139999985694885"
"3520000","2.330000013113022","2.330000013113022","2.330000013113022"
"3584000","2.5799999684095383","2.5799999684095383","2.5799999684095383"
"3648000","4.650000035762787","4.650000035762787","4.650000035762787"
"3712000","4.539999961853027","4.539999961853027","4.539999961853027"
"3776000","3.78999993391335","3.78999993391335","3.78999993391335"
"3840000","4.600000023841858","4.600000023841858","4.600000023841858"
"3904000","5.539999902248383","5.539999902248383","5.539999902248383"
"3968000","4.669999927282333","4.669999927282333","4.669999927282333"
"4032000","4.8899999260902405","4.8899999260902405","4.8899999260902405"
"4096000","5.2299999594688416","5.2299999594688416","5.2299999594688416"
"4160000","5.680000066757202","5.680000066757202","5.680000066757202"
"4224000","4.129999995231628","4.129999995231628","4.129999995231628"
"4288000","4.710000097751617","4.710000097751617","4.710000097751617"
"4352000","5.530000150203705","5.530000150203705","5.530000150203705"
"4416000","4.950000047683716","4.950000047683716","4.950000047683716"
"4480000","6.160000026226044","6.160000026226044","6.160000026226044"
"4544000","6.190000057220459","6.190000057220459","6.190000057220459"
"4608000","6.439999938011169","6.439999938011169","6.439999938011169"
"4672000","6.309999942779541","6.309999942779541","6.309999942779541"
"4736000","5.960000038146973","5.960000038146973","5.960000038146973"
"4800000","4.520000010728836","4.520000010728836","4.520000010728836"
"4864000","5.549999892711639","5.549999892711639","5.549999892711639"
"4928000","5.870000064373016","5.870000064373016","5.870000064373016"
"4992000","5.629999935626984","5.629999935626984","5.629999935626984"
"5056000","4.649999976158142","4.649999976158142","4.649999976158142"
"5120000","5.240000009536743","5.240000009536743","5.240000009536743"
"5184000","4.870000004768372","4.870000004768372","4.870000004768372"
"5248000","4.14000004529953","4.14000004529953","4.14000004529953"
"5312000","5.040000081062317","5.040000081062317","5.040000081062317"
"5376000","4.319999992847443","4.319999992847443","4.319999992847443"
"5440000","5.090000092983246","5.090000092983246","5.090000092983246"
"5504000","5.909999847412109","5.909999847412109","5.909999847412109"
