"Step","Job Type: training - SW_ep_rew_mean","Job Type: training - SW_ep_rew_mean__MIN","Job Type: training - SW_ep_rew_mean__MAX"
"64000","-0.9799999793370565","-0.9799999793370565","-0.9799999793370565"
"128000","-0.5133333603541056","-0.5133333603541056","-0.5133333603541056"
"192000","-0.9000000754992167","-0.9000000754992167","-0.9000000754992167"
"256000","-1.0133333578705788","-1.0133333578705788","-1.0133333578705788"
"320000","-1.136666735013326","-1.136666735013326","-1.136666735013326"
"384000","-0.9199999868869781","-0.9199999868869781","-0.9199999868869781"
"448000","-1.4233333691954613","-1.4233333691954613","-1.4233333691954613"
"512000","-1.2499999403953552","-1.2499999403953552","-1.2499999403953552"
"576000","-0.9366667668024699","-0.9366667668024699","-0.9366667668024699"
"640000","-1.0466667413711548","-1.0466667413711548","-1.0466667413711548"
"704000","-0.7666667426625887","-0.7666667426625887","-0.7666667426625887"
"768000","-0.8633333643277487","-0.8633333643277487","-0.8633333643277487"
"832000","-0.866666649778684","-0.866666649778684","-0.866666649778684"
"896000","-1.2766666213671367","-1.2766666213671367","-1.2766666213671367"
"960000","-0.7666666905085245","-0.7666666905085245","-0.7666666905085245"
"1024000","-1.0533332427342732","-1.0533332427342732","-1.0533332427342732"
"1088000","-1.2066666682561238","-1.2066666682561238","-1.2066666682561238"
"1152000","-0.8600000341733297","-0.8600000341733297","-0.8600000341733297"
"1216000","-1.2800000856320064","-1.2800000856320064","-1.2800000856320064"
"1280000","-0.9699999888737997","-0.9699999888737997","-0.9699999888737997"
"1344000","-0.8833332856496176","-0.8833332856496176","-0.8833332856496176"
"1408000","-0.8066666026910146","-0.8066666026910146","-0.8066666026910146"
"1472000","-0.5199999995529652","-0.5199999995529652","-0.5199999995529652"
"1536000","-0.9300000270207723","-0.9300000270207723","-0.9300000270207723"
"1600000","-0.9699999888737997","-0.9699999888737997","-0.9699999888737997"
"1664000","-1.246666652460893","-1.246666652460893","-1.246666652460893"
"1728000","-0.6133333245913187","-0.6133333245913187","-0.6133333245913187"
"1792000","-1.4899999300638835","-1.4899999300638835","-1.4899999300638835"
"1856000","-0.7566667000452677","-0.7566667000452677","-0.7566667000452677"
"1920000","-0.513333280881246","-0.513333280881246","-0.513333280881246"
"1984000","-0.7333333094914755","-0.7333333094914755","-0.7333333094914755"
"2048000","-0.9699999491373698","-0.9699999491373698","-0.9699999491373698"
"2112000","-0.6733333667119344","-0.6733333667119344","-0.6733333667119344"
"2176000","-1.146666685740153","-1.146666685740153","-1.146666685740153"
"2240000","-1.3666666348775227","-1.3666666348775227","-1.3666666348775227"
"2304000","-0.9200000762939453","-0.9200000762939453","-0.9200000762939453"
"2368000","-0.9799999396006266","-0.9799999396006266","-0.9799999396006266"
"2432000","-0.9999999403953552","-0.9999999403953552","-0.9999999403953552"
"2496000","-1.280000001192093","-1.280000001192093","-1.280000001192093"
"2560000","-0.6333333651224772","-0.6333333651224772","-0.6333333651224772"
"2624000","-1.2066666682561238","-1.2066666682561238","-1.2066666682561238"
"2688000","-0.736666719118754","-0.736666719118754","-0.736666719118754"
"2752000","-1.1000000635782878","-1.1000000635782878","-1.1000000635782878"
"2816000","-0.3066667318344116","-0.3066667318344116","-0.3066667318344116"
"2880000","-1.1399999459584553","-1.1399999459584553","-1.1399999459584553"
"2944000","-1.366666595141093","-1.366666595141093","-1.366666595141093"
"3008000","-1.5566665927569072","-1.5566665927569072","-1.5566665927569072"
"3072000","-0.740000049273173","-0.740000049273173","-0.740000049273173"
"3136000","-1.2100000778834026","-1.2100000778834026","-1.2100000778834026"
"3200000","-0.5000000397364298","-0.5000000397364298","-0.5000000397364298"
"3264000","-1.3799999157587688","-1.3799999157587688","-1.3799999157587688"
"3328000","-0.7533333500226339","-0.7533333500226339","-0.7533333500226339"
"3392000","-0.7900000711282095","-0.7900000711282095","-0.7900000711282095"
"3456000","-1.5866666734218597","-1.5866666734218597","-1.5866666734218597"
"3520000","-0.9133333091934522","-0.9133333091934522","-0.9133333091934522"
"3584000","-0.8999999364217123","-0.8999999364217123","-0.8999999364217123"
"3648000","-0.7366665999094645","-0.7366665999094645","-0.7366665999094645"
"3712000","-1.206666648387909","-1.206666648387909","-1.206666648387909"
"3776000","-0.7000000476837158","-0.7000000476837158","-0.7000000476837158"
"3840000","-0.4099999765555064","-0.4099999765555064","-0.4099999765555064"
"3904000","-0.8266667127609253","-0.8266667127609253","-0.8266667127609253"
"3968000","-0.6599999070167542","-0.6599999070167542","-0.6599999070167542"
"4032000","-0.7666667103767395","-0.7666667103767395","-0.7666667103767395"
"4096000","-0.65666663646698","-0.65666663646698","-0.65666663646698"
"4160000","-0.9333333969116211","-0.9333333969116211","-0.9333333969116211"
"4224000","-0.7666666110356649","-0.7666666110356649","-0.7666666110356649"
"4288000","-0.846666693687439","-0.846666693687439","-0.846666693687439"
"4352000","-0.6333332856496176","-0.6333332856496176","-0.6333332856496176"
"4416000","-0.753333310286204","-0.753333310286204","-0.753333310286204"
"4480000","-0.5866665840148926","-0.5866665840148926","-0.5866665840148926"
"4544000","-0.5733333627382914","-0.5733333627382914","-0.5733333627382914"
"4608000","-0.440000057220459","-0.440000057220459","-0.440000057220459"
"4672000","-0.9399999777475992","-0.9399999777475992","-0.9399999777475992"
"4736000","-0.9466665585835775","-0.9466665585835775","-0.9466665585835775"
"4800000","-0.9300000270207723","-0.9300000270207723","-0.9300000270207723"
"4864000","-0.8333333730697632","-0.8333333730697632","-0.8333333730697632"
"4928000","-1.1066666916012764","-1.1066666916012764","-1.1066666916012764"
"4992000","-1.603333314259847","-1.603333314259847","-1.603333314259847"
"5056000","-0.9933332900206248","-0.9933332900206248","-0.9933332900206248"
"5120000","-0.6600000460942587","-0.6600000460942587","-0.6600000460942587"
"5184000","-1.096666653951009","-1.096666653951009","-1.096666653951009"
"5248000","-0.8233334223429362","-0.8233334223429362","-0.8233334223429362"
"5312000","-0.8666666150093079","-0.8666666150093079","-0.8666666150093079"
"5376000","-1.5733334024747212","-1.5733334024747212","-1.5733334024747212"
"5440000","-0.9100000460942587","-0.9100000460942587","-0.9100000460942587"
"5504000","-0.7733333905537924","-0.7733333905537924","-0.7733333905537924"
"5568000","-0.5966667334238688","-0.5966667334238688","-0.5966667334238688"
"5632000","-1.056666612625122","-1.056666612625122","-1.056666612625122"
"5696000","-0.8933333158493042","-0.8933333158493042","-0.8933333158493042"
"5760000","-0.29666668176651","-0.29666668176651","-0.29666668176651"
"5824000","-0.8733332852522532","-0.8733332852522532","-0.8733332852522532"
"5888000","-0.8433333138624827","-0.8433333138624827","-0.8433333138624827"
"5952000","-0.5400000214576721","-0.5400000214576721","-0.5400000214576721"
"6016000","-0.6399998664855957","-0.6399998664855957","-0.6399998664855957"
"6080000","-0.6900000174840292","-0.6900000174840292","-0.6900000174840292"
"6144000","-1.0266666089495022","-1.0266666089495022","-1.0266666089495022"
"6208000","-1.1466667490700881","-1.1466667490700881","-1.1466667490700881"
"6272000","-0.9933333992958069","-0.9933333992958069","-0.9933333992958069"
"6336000","-1.0733334223429363","-1.0733334223429363","-1.0733334223429363"
"6400000","-0.853333314259847","-0.853333314259847","-0.853333314259847"
"6464000","-1.2766666288177173","-1.2766666288177173","-1.2766666288177173"
"6528000","-1.1133333345254262","-1.1133333345254262","-1.1133333345254262"
"6592000","-1.1999999682108562","-1.1999999682108562","-1.1999999682108562"
"6656000","-0.606666644414266","-0.606666644414266","-0.606666644414266"
"6720000","-1.2933333814144135","-1.2933333814144135","-1.2933333814144135"
"6784000","-1.4666667381922405","-1.4666667381922405","-1.4666667381922405"
"6848000","-1.4633333285649617","-1.4633333285649617","-1.4633333285649617"
"6912000","-0.8333333333333334","-0.8333333333333334","-0.8333333333333334"
"6976000","-0.8800000051657358","-0.8800000051657358","-0.8800000051657358"
"7040000","-0.7000000476837158","-0.7000000476837158","-0.7000000476837158"
"7104000","-1.6166666746139526","-1.6166666746139526","-1.6166666746139526"
"7168000","-1.0799999237060547","-1.0799999237060547","-1.0799999237060547"
"7232000","-0.6366666952768961","-0.6366666952768961","-0.6366666952768961"
"7296000","-1.053333322207133","-1.053333322207133","-1.053333322207133"
"7360000","-1.346666693687439","-1.346666693687439","-1.346666693687439"
"7424000","-1.0066667199134827","-1.0066667199134827","-1.0066667199134827"
"7488000","-1.2466666251420975","-1.2466666251420975","-1.2466666251420975"
"7552000","-1.0500000317891438","-1.0500000317891438","-1.0500000317891438"
"7616000","-0.8399999539057413","-0.8399999539057413","-0.8399999539057413"
"7680000","-1.216666618982951","-1.216666618982951","-1.216666618982951"
"7744000","-0.8800000747044882","-0.8800000747044882","-0.8800000747044882"
"7808000","-0.9000000109275182","-0.9000000109275182","-0.9000000109275182"
