"Step","coin3_cbambaseline - SW_ep_rew_total","coin3_cbambaseline - SW_ep_rew_total__MIN","coin3_cbambaseline - SW_ep_rew_total__MAX"
"64000","-3.640000104904175","-3.640000104904175","-3.640000104904175"
"128000","-1.6399998664855957","-1.6399998664855957","-1.6399998664855957"
"192000","-2.7200005054473877","-2.7200005054473877","-2.7200005054473877"
"256000","-3.519999861717224","-3.519999861717224","-3.519999861717224"
"320000","-1.0499999523162842","-1.0499999523162842","-1.0499999523162842"
"384000","-3.139999747276306","-3.139999747276306","-3.139999747276306"
"448000","-3.8799999952316284","-3.8799999952316284","-3.8799999952316284"
"512000","-2.420000195503235","-2.420000195503235","-2.420000195503235"
"576000","-1.899999976158142","-1.899999976158142","-1.899999976158142"
"640000","-3.1200000047683716","-3.1200000047683716","-3.1200000047683716"
"704000","-2.659999966621399","-2.659999966621399","-2.659999966621399"
"768000","-2.9999999403953552","-2.9999999403953552","-2.9999999403953552"
"832000","-2.7399998903274536","-2.7399998903274536","-2.7399998903274536"
"896000","-2.0299999117851257","-2.0299999117851257","-2.0299999117851257"
"960000","-1.7800000309944153","-1.7800000309944153","-1.7800000309944153"
"1024000","-1.930000126361847","-1.930000126361847","-1.930000126361847"
"1088000","-3.2599998712539673","-3.2599998712539673","-3.2599998712539673"
"1152000","-2.2400002479553223","-2.2400002479553223","-2.2400002479553223"
"1216000","-2.0400002002716064","-2.0400002002716064","-2.0400002002716064"
"1280000","-3.6999998539686203","-3.6999998539686203","-3.6999998539686203"
"1344000","-3.969999849796295","-3.969999849796295","-3.969999849796295"
"1408000","-2.380000114440918","-2.380000114440918","-2.380000114440918"
"1472000","-3.6400002241134644","-3.6400002241134644","-3.6400002241134644"
"1536000","-2.3400001525878906","-2.3400001525878906","-2.3400001525878906"
"1600000","-2.930000066757202","-2.930000066757202","-2.930000066757202"
"1664000","-2.760000228881836","-2.760000228881836","-2.760000228881836"
"1728000","-2.340000033378601","-2.340000033378601","-2.340000033378601"
"1792000","-0.9199998378753662","-0.9199998378753662","-0.9199998378753662"
"1856000","-2.4799998998641968","-2.4799998998641968","-2.4799998998641968"
"1920000","-3.1799999475479126","-3.1799999475479126","-3.1799999475479126"
"1984000","-3.2299996614456177","-3.2299996614456177","-3.2299996614456177"
"2048000","-3.3499998450279236","-3.3499998450279236","-3.3499998450279236"
"2112000","-1.8400000631809235","-1.8400000631809235","-1.8400000631809235"
"2176000","-4.479999780654907","-4.479999780654907","-4.479999780654907"
"2240000","-3.789999842643738","-3.789999842643738","-3.789999842643738"
"2304000","-1.1400001049041748","-1.1400001049041748","-1.1400001049041748"
"2368000","-1.4399998188018799","-1.4399998188018799","-1.4399998188018799"
"2432000","-3.1000001430511475","-3.1000001430511475","-3.1000001430511475"
"2496000","-2.2399998903274536","-2.2399998903274536","-2.2399998903274536"
"2560000","-2.779999990016222","-2.779999990016222","-2.779999990016222"
"2624000","-4.089999854564667","-4.089999854564667","-4.089999854564667"
"2688000","-2.679999828338623","-2.679999828338623","-2.679999828338623"
"2752000","-2.169999837875366","-2.169999837875366","-2.169999837875366"
"2816000","-2.879999876022339","-2.879999876022339","-2.879999876022339"
"2880000","-3.0199998021125793","-3.0199998021125793","-3.0199998021125793"
"2944000","-2.020000036805868","-2.020000036805868","-2.020000036805868"
"3008000","-1.9599997997283936","-1.9599997997283936","-1.9599997997283936"
"3072000","-2.9999999403953552","-2.9999999403953552","-2.9999999403953552"
"3136000","-2.0799999237060547","-2.0799999237060547","-2.0799999237060547"
"3200000","-4.30999992787838","-4.30999992787838","-4.30999992787838"
"3264000","-3.249999761581421","-3.249999761581421","-3.249999761581421"
"3328000","-3.690000057220459","-3.690000057220459","-3.690000057220459"
"3392000","-4.080000013113022","-4.080000013113022","-4.080000013113022"
"3456000","-1.4799998998641968","-1.4799998998641968","-1.4799998998641968"
"3520000","-2.229999840259552","-2.229999840259552","-2.229999840259552"
"3584000","-2.559999942779541","-2.559999942779541","-2.559999942779541"
"3648000","-3.5200002193450928","-3.5200002193450928","-3.5200002193450928"
"3712000","-3.35999995470047","-3.35999995470047","-3.35999995470047"
"3776000","-3.2699999809265137","-3.2699999809265137","-3.2699999809265137"
"3840000","-2.5499998331069946","-2.5499998331069946","-2.5499998331069946"
"3904000","-1.840000033378601","-1.840000033378601","-1.840000033378601"
"3968000","-3.1500001549720764","-3.1500001549720764","-3.1500001549720764"
"4032000","-3.5600001513957977","-3.5600001513957977","-3.5600001513957977"
"4096000","-2.059999942779541","-2.059999942779541","-2.059999942779541"
"4160000","-0.6799998879432678","-0.6799998879432678","-0.6799998879432678"
"4224000","-2.3600001335144043","-2.3600001335144043","-2.3600001335144043"
"4288000","-1.9199998378753662","-1.9199998378753662","-1.9199998378753662"
"4352000","-2.2100000381469727","-2.2100000381469727","-2.2100000381469727"
"4416000","-2.619999885559082","-2.619999885559082","-2.619999885559082"
"4480000","-3.3499999046325684","-3.3499999046325684","-3.3499999046325684"
"4544000","-2.620000272989273","-2.620000272989273","-2.620000272989273"
"4608000","-2.2999998331069946","-2.2999998331069946","-2.2999998331069946"
"4672000","-3.6499998569488525","-3.6499998569488525","-3.6499998569488525"
"4736000","-1.7199997901916504","-1.7199997901916504","-1.7199997901916504"
"4800000","-2.4400001019239426","-2.4400001019239426","-2.4400001019239426"
"4864000","-2.960000019520521","-2.960000019520521","-2.960000019520521"
"4928000","-1.539999894797802","-1.539999894797802","-1.539999894797802"
"4992000","-3.3399999141693115","-3.3399999141693115","-3.3399999141693115"
"5056000","-3.399999976158142","-3.399999976158142","-3.399999976158142"
"5120000","-2.460000157356262","-2.460000157356262","-2.460000157356262"
"5184000","-3.630000352859497","-3.630000352859497","-3.630000352859497"
"5248000","-3.6700000911951065","-3.6700000911951065","-3.6700000911951065"
"5312000","-3.2400001287460327","-3.2400001287460327","-3.2400001287460327"
"5376000","-1.5200002193450928","-1.5200002193450928","-1.5200002193450928"
"5440000","-3.5199997425079346","-3.5199997425079346","-3.5199997425079346"
"5504000","-2.4799997806549072","-2.4799997806549072","-2.4799997806549072"
"5568000","-2.0300002694129944","-2.0300002694129944","-2.0300002694129944"
"5632000","-2.569999933242798","-2.569999933242798","-2.569999933242798"
"5696000","-1.059999704360962","-1.059999704360962","-1.059999704360962"
"5760000","-2.8400000017136335","-2.8400000017136335","-2.8400000017136335"
"5824000","-2.6800001859664917","-2.6800001859664917","-2.6800001859664917"
"5888000","-1.9500000476837158","-1.9500000476837158","-1.9500000476837158"
"5952000","-0.5899999141693115","-0.5899999141693115","-0.5899999141693115"
"6016000","-1.9099998474121094","-1.9099998474121094","-1.9099998474121094"
"6080000","-2.0999999046325684","-2.0999999046325684","-2.0999999046325684"
"6144000","-2.490000009536743","-2.490000009536743","-2.490000009536743"
"6208000","-2.6399999856948853","-2.6399999856948853","-2.6399999856948853"
"6272000","-2.5199999809265137","-2.5199999809265137","-2.5199999809265137"
"6336000","-2.0600000619888306","-2.0600000619888306","-2.0600000619888306"
"6400000","-2.28000009059906","-2.28000009059906","-2.28000009059906"
"6464000","-2.859999895095825","-2.859999895095825","-2.859999895095825"
"6528000","-2.9700001180171967","-2.9700001180171967","-2.9700001180171967"
"6592000","-2.0199999809265137","-2.0199999809265137","-2.0199999809265137"
"6656000","-4.1599999368190765","-4.1599999368190765","-4.1599999368190765"
"6720000","-3.8400001525878906","-3.8400001525878906","-3.8400001525878906"
"6784000","-2.240000009536743","-2.240000009536743","-2.240000009536743"
"6848000","-3.4000000953674316","-3.4000000953674316","-3.4000000953674316"
"6912000","-2.1699999570846558","-2.1699999570846558","-2.1699999570846558"
"6976000","-1.8000001311302185","-1.8000001311302185","-1.8000001311302185"
