"Step","coin3_cbam_causal - SW_ep_rew_mean","coin3_cbam_causal - SW_ep_rew_mean__MIN","coin3_cbam_causal - SW_ep_rew_mean__MAX"
"64000","-2.7733333110809326","-2.7733333110809326","-2.7733333110809326"
"128000","-2.6233333746592202","-2.6233333746592202","-2.6233333746592202"
"192000","-2.1999999632438025","-2.1999999632438025","-2.1999999632438025"
"256000","-2.31666667945683","-2.31666667945683","-2.31666667945683"
"320000","-2.4566667079925537","-2.4566667079925537","-2.4566667079925537"
"384000","-2.553333342075348","-2.553333342075348","-2.553333342075348"
"448000","-2.453333298365275","-2.453333298365275","-2.453333298365275"
"512000","-2.6266666253407798","-2.6266666253407798","-2.6266666253407798"
"576000","-2.993333339691162","-2.993333339691162","-2.993333339691162"
"640000","-2.606666644414266","-2.606666644414266","-2.606666644414266"
"704000","-2.2666666507720947","-2.2666666507720947","-2.2666666507720947"
"768000","-3.3400000731150308","-3.3400000731150308","-3.3400000731150308"
"832000","-2.890000025431315","-2.890000025431315","-2.890000025431315"
"896000","-2.6100000143051147","-2.6100000143051147","-2.6100000143051147"
"960000","-2.506666660308838","-2.506666660308838","-2.506666660308838"
"1024000","-2.986666679382324","-2.986666679382324","-2.986666679382324"
"1088000","-2.709999958674113","-2.709999958674113","-2.709999958674113"
"1152000","-2.459999998410543","-2.459999998410543","-2.459999998410543"
"1216000","-2.2533333152532578","-2.2533333152532578","-2.2533333152532578"
"1280000","-3.2600000301996865","-3.2600000301996865","-3.2600000301996865"
"1344000","-2.9333333571751914","-2.9333333571751914","-2.9333333571751914"
"1408000","-2.9266666968663535","-2.9266666968663535","-2.9266666968663535"
"1472000","-3.6633333365122476","-3.6633333365122476","-3.6633333365122476"
"1536000","-2.7733333011468253","-2.7733333011468253","-2.7733333011468253"
"1600000","-3.0933333237965903","-3.0933333237965903","-3.0933333237965903"
"1664000","-3.259999990463257","-3.259999990463257","-3.259999990463257"
"1728000","-2.626666704813639","-2.626666704813639","-2.626666704813639"
"1792000","-2.0066667000452676","-2.0066667000452676","-2.0066667000452676"
