"Step","coin3_cbamsvo - SW_ep_rew_total","coin3_cbamsvo - SW_ep_rew_total__MIN","coin3_cbamsvo - SW_ep_rew_total__MAX"
"64000","-2.3199998289346695","-2.3199998289346695","-2.3199998289346695"
"128000","-2.9699998795986176","-2.9699998795986176","-2.9699998795986176"
"192000","-2.399999685585499","-2.399999685585499","-2.399999685585499"
"256000","-2.900000214576721","-2.900000214576721","-2.900000214576721"
"320000","-3.149999976158142","-3.149999976158142","-3.149999976158142"
"384000","-3.5000001192092896","-3.5000001192092896","-3.5000001192092896"
"448000","-2.9200002551078796","-2.9200002551078796","-2.9200002551078796"
"512000","-4.319999843835831","-4.319999843835831","-4.319999843835831"
"576000","-3.620000123977661","-3.620000123977661","-3.620000123977661"
"640000","-3.679999828338623","-3.679999828338623","-3.679999828338623"
"704000","-2.9399998784065247","-2.9399998784065247","-2.9399998784065247"
"768000","-4.539999783039093","-4.539999783039093","-4.539999783039093"
"832000","-2.5300000309944153","-2.5300000309944153","-2.5300000309944153"
"896000","-3.1799999475479126","-3.1799999475479126","-3.1799999475479126"
"960000","-2.859999865293503","-2.859999865293503","-2.859999865293503"
"1024000","-0.6699999570846558","-0.6699999570846558","-0.6699999570846558"
"1088000","-3.9400001615285873","-3.9400001615285873","-3.9400001615285873"
"1152000","-5.679999947547913","-5.679999947547913","-5.679999947547913"
"1216000","-3.28000009059906","-3.28000009059906","-3.28000009059906"
"1280000","-3.4599999487400055","-3.4599999487400055","-3.4599999487400055"
"1344000","-3.940000295639038","-3.940000295639038","-3.940000295639038"
"1408000","-4.9399997889995575","-4.9399997889995575","-4.9399997889995575"
"1472000","-2.7300000488758087","-2.7300000488758087","-2.7300000488758087"
"1536000","-3.4299999475479126","-3.4299999475479126","-3.4299999475479126"
"1600000","-4.379999935626984","-4.379999935626984","-4.379999935626984"
"1664000","-3.4999999403953552","-3.4999999403953552","-3.4999999403953552"
"1728000","-3.20000022649765","-3.20000022649765","-3.20000022649765"
"1792000","-3.6600000858306885","-3.6600000858306885","-3.6600000858306885"
"1856000","-3.7600001096725464","-3.7600001096725464","-3.7600001096725464"
"1920000","-5.120000272989273","-5.120000272989273","-5.120000272989273"
"1984000","-5.2799999713897705","-5.2799999713897705","-5.2799999713897705"
"2048000","-3.000000210478902","-3.000000210478902","-3.000000210478902"
"2112000","-5.060000047087669","-5.060000047087669","-5.060000047087669"
"2176000","-4.510000228881836","-4.510000228881836","-4.510000228881836"
"2240000","-4.100000157952309","-4.100000157952309","-4.100000157952309"
"2304000","-4.549999982118607","-4.549999982118607","-4.549999982118607"
"2368000","-5.049999825656414","-5.049999825656414","-5.049999825656414"
"2432000","-5.6800000704824924","-5.6800000704824924","-5.6800000704824924"
"2496000","-4.520000085234642","-4.520000085234642","-4.520000085234642"
"2560000","-7.399999991059303","-7.399999991059303","-7.399999991059303"
"2624000","-6.560000091791153","-6.560000091791153","-6.560000091791153"
