"Step","coin4_cbaminequity_aversion - SW_ep_rew_total","coin4_cbaminequity_aversion - SW_ep_rew_total__MIN","coin4_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","-4.699999790638685","-4.699999790638685","-4.699999790638685"
"128000","-4.959999918937683","-4.959999918937683","-4.959999918937683"
"192000","-5.470000088214874","-5.470000088214874","-5.470000088214874"
"256000","-5.94000044465065","-5.94000044465065","-5.94000044465065"
"320000","-3.679999828338623","-3.679999828338623","-3.679999828338623"
"384000","-6.519999921321869","-6.519999921321869","-6.519999921321869"
"448000","-4.5999999940395355","-4.5999999940395355","-4.5999999940395355"
"512000","-6.1799997091293335","-6.1799997091293335","-6.1799997091293335"
"576000","-5.819999992847443","-5.819999992847443","-5.819999992847443"
"640000","-4.960000514984131","-4.960000514984131","-4.960000514984131"
"704000","-5.379999876022339","-5.379999876022339","-5.379999876022339"
"768000","-5.239999622106552","-5.239999622106552","-5.239999622106552"
"832000","-5.860000312328339","-5.860000312328339","-5.860000312328339"
"896000","-5.620000332593918","-5.620000332593918","-5.620000332593918"
"960000","-4.839999735355377","-4.839999735355377","-4.839999735355377"
"1024000","-3.4300003051757812","-3.4300003051757812","-3.4300003051757812"
"1088000","-6.580000281333923","-6.580000281333923","-6.580000281333923"
"1152000","-6.320000141859055","-6.320000141859055","-6.320000141859055"
"1216000","-6.0400002002716064","-6.0400002002716064","-6.0400002002716064"
"1280000","-6.3000000193715096","-6.3000000193715096","-6.3000000193715096"
"1344000","-5.539999723434448","-5.539999723434448","-5.539999723434448"
"1408000","-4.180000066757202","-4.180000066757202","-4.180000066757202"
"1472000","-6.379999756813049","-6.379999756813049","-6.379999756813049"
"1536000","-5.600000128149986","-5.600000128149986","-5.600000128149986"
"1600000","-6.680000185966492","-6.680000185966492","-6.680000185966492"
"1664000","-6.479999780654907","-6.479999780654907","-6.479999780654907"
"1728000","-5.360000371932983","-5.360000371932983","-5.360000371932983"
"1792000","-5.430000066757202","-5.430000066757202","-5.430000066757202"
"1856000","-4.019999980926514","-4.019999980926514","-4.019999980926514"
"1920000","-5.499999761581421","-5.499999761581421","-5.499999761581421"
"1984000","-5.419999986886978","-5.419999986886978","-5.419999986886978"
"2048000","-5.579999566078186","-5.579999566078186","-5.579999566078186"
"2112000","-5.4999998807907104","-5.4999998807907104","-5.4999998807907104"
"2176000","-3.199999988079071","-3.199999988079071","-3.199999988079071"
"2240000","-4.980000257492065","-4.980000257492065","-4.980000257492065"
"2304000","-6.599999904632568","-6.599999904632568","-6.599999904632568"
"2368000","-6.559999942779541","-6.559999942779541","-6.559999942779541"
"2432000","-7.3999998569488525","-7.3999998569488525","-7.3999998569488525"
"2496000","-5.8999998569488525","-5.8999998569488525","-5.8999998569488525"
"2560000","-5.1600002348423","-5.1600002348423","-5.1600002348423"
"2624000","-6.179999828338623","-6.179999828338623","-6.179999828338623"
"2688000","-5.579999685287476","-5.579999685287476","-5.579999685287476"
"2752000","-6.360000550746918","-6.360000550746918","-6.360000550746918"
"2816000","-6.859999626874924","-6.859999626874924","-6.859999626874924"
"2880000","-5.700000017881393","-5.700000017881393","-5.700000017881393"
"2944000","-4.940000057220459","-4.940000057220459","-4.940000057220459"
"3008000","-7.580000102519989","-7.580000102519989","-7.580000102519989"
"3072000","-4.639999806880951","-4.639999806880951","-4.639999806880951"
"3136000","-7.039999842643738","-7.039999842643738","-7.039999842643738"
"3200000","-3.959999680519104","-3.959999680519104","-3.959999680519104"
"3264000","-5.890000343322754","-5.890000343322754","-5.890000343322754"
"3328000","-5.5799999833106995","-5.5799999833106995","-5.5799999833106995"
"3392000","-4.339999794960022","-4.339999794960022","-4.339999794960022"
"3456000","-4.679999947547913","-4.679999947547913","-4.679999947547913"
"3520000","-4.500000178813934","-4.500000178813934","-4.500000178813934"
"3584000","-4.70000003837049","-4.70000003837049","-4.70000003837049"
"3648000","-4.980000421404839","-4.980000421404839","-4.980000421404839"
"3712000","-5.78999987244606","-5.78999987244606","-5.78999987244606"
"3776000","-4.300000190734863","-4.300000190734863","-4.300000190734863"
"3840000","-6.099999785423279","-6.099999785423279","-6.099999785423279"
"3904000","-5.119999647140503","-5.119999647140503","-5.119999647140503"
"3968000","-5.560000240802765","-5.560000240802765","-5.560000240802765"
"4032000","-6.740000247955322","-6.740000247955322","-6.740000247955322"
"4096000","-6.540000319480896","-6.540000319480896","-6.540000319480896"
"4160000","-3.4799997806549072","-3.4799997806549072","-3.4799997806549072"
"4224000","-5.080000190064311","-5.080000190064311","-5.080000190064311"
"4288000","-5.279999911785126","-5.279999911785126","-5.279999911785126"
"4352000","-4.420000195503235","-4.420000195503235","-4.420000195503235"
"4416000","-5.499999821186066","-5.499999821186066","-5.499999821186066"
"4480000","-4.380000114440918","-4.380000114440918","-4.380000114440918"
"4544000","-5.559999942779541","-5.559999942779541","-5.559999942779541"
"4608000","-6.019999787211418","-6.019999787211418","-6.019999787211418"
"4672000","-6.619999915361404","-6.619999915361404","-6.619999915361404"
"4736000","-5.159999847412109","-5.159999847412109","-5.159999847412109"
"4800000","-3.8199998140335083","-3.8199998140335083","-3.8199998140335083"
"4864000","-6.240000009536743","-6.240000009536743","-6.240000009536743"
"4928000","-5.080000251531601","-5.080000251531601","-5.080000251531601"
"4992000","-5.200000107288361","-5.200000107288361","-5.200000107288361"
"5056000","-5.9899995774030685","-5.9899995774030685","-5.9899995774030685"
"5120000","-5.440000236034393","-5.440000236034393","-5.440000236034393"
"5184000","-5.78000020980835","-5.78000020980835","-5.78000020980835"
"5248000","-5.700000107288361","-5.700000107288361","-5.700000107288361"
"5312000","-6.180000185966492","-6.180000185966492","-6.180000185966492"
"5376000","-3.6799999475479126","-3.6799999475479126","-3.6799999475479126"
"5440000","-4.240000128746033","-4.240000128746033","-4.240000128746033"
"5504000","-5.999999776482582","-5.999999776482582","-5.999999776482582"
"5568000","-5.120000123977661","-5.120000123977661","-5.120000123977661"
"5632000","-4.61999998241663","-4.61999998241663","-4.61999998241663"
"5696000","-4.6399999260902405","-4.6399999260902405","-4.6399999260902405"
"5760000","-2.080000162124634","-2.080000162124634","-2.080000162124634"
"5824000","-5.899999707937241","-5.899999707937241","-5.899999707937241"
"5888000","-5.999999642372131","-5.999999642372131","-5.999999642372131"
"5952000","-6.000000178813934","-6.000000178813934","-6.000000178813934"
"6016000","-6.5799999833106995","-6.5799999833106995","-6.5799999833106995"
"6080000","-5.640000134706497","-5.640000134706497","-5.640000134706497"
"6144000","-5.519999980926514","-5.519999980926514","-5.519999980926514"
"6208000","-4.980000376701355","-4.980000376701355","-4.980000376701355"
"6272000","-2.859999895095825","-2.859999895095825","-2.859999895095825"
"6336000","-4.720000058412552","-4.720000058412552","-4.720000058412552"
"6400000","-4.7799998447299","-4.7799998447299","-4.7799998447299"
"6464000","-6.489999771118164","-6.489999771118164","-6.489999771118164"
"6528000","-6.899999976158142","-6.899999976158142","-6.899999976158142"
"6592000","-5.540000081062317","-5.540000081062317","-5.540000081062317"
"6656000","-3.859999895095825","-3.859999895095825","-3.859999895095825"
"6720000","-6.360000252723694","-6.360000252723694","-6.360000252723694"
"6784000","-4.229999899864197","-4.229999899864197","-4.229999899864197"
"6848000","-7.65999960899353","-7.65999960899353","-7.65999960899353"
"6912000","-5.999999940395355","-5.999999940395355","-5.999999940395355"
"6976000","-4.480000436306","-4.480000436306","-4.480000436306"
"7040000","-4.880000114440918","-4.880000114440918","-4.880000114440918"
"7104000","-7.119999885559082","-7.119999885559082","-7.119999885559082"
"7168000","-6.560000091791153","-6.560000091791153","-6.560000091791153"
"7232000","-5.56000030040741","-5.56000030040741","-5.56000030040741"
"7296000","-4.359999895095825","-4.359999895095825","-4.359999895095825"
"7360000","-5.879999581724405","-5.879999581724405","-5.879999581724405"
"7424000","-7.20000085234642","-7.20000085234642","-7.20000085234642"
"7488000","-5.43999981880188","-5.43999981880188","-5.43999981880188"
"7552000","-4.540000133216381","-4.540000133216381","-4.540000133216381"
"7616000","-5.7600003480911255","-5.7600003480911255","-5.7600003480911255"
"7680000","-7.300000250339508","-7.300000250339508","-7.300000250339508"
"7744000","-4.159999921917915","-4.159999921917915","-4.159999921917915"
"7808000","-6.000000447034836","-6.000000447034836","-6.000000447034836"
"7872000","-4.3399999141693115","-4.3399999141693115","-4.3399999141693115"
"7936000","-5.479999586939812","-5.479999586939812","-5.479999586939812"
"8000000","-5.819999814033508","-5.819999814033508","-5.819999814033508"
"8064000","-3.760000467300415","-3.760000467300415","-3.760000467300415"
"8128000","-4.160000205039978","-4.160000205039978","-4.160000205039978"
"8192000","-6.100000016391277","-6.100000016391277","-6.100000016391277"
"8256000","-5.3600002229213715","-5.3600002229213715","-5.3600002229213715"
"8320000","-6.2200000286102295","-6.2200000286102295","-6.2200000286102295"
"8384000","-5.589999794960022","-5.589999794960022","-5.589999794960022"
"8448000","-4.7600001990795135","-4.7600001990795135","-4.7600001990795135"
"8512000","-6.359999656677246","-6.359999656677246","-6.359999656677246"
"8576000","-3.8200000524520874","-3.8200000524520874","-3.8200000524520874"
"8640000","-6.480000019073486","-6.480000019073486","-6.480000019073486"
"8704000","-6.940000355243683","-6.940000355243683","-6.940000355243683"
"8768000","-5.579999536275864","-5.579999536275864","-5.579999536275864"
"8832000","-6.919999957084656","-6.919999957084656","-6.919999957084656"
"8896000","-5.399999797344208","-5.399999797344208","-5.399999797344208"
"8960000","-5.140000343322754","-5.140000343322754","-5.140000343322754"
"9024000","-6.320000171661377","-6.320000171661377","-6.320000171661377"
"9088000","-3.2800002992153168","-3.2800002992153168","-3.2800002992153168"
"9152000","-5.71999979019165","-5.71999979019165","-5.71999979019165"
"9216000","-4.7899999767541885","-4.7899999767541885","-4.7899999767541885"
"9280000","-5.639999985694885","-5.639999985694885","-5.639999985694885"
"9344000","-5.360000133514404","-5.360000133514404","-5.360000133514404"
"9408000","-5.919999957084656","-5.919999957084656","-5.919999957084656"
"9472000","-5.620000004768372","-5.620000004768372","-5.620000004768372"
"9536000","-6.319999933242798","-6.319999933242798","-6.319999933242798"
"9600000","-5.820000305771828","-5.820000305771828","-5.820000305771828"
"9664000","-4.819999484345317","-4.819999484345317","-4.819999484345317"
"9728000","-4.700000107288361","-4.700000107288361","-4.700000107288361"
"9792000","-5","-5","-5"
"9856000","-3.799999952316284","-3.799999952316284","-3.799999952316284"
"9920000","-7.239999830722809","-7.239999830722809","-7.239999830722809"
"9984000","-4.26000040769577","-4.26000040769577","-4.26000040769577"
"10048000","-5.699999988079071","-5.699999988079071","-5.699999988079071"
"10112000","-4.70000022649765","-4.70000022649765","-4.70000022649765"
"10176000","-5.460000455379486","-5.460000455379486","-5.460000455379486"
"10240000","-8.040000200271606","-8.040000200271606","-8.040000200271606"
"10304000","-7.100000023841858","-7.100000023841858","-7.100000023841858"
"10368000","-5.260000018402934","-5.260000018402934","-5.260000018402934"
"10432000","-6.9599997997283936","-6.9599997997283936","-6.9599997997283936"
"10496000","-4.539999842643738","-4.539999842643738","-4.539999842643738"
"10560000","-4.979999929666519","-4.979999929666519","-4.979999929666519"
"10624000","-5.220000147819519","-5.220000147819519","-5.220000147819519"
"10688000","-5.999999642372131","-5.999999642372131","-5.999999642372131"
"10752000","-3.730000138282776","-3.730000138282776","-3.730000138282776"
"10816000","-5.1800001710653305","-5.1800001710653305","-5.1800001710653305"
"10880000","-4.020000457763672","-4.020000457763672","-4.020000457763672"
"10944000","-6.160000268369913","-6.160000268369913","-6.160000268369913"
"11008000","-4.2399996519088745","-4.2399996519088745","-4.2399996519088745"
"11072000","-6.440000653266907","-6.440000653266907","-6.440000653266907"
"11136000","-5.240000426769257","-5.240000426769257","-5.240000426769257"
"11200000","-5.659999966621399","-5.659999966621399","-5.659999966621399"
"11264000","-7.160000264644623","-7.160000264644623","-7.160000264644623"
"11328000","-6.079999804496765","-6.079999804496765","-6.079999804496765"
"11392000","-6.760000109672546","-6.760000109672546","-6.760000109672546"
"11456000","-4.140000700950623","-4.140000700950623","-4.140000700950623"
"11520000","-5.879999995231628","-5.879999995231628","-5.879999995231628"
"11584000","-5.480000138282776","-5.480000138282776","-5.480000138282776"
