"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-5.540000528097153","-5.540000528097153","-5.540000528097153"
"128000","-5.59999942779541","-5.59999942779541","-5.59999942779541"
"192000","-5.600000023841858","-5.600000023841858","-5.600000023841858"
"256000","-4.699999809265137","-4.699999809265137","-4.699999809265137"
"320000","-7.159999966621399","-7.159999966621399","-7.159999966621399"
"384000","-4.889999866485596","-4.889999866485596","-4.889999866485596"
"448000","-5.519999925047159","-5.519999925047159","-5.519999925047159"
"512000","-4.91999988630414","-4.91999988630414","-4.91999988630414"
"576000","-4.399999737739563","-4.399999737739563","-4.399999737739563"
"640000","-5.139999747276306","-5.139999747276306","-5.139999747276306"
"704000","-6.37999963760376","-6.37999963760376","-6.37999963760376"
"768000","-4.480000406503677","-4.480000406503677","-4.480000406503677"
"832000","-5.900000274181366","-5.900000274181366","-5.900000274181366"
"896000","-6.840000152587891","-6.840000152587891","-6.840000152587891"
"960000","-5.100000023841858","-5.100000023841858","-5.100000023841858"
"1024000","-4.9600003361701965","-4.9600003361701965","-4.9600003361701965"
"1088000","-5.859999418258667","-5.859999418258667","-5.859999418258667"
"1152000","-6.579999923706055","-6.579999923706055","-6.579999923706055"
"1216000","-3.239999920129776","-3.239999920129776","-3.239999920129776"
"1280000","-6.679999828338623","-6.679999828338623","-6.679999828338623"
"1344000","-6.820000171661377","-6.820000171661377","-6.820000171661377"
"1408000","-6.069999873638153","-6.069999873638153","-6.069999873638153"
"1472000","-5.219999969005585","-5.219999969005585","-5.219999969005585"
"1536000","-5.739999890327454","-5.739999890327454","-5.739999890327454"
"1600000","-4.659999489784241","-4.659999489784241","-4.659999489784241"
"1664000","-4.7799999713897705","-4.7799999713897705","-4.7799999713897705"
"1728000","-5.8600000739097595","-5.8600000739097595","-5.8600000739097595"
"1792000","-5.639999508857727","-5.639999508857727","-5.639999508857727"
"1856000","-5.570000410079956","-5.570000410079956","-5.570000410079956"
"1920000","-4.000000134110451","-4.000000134110451","-4.000000134110451"
