"Step","coin4_cbamsvo - SW_ep_rew_total","coin4_cbamsvo - SW_ep_rew_total__MIN","coin4_cbamsvo - SW_ep_rew_total__MAX"
"64000","-3.739999830722809","-3.739999830722809","-3.739999830722809"
"128000","-5.159999847412109","-5.159999847412109","-5.159999847412109"
"192000","-8.940000534057617","-8.940000534057617","-8.940000534057617"
"256000","-8.43999993801117","-8.43999993801117","-8.43999993801117"
"320000","-6.759999990463257","-6.759999990463257","-6.759999990463257"
"384000","-5.300000011920929","-5.300000011920929","-5.300000011920929"
"448000","-5.499999642372131","-5.499999642372131","-5.499999642372131"
"512000","-3.180000126361847","-3.180000126361847","-3.180000126361847"
"576000","-6.140000343322754","-6.140000343322754","-6.140000343322754"
"640000","-6.279999911785126","-6.279999911785126","-6.279999911785126"
"704000","-6.020000219345093","-6.020000219345093","-6.020000219345093"
"768000","-7.019999980926514","-7.019999980926514","-7.019999980926514"
"832000","-6.52000018954277","-6.52000018954277","-6.52000018954277"
"896000","-5.319999933242798","-5.319999933242798","-5.319999933242798"
"960000","-5.220000445842743","-5.220000445842743","-5.220000445842743"
"1024000","-6.099999859929085","-6.099999859929085","-6.099999859929085"
"1088000","-5.500000432133675","-5.500000432133675","-5.500000432133675"
"1152000","-7.32000008225441","-7.32000008225441","-7.32000008225441"
"1216000","-5.439999729394913","-5.439999729394913","-5.439999729394913"
"1280000","-7.620000123977661","-7.620000123977661","-7.620000123977661"
"1344000","-8.09999942779541","-8.09999942779541","-8.09999942779541"
"1408000","-8.0600004196167","-8.0600004196167","-8.0600004196167"
"1472000","-8.100000500679016","-8.100000500679016","-8.100000500679016"
"1536000","-10.0600004196167","-10.0600004196167","-10.0600004196167"
"1600000","-9.519999504089355","-9.519999504089355","-9.519999504089355"
"1664000","-9.540000438690186","-9.540000438690186","-9.540000438690186"
"1728000","-8.819999814033508","-8.819999814033508","-8.819999814033508"
"1792000","-11.559999227523804","-11.559999227523804","-11.559999227523804"
"1856000","-9.679999828338623","-9.679999828338623","-9.679999828338623"
"1920000","-12.619999647140503","-12.619999647140503","-12.619999647140503"
"1984000","-11.580000400543213","-11.580000400543213","-11.580000400543213"
