"Step","coin5_cbamcausal - SW_ep_rew_total","coin5_cbamcausal - SW_ep_rew_total__MIN","coin5_cbamcausal - SW_ep_rew_total__MAX"
"64000","-11.340000629425049","-11.340000629425049","-11.340000629425049"
"128000","-10.380000591278076","-10.380000591278076","-10.380000591278076"
"192000","-8.640000104904175","-8.640000104904175","-8.640000104904175"
"256000","-10.460000038146973","-10.460000038146973","-10.460000038146973"
"320000","-8.87999963760376","-8.87999963760376","-8.87999963760376"
"384000","-8.780000448226929","-8.780000448226929","-8.780000448226929"
"448000","-9.739999771118164","-9.739999771118164","-9.739999771118164"
"512000","-9.880000829696655","-9.880000829696655","-9.880000829696655"
"576000","-5.680000573396683","-5.680000573396683","-5.680000573396683"
"640000","-7.04000024497509","-7.04000024497509","-7.04000024497509"
"704000","-5.459999978542328","-5.459999978542328","-5.459999978542328"
"768000","-6.329999804496765","-6.329999804496765","-6.329999804496765"
"832000","-6.340000629425049","-6.340000629425049","-6.340000629425049"
"896000","-6.539999604225159","-6.539999604225159","-6.539999604225159"
"960000","-8.319999992847443","-8.319999992847443","-8.319999992847443"
"1024000","-5.860000252723694","-5.860000252723694","-5.860000252723694"
"1088000","-5.420000076293945","-5.420000076293945","-5.420000076293945"
"1152000","-5.6400004625320435","-5.6400004625320435","-5.6400004625320435"
"1216000","-5.28000020980835","-5.28000020980835","-5.28000020980835"
"1280000","-4.399999618530273","-4.399999618530273","-4.399999618530273"
"1344000","-3.8799999952316284","-3.8799999952316284","-3.8799999952316284"
"1408000","-3.2799994945526123","-3.2799994945526123","-3.2799994945526123"
"1472000","-2.4200000762939453","-2.4200000762939453","-2.4200000762939453"
"1536000","-1.5000003576278687","-1.5000003576278687","-1.5000003576278687"
"1600000","-2.6200003623962402","-2.6200003623962402","-2.6200003623962402"
"1664000","-2.21999990940094","-2.21999990940094","-2.21999990940094"
"1728000","-1.239999532699585","-1.239999532699585","-1.239999532699585"
"1792000","-0.359999418258667","-0.359999418258667","-0.359999418258667"
"1856000","-0.7200003862380981","-0.7200003862380981","-0.7200003862380981"
"1920000","0.7700005173683167","0.7700005173683167","0.7700005173683167"
"1984000","2.0199995040893555","2.0199995040893555","2.0199995040893555"
"2048000","1.0199999511241913","1.0199999511241913","1.0199999511241913"
"2112000","1.2800001502037048","1.2800001502037048","1.2800001502037048"
"2176000","0.9799996614456177","0.9799996614456177","0.9799996614456177"
"2240000","0.3800000846385956","0.3800000846385956","0.3800000846385956"
"2304000","0.38000016659498215","0.38000016659498215","0.38000016659498215"
"2368000","0.9599997699260712","0.9599997699260712","0.9599997699260712"
"2432000","1.6200004816055298","1.6200004816055298","1.6200004816055298"
"2496000","1.8799996376037598","1.8799996376037598","1.8799996376037598"
"2560000","2.799999475479126","2.799999475479126","2.799999475479126"
"2624000","1.3200002312660217","1.3200002312660217","1.3200002312660217"
"2688000","1.3399997055530548","1.3399997055530548","1.3399997055530548"
"2752000","1.5999994575977325","1.5999994575977325","1.5999994575977325"
"2816000","1.440000057220459","1.440000057220459","1.440000057220459"
"2880000","1.3800007104873657","1.3800007104873657","1.3800007104873657"
"2944000","2.5800005197525024","2.5800005197525024","2.5800005197525024"
"3008000","2.1199992895126343","2.1199992895126343","2.1199992895126343"
"3072000","2.0399997234344482","2.0399997234344482","2.0399997234344482"
"3136000","3.080000162124634","3.080000162124634","3.080000162124634"
"3200000","2.2200000286102295","2.2200000286102295","2.2200000286102295"
"3264000","2.4799991846084595","2.4799991846084595","2.4799991846084595"
"3328000","2.259999990463257","2.259999990463257","2.259999990463257"
"3392000","2.980000376701355","2.980000376701355","2.980000376701355"
"3456000","3.0000007152557373","3.0000007152557373","3.0000007152557373"
"3520000","3.1600000858306885","3.1600000858306885","3.1600000858306885"
"3584000","3.9799997806549072","3.9799997806549072","3.9799997806549072"
"3648000","3.639999747276306","3.639999747276306","3.639999747276306"
"3712000","3.09999942779541","3.09999942779541","3.09999942779541"
"3776000","3.2499992847442627","3.2499992847442627","3.2499992847442627"
"3840000","3.9000003337860107","3.9000003337860107","3.9000003337860107"
"3904000","3.119999647140503","3.119999647140503","3.119999647140503"
"3968000","2.5199998021125793","2.5199998021125793","2.5199998021125793"
"4032000","2.7799997329711914","2.7799997329711914","2.7799997329711914"
"4096000","3.5999999046325684","3.5999999046325684","3.5999999046325684"
"4160000","2.7599995136260986","2.7599995136260986","2.7599995136260986"
"4224000","3.4999992847442627","3.4999992847442627","3.4999992847442627"
"4288000","3.7799999713897705","3.7799999713897705","3.7799999713897705"
"4352000","2.6600003242492676","2.6600003242492676","2.6600003242492676"
"4416000","3.940000057220459","3.940000057220459","3.940000057220459"
"4480000","2.5000001192092896","2.5000001192092896","2.5000001192092896"
"4544000","4.219999551773071","4.219999551773071","4.219999551773071"
"4608000","2.7400002479553223","2.7400002479553223","2.7400002479553223"
"4672000","3.0000001192092896","3.0000001192092896","3.0000001192092896"
"4736000","3.2000001668930054","3.2000001668930054","3.2000001668930054"
"4800000","3.499999761581421","3.499999761581421","3.499999761581421"
"4864000","3.240000009536743","3.240000009536743","3.240000009536743"
"4928000","3.3999998569488525","3.3999998569488525","3.3999998569488525"
"4992000","2.8799999952316284","2.8799999952316284","2.8799999952316284"
"5056000","2.2800002098083496","2.2800002098083496","2.2800002098083496"
"5120000","3.6800005435943604","3.6800005435943604","3.6800005435943604"
"5184000","3.1399991512298584","3.1399991512298584","3.1399991512298584"
"5248000","3.93999981880188","3.93999981880188","3.93999981880188"
"5312000","4.12000036239624","4.12000036239624","4.12000036239624"
"5376000","3.460000514984131","3.460000514984131","3.460000514984131"
"5440000","3.260000467300415","3.260000467300415","3.260000467300415"
"5504000","4.06000018119812","4.06000018119812","4.06000018119812"
"5568000","5.299999713897705","5.299999713897705","5.299999713897705"
"5632000","2.9200000762939453","2.9200000762939453","2.9200000762939453"
"5696000","4.639999866485596","4.639999866485596","4.639999866485596"
"5760000","4.580000638961792","4.580000638961792","4.580000638961792"
"5824000","3.0999999046325684","3.0999999046325684","3.0999999046325684"
"5888000","3.760000705718994","3.760000705718994","3.760000705718994"
"5952000","3.9800000190734863","3.9800000190734863","3.9800000190734863"
"6016000","3.719999313354492","3.719999313354492","3.719999313354492"
"6080000","3.739999532699585","3.739999532699585","3.739999532699585"
"6144000","3.859999656677246","3.859999656677246","3.859999656677246"
"6208000","5.439999103546143","5.439999103546143","5.439999103546143"
"6272000","2.9200005531311035","2.9200005531311035","2.9200005531311035"
"6336000","3.9600000381469727","3.9600000381469727","3.9600000381469727"
"6400000","3.499999761581421","3.499999761581421","3.499999761581421"
"6464000","3.140000104904175","3.140000104904175","3.140000104904175"
"6528000","3.9800002574920654","3.9800002574920654","3.9800002574920654"
"6592000","3.640000343322754","3.640000343322754","3.640000343322754"
"6656000","3.3000004291534424","3.3000004291534424","3.3000004291534424"
"6720000","3.4599995613098145","3.4599995613098145","3.4599995613098145"
"6784000","4.859999656677246","4.859999656677246","4.859999656677246"
"6848000","4.399999618530273","4.399999618530273","4.399999618530273"
"6912000","4.06000018119812","4.06000018119812","4.06000018119812"
"6976000","5.239999771118164","5.239999771118164","5.239999771118164"
"7040000","4.280000686645508","4.280000686645508","4.280000686645508"
"7104000","3.460000514984131","3.460000514984131","3.460000514984131"
"7168000","4.440000057220459","4.440000057220459","4.440000057220459"
"7232000","4.339999675750732","4.339999675750732","4.339999675750732"
"7296000","4.120000123977661","4.120000123977661","4.120000123977661"
"7360000","3.9099998474121094","3.9099998474121094","3.9099998474121094"
"7424000","4.039999723434448","4.039999723434448","4.039999723434448"
"7488000","4.309999227523804","4.309999227523804","4.309999227523804"
"7552000","4.499999523162842","4.499999523162842","4.499999523162842"
"7616000","3.880000591278076","3.880000591278076","3.880000591278076"
"7680000","2.8399996757507324","2.8399996757507324","2.8399996757507324"
"7744000","3.8400003910064697","3.8400003910064697","3.8400003910064697"
"7808000","3.700000047683716","3.700000047683716","3.700000047683716"
"7872000","3.5200002193450928","3.5200002193450928","3.5200002193450928"
"7936000","4.570000410079956","4.570000410079956","4.570000410079956"
"8000000","3.859999656677246","3.859999656677246","3.859999656677246"
"8064000","4.059999704360962","4.059999704360962","4.059999704360962"
"8128000","4.260000467300415","4.260000467300415","4.260000467300415"
"8192000","4.079999923706055","4.079999923706055","4.079999923706055"
"8256000","3.380000352859497","3.380000352859497","3.380000352859497"
"8320000","3.6800005435943604","3.6800005435943604","3.6800005435943604"
"8384000","4.300000190734863","4.300000190734863","4.300000190734863"
