"Step","coin5_cbamsvo - SW_ep_rew_total","coin5_cbamsvo - SW_ep_rew_total__MIN","coin5_cbamsvo - SW_ep_rew_total__MAX"
"64000","-10.56000030040741","-10.56000030040741","-10.56000030040741"
"128000","-10.380000054836273","-10.380000054836273","-10.380000054836273"
"192000","-10.240000009536743","-10.240000009536743","-10.240000009536743"
"256000","-11.400000095367432","-11.400000095367432","-11.400000095367432"
"320000","-11.300000190734863","-11.300000190734863","-11.300000190734863"
"384000","-12.040000438690186","-12.040000438690186","-12.040000438690186"
"448000","-10.519999265670776","-10.519999265670776","-10.519999265670776"
"512000","-12.800000667572021","-12.800000667572021","-12.800000667572021"
"576000","-12.080000400543213","-12.080000400543213","-12.080000400543213"
"640000","-13.040000438690186","-13.040000438690186","-13.040000438690186"
"704000","-12.439999103546143","-12.439999103546143","-12.439999103546143"
"768000","-12.440000534057617","-12.440000534057617","-12.440000534057617"
"832000","-13.119999885559082","-13.119999885559082","-13.119999885559082"
"896000","-14.180000305175781","-14.180000305175781","-14.180000305175781"
"960000","-12.380000591278076","-12.380000591278076","-12.380000591278076"
"1024000","-12.839999914169312","-12.839999914169312","-12.839999914169312"
"1088000","-13.840000629425049","-13.840000629425049","-13.840000629425049"
"1152000","-13.78000020980835","-13.78000020980835","-13.78000020980835"
"1216000","-13.5","-13.5","-13.5"
"1280000","-15.120000839233398","-15.120000839233398","-15.120000839233398"
"1344000","-15.299999237060547","-15.299999237060547","-15.299999237060547"
"1408000","-16.940000534057617","-16.940000534057617","-16.940000534057617"
"1472000","-15.65999984741211","-15.65999984741211","-15.65999984741211"
"1536000","-15.84000015258789","-15.84000015258789","-15.84000015258789"
"1600000","-15.440000057220459","-15.440000057220459","-15.440000057220459"
"1664000","-13.96000051498413","-13.96000051498413","-13.96000051498413"
"1728000","-16.09999942779541","-16.09999942779541","-16.09999942779541"
"1792000","-16.339999675750732","-16.339999675750732","-16.339999675750732"
"1856000","-17.09999942779541","-17.09999942779541","-17.09999942779541"
"1920000","-16.09999942779541","-16.09999942779541","-16.09999942779541"
"1984000","-17.800000190734863","-17.800000190734863","-17.800000190734863"
"2048000","-17.740000247955322","-17.740000247955322","-17.740000247955322"
"2112000","-17.78000020980835","-17.78000020980835","-17.78000020980835"
"2176000","-18.22000026702881","-18.22000026702881","-18.22000026702881"
"2240000","-17.920000076293945","-17.920000076293945","-17.920000076293945"
"2304000","-18.90000057220459","-18.90000057220459","-18.90000057220459"
"2368000","-17.899999618530273","-17.899999618530273","-17.899999618530273"
"2432000","-18.579999446868896","-18.579999446868896","-18.579999446868896"
"2496000","-18.21999979019165","-18.21999979019165","-18.21999979019165"
"2560000","-18.239999771118164","-18.239999771118164","-18.239999771118164"
"2624000","-18.40000009536743","-18.40000009536743","-18.40000009536743"
"2688000","-17.78000020980835","-17.78000020980835","-17.78000020980835"
"2752000","-17.679999828338623","-17.679999828338623","-17.679999828338623"
"2816000","-18.320000171661377","-18.320000171661377","-18.320000171661377"
"2880000","-18.59999942779541","-18.59999942779541","-18.59999942779541"
"2944000","-18.399999618530273","-18.399999618530273","-18.399999618530273"
"3008000","-17.479999542236328","-17.479999542236328","-17.479999542236328"
"3072000","-18.079999446868896","-18.079999446868896","-18.079999446868896"
"3136000","-17.580000162124634","-17.580000162124634","-17.580000162124634"
"3200000","-18.09999942779541","-18.09999942779541","-18.09999942779541"
