"Step","coin5_cbamcausal - SW_ep_rew_total","coin5_cbamcausal - SW_ep_rew_total__MIN","coin5_cbamcausal - SW_ep_rew_total__MAX"
"64000","-9.760000467300415","-9.760000467300415","-9.760000467300415"
"128000","-10.219999313354492","-10.219999313354492","-10.219999313354492"
"192000","-10.059999704360962","-10.059999704360962","-10.059999704360962"
"256000","-9.280000448226929","-9.280000448226929","-9.280000448226929"
"320000","-8.909999370574951","-8.909999370574951","-8.909999370574951"
"384000","-7.329999685287476","-7.329999685287476","-7.329999685287476"
"448000","-7.119999647140503","-7.119999647140503","-7.119999647140503"
"512000","-7.150000214576721","-7.150000214576721","-7.150000214576721"
"576000","-6.700000047683716","-6.700000047683716","-6.700000047683716"
"640000","-4.330000281333923","-4.330000281333923","-4.330000281333923"
"704000","-6.0199995040893555","-6.0199995040893555","-6.0199995040893555"
"768000","-6.18999969959259","-6.18999969959259","-6.18999969959259"
"832000","-6.489999771118164","-6.489999771118164","-6.489999771118164"
"896000","-6.65999960899353","-6.65999960899353","-6.65999960899353"
"960000","-6.3899993896484375","-6.3899993896484375","-6.3899993896484375"
"1024000","-7.210000395774841","-7.210000395774841","-7.210000395774841"
"1088000","-5.770000219345093","-5.770000219345093","-5.770000219345093"
"1152000","-5.960000038146973","-5.960000038146973","-5.960000038146973"
"1216000","-5.4599997997283936","-5.4599997997283936","-5.4599997997283936"
"1280000","-5.639999985694885","-5.639999985694885","-5.639999985694885"
"1344000","-4.930000424385071","-4.930000424385071","-4.930000424385071"
"1408000","-3.820000171661377","-3.820000171661377","-3.820000171661377"
"1472000","-4.670000076293945","-4.670000076293945","-4.670000076293945"
"1536000","-5.109999895095825","-5.109999895095825","-5.109999895095825"
"1600000","-3.6699999570846558","-3.6699999570846558","-3.6699999570846558"
"1664000","-2.809999942779541","-2.809999942779541","-2.809999942779541"
"1728000","-2.43999981880188","-2.43999981880188","-2.43999981880188"
"1792000","-2.540000081062317","-2.540000081062317","-2.540000081062317"
"1856000","-2.429999828338623","-2.429999828338623","-2.429999828338623"
"1920000","-2.3600000739097595","-2.3600000739097595","-2.3600000739097595"
"1984000","-1.8299999237060547","-1.8299999237060547","-1.8299999237060547"
"2048000","-2.409999966621399","-2.409999966621399","-2.409999966621399"
"2112000","-2.4900001287460327","-2.4900001287460327","-2.4900001287460327"
"2176000","-2.8700000047683716","-2.8700000047683716","-2.8700000047683716"
