Step,coin3_cbamsvo - SW_ep_rew_total,coin3_cbamsvo - SW_ep_rew_total__MIN,coin3_cbamsvo - SW_ep_rew_total__MAX
64000,-3.0599998235702515,-3.0599998235702515,-3.0599998235702515
128000,-3.4299999475479126,-3.4299999475479126,-3.4299999475479126
192000,-2.899999976158142,-2.899999976158142,-2.899999976158142
256000,-2.9000001549720764,-2.9000001549720764,-2.9000001549720764
320000,-2.7800002098083496,-2.7800002098083496,-2.7800002098083496
384000,-2.9299997687339783,-2.9299997687339783,-2.9299997687339783
448000,-2.860000252723694,-2.860000252723694,-2.860000252723694
512000,-3.3200000524520874,-3.3200000524520874,-3.3200000524520874
576000,-2.2400002479553223,-2.2400002479553223,-2.2400002479553223
640000,-3.639999747276306,-3.639999747276306,-3.639999747276306
704000,-3.5399999022483826,-3.5399999022483826,-3.5399999022483826
768000,-2.6200000643730164,-2.6200000643730164,-2.6200000643730164
832000,-4.340000152587891,-4.340000152587891,-4.340000152587891
896000,-2.620000123977661,-2.620000123977661,-2.620000123977661
960000,-2.6000002175569534,-2.6000002175569534,-2.6000002175569534
1024000,-2.740000069141388,-2.740000069141388,-2.740000069141388
1088000,-1.9499998092651367,-1.9499998092651367,-1.9499998092651367
1152000,-4.0200000405311584,-4.0200000405311584,-4.0200000405311584
1216000,-3.1099997758865356,-3.1099997758865356,-3.1099997758865356
1280000,-2.200000047683716,-2.200000047683716,-2.200000047683716
1344000,-4.75999990105629,-4.75999990105629,-4.75999990105629
1408000,-4.419999957084656,-4.419999957084656,-4.419999957084656
1472000,-1.6999999433755875,-1.6999999433755875,-1.6999999433755875
1536000,-2.6600000858306885,-2.6600000858306885,-2.6600000858306885
1600000,-3.5800000429153442,-3.5800000429153442,-3.5800000429153442
1664000,-2.9599997997283936,-2.9599997997283936,-2.9599997997283936
1728000,-4.079999923706055,-4.079999923706055,-4.079999923706055
1792000,-2.6600002348423004,-2.6600002348423004,-2.6600002348423004
1856000,-2.6800001859664917,-2.6800001859664917,-2.6800001859664917
1920000,-1.9600000381469727,-1.9600000381469727,-1.9600000381469727
1984000,-4.230000130832195,-4.230000130832195,-4.230000130832195
2048000,-3.8399999141693115,-3.8399999141693115,-3.8399999141693115
2112000,-4.500000178813934,-4.500000178813934,-4.500000178813934
2176000,-4.779999872669578,-4.779999872669578,-4.779999872669578
2240000,-5.000000163912773,-5.000000163912773,-5.000000163912773
2304000,-5.139999985694885,-5.139999985694885,-5.139999985694885
2368000,-4.729999989271164,-4.729999989271164,-4.729999989271164
2432000,-4.860000193119049,-4.860000193119049,-4.860000193119049
2496000,-5.200000047683716,-5.200000047683716,-5.200000047683716
2560000,-4.339999854564667,-4.339999854564667,-4.339999854564667
2624000,-4.909999875351787,-4.909999875351787,-4.909999875351787
2688000,-5.7400001883506775,-5.7400001883506775,-5.7400001883506775
2752000,-5.77000000141561,-5.77000000141561,-5.77000000141561
2816000,-5.950000077486038,-5.950000077486038,-5.950000077486038
2880000,-5.799999937415123,-5.799999937415123,-5.799999937415123
2944000,-7.059999933466315,-7.059999933466315,-7.059999933466315
3008000,-5.459999859333038,-5.459999859333038,-5.459999859333038
3072000,-6.619999878108501,-6.619999878108501,-6.619999878108501
3136000,-5.980000048875809,-5.980000048875809,-5.980000048875809
3200000,-6.5000001192092896,-6.5000001192092896,-6.5000001192092896
3264000,-4.600000157952309,-4.600000157952309,-4.600000157952309
3328000,-7.179999992251396,-7.179999992251396,-7.179999992251396
3392000,-6.800000099465251,-6.800000099465251,-6.800000099465251
3456000,-5.779999956488609,-5.779999956488609,-5.779999956488609
3520000,-6.049999803304672,-6.049999803304672,-6.049999803304672
3584000,-5.2199998162686825,-5.2199998162686825,-5.2199998162686825
3648000,-5.820000231266022,-5.820000231266022,-5.820000231266022
3712000,-6.3200000785291195,-6.3200000785291195,-6.3200000785291195
3776000,-7.019999910145998,-7.019999910145998,-7.019999910145998
3840000,-7.859999924898148,-7.859999924898148,-7.859999924898148
3904000,-7.6000001430511475,-7.6000001430511475,-7.6000001430511475
3968000,-8.339999794960022,-8.339999794960022,-8.339999794960022
4032000,-7.980000242590904,-7.980000242590904,-7.980000242590904
4096000,-7.720000177621841,-7.720000177621841,-7.720000177621841
