"Step","coin4_cbamcausal - SW_ep_rew_total","coin4_cbamcausal - SW_ep_rew_total__MIN","coin4_cbamcausal - SW_ep_rew_total__MAX"
"64000","-4.640000015497208","-4.640000015497208","-4.640000015497208"
"128000","-4.760000109672546","-4.760000109672546","-4.760000109672546"
"192000","-5.419999599456787","-5.419999599456787","-5.419999599456787"
"256000","-5.500000238418579","-5.500000238418579","-5.500000238418579"
"320000","-6.640000104904175","-6.640000104904175","-6.640000104904175"
"384000","-3.3400000035762787","-3.3400000035762787","-3.3400000035762787"
"448000","-3.799999952316284","-3.799999952316284","-3.799999952316284"
"512000","-3.419999837875366","-3.419999837875366","-3.419999837875366"
"576000","-1.5799998044967651","-1.5799998044967651","-1.5799998044967651"
"640000","-2.2299999594688416","-2.2299999594688416","-2.2299999594688416"
"704000","-2.220000207424164","-2.220000207424164","-2.220000207424164"
"768000","-0.9799997806549072","-0.9799997806549072","-0.9799997806549072"
"832000","-4.220000237226486","-4.220000237226486","-4.220000237226486"
"896000","-1.9600000381469727","-1.9600000381469727","-1.9600000381469727"
"960000","-2.700000286102295","-2.700000286102295","-2.700000286102295"
"1024000","-3.5600000619888306","-3.5600000619888306","-3.5600000619888306"
"1088000","-3.2600001096725464","-3.2600001096725464","-3.2600001096725464"
"1152000","-4.4799997210502625","-4.4799997210502625","-4.4799997210502625"
"1216000","-4.219999551773071","-4.219999551773071","-4.219999551773071"
"1280000","-3.779999554157257","-3.779999554157257","-3.779999554157257"
"1344000","-5.420000433921814","-5.420000433921814","-5.420000433921814"
"1408000","-4.21999990940094","-4.21999990940094","-4.21999990940094"
"1472000","-4.399999603629112","-4.399999603629112","-4.399999603629112"
"1536000","-4.680000305175781","-4.680000305175781","-4.680000305175781"
"1600000","-3.8199999425560236","-3.8199999425560236","-3.8199999425560236"
"1664000","-3.9599998593330383","-3.9599998593330383","-3.9599998593330383"
"1728000","-1.1399997472763062","-1.1399997472763062","-1.1399997472763062"
"1792000","-3.7600002884864807","-3.7600002884864807","-3.7600002884864807"
"1856000","-5.579999685287476","-5.579999685287476","-5.579999685287476"
"1920000","-3.700000286102295","-3.700000286102295","-3.700000286102295"
"1984000","-3.0799999237060547","-3.0799999237060547","-3.0799999237060547"
"2048000","-3.740000233054161","-3.740000233054161","-3.740000233054161"
"2112000","-2.71999990940094","-2.71999990940094","-2.71999990940094"
"2176000","-4.539999961853027","-4.539999961853027","-4.539999961853027"
"2240000","-3.6600000709295273","-3.6600000709295273","-3.6600000709295273"
"2304000","-4.4800004959106445","-4.4800004959106445","-4.4800004959106445"
"2368000","-4.379999995231628","-4.379999995231628","-4.379999995231628"
"2432000","-4.7000004053115845","-4.7000004053115845","-4.7000004053115845"
"2496000","-3.680000066757202","-3.680000066757202","-3.680000066757202"
"2560000","-1.7999999523162842","-1.7999999523162842","-1.7999999523162842"
"2624000","-3.6600001454353333","-3.6600001454353333","-3.6600001454353333"
"2688000","-1.9200000762939453","-1.9200000762939453","-1.9200000762939453"
"2752000","-2.320000112056732","-2.320000112056732","-2.320000112056732"
"2816000","1.2000000476837158","1.2000000476837158","1.2000000476837158"
"2880000","-1.7900000214576721","-1.7900000214576721","-1.7900000214576721"
"2944000","-1.2600001096725464","-1.2600001096725464","-1.2600001096725464"
"3008000","-1.960000142455101","-1.960000142455101","-1.960000142455101"
"3072000","-1.7599999010562897","-1.7599999010562897","-1.7599999010562897"
"3136000","-2.60000017285347","-2.60000017285347","-2.60000017285347"
"3200000","-0.9599998593330383","-0.9599998593330383","-0.9599998593330383"
"3264000","-1.159999966621399","-1.159999966621399","-1.159999966621399"
"3328000","1.050000011920929","1.050000011920929","1.050000011920929"
"3392000","-0.9000001028180122","-0.9000001028180122","-0.9000001028180122"
"3456000","-0.6200000755488873","-0.6200000755488873","-0.6200000755488873"
"3520000","-0.1800001859664917","-0.1800001859664917","-0.1800001859664917"
"3584000","-2.479999676346779","-2.479999676346779","-2.479999676346779"
"3648000","-0.6799999475479126","-0.6799999475479126","-0.6799999475479126"
"3712000","0.14000022411346436","0.14000022411346436","0.14000022411346436"
"3776000","-1.9200000762939453","-1.9200000762939453","-1.9200000762939453"
"3840000","-1.720000147819519","-1.720000147819519","-1.720000147819519"
"3904000","-1.4799998253583908","-1.4799998253583908","-1.4799998253583908"
"3968000","-0.9499998092651367","-0.9499998092651367","-0.9499998092651367"
"4032000","-0.48000001907348633","-0.48000001907348633","-0.48000001907348633"
"4096000","0.1799999549984932","0.1799999549984932","0.1799999549984932"
"4160000","-0.3200000524520874","-0.3200000524520874","-0.3200000524520874"
"4224000","-1.899999886751175","-1.899999886751175","-1.899999886751175"
"4288000","-0.6400001049041748","-0.6400001049041748","-0.6400001049041748"
"4352000","-0.6600000858306885","-0.6600000858306885","-0.6600000858306885"
"4416000","-0.5400001406669617","-0.5400001406669617","-0.5400001406669617"
"4480000","-0.4099999964237213","-0.4099999964237213","-0.4099999964237213"
"4544000","-0.07999986410140991","-0.07999986410140991","-0.07999986410140991"
"4608000","-0.2199999988079071","-0.2199999988079071","-0.2199999988079071"
"4672000","0.7400000691413879","0.7400000691413879","0.7400000691413879"
"4736000","-0.6400001347064972","-0.6400001347064972","-0.6400001347064972"
"4800000","1.600000038743019","1.600000038743019","1.600000038743019"
"4864000","3.159999918192625","3.159999918192625","3.159999918192625"
"4928000","1.1399999856948853","1.1399999856948853","1.1399999856948853"
"4992000","0.46000003442168236","0.46000003442168236","0.46000003442168236"
"5056000","2.19999997317791","2.19999997317791","2.19999997317791"
"5120000","2.8999999165534973","2.8999999165534973","2.8999999165534973"
"5184000","2.6000000163912773","2.6000000163912773","2.6000000163912773"
"5248000","6.705522537231445e-8","6.705522537231445e-8","6.705522537231445e-8"
"5312000","1.0399999618530273","1.0399999618530273","1.0399999618530273"
"5376000","1.9400000274181366","1.9400000274181366","1.9400000274181366"
"5440000","0.8999999910593033","0.8999999910593033","0.8999999910593033"
"5504000","1.7699999511241913","1.7699999511241913","1.7699999511241913"
"5568000","2.199999988079071","2.199999988079071","2.199999988079071"
"5632000","3.5999999940395355","3.5999999940395355","3.5999999940395355"
"5696000","0.9300000667572021","0.9300000667572021","0.9300000667572021"
"5760000","0.18000003695487976","0.18000003695487976","0.18000003695487976"
"5824000","2.1699999794363976","2.1699999794363976","2.1699999794363976"
"5888000","2.419999971985817","2.419999971985817","2.419999971985817"
"5952000","1.5600000321865082","1.5600000321865082","1.5600000321865082"
"6016000","1.0199999958276749","1.0199999958276749","1.0199999958276749"
"6080000","1.9800000488758087","1.9800000488758087","1.9800000488758087"
"6144000","0.14000000059604645","0.14000000059604645","0.14000000059604645"
"6208000","1.5800000429153442","1.5800000429153442","1.5800000429153442"
"6272000","1.5000000596046448","1.5000000596046448","1.5000000596046448"
"6336000","0.019999951124191284","0.019999951124191284","0.019999951124191284"
"6400000","1.4199998378753662","1.4199998378753662","1.4199998378753662"
"6464000","1.6999999284744263","1.6999999284744263","1.6999999284744263"
"6528000","3.6799999848008156","3.6799999848008156","3.6799999848008156"
"6592000","0.07999986410140991","0.07999986410140991","0.07999986410140991"
"6656000","0.3999999761581421","0.3999999761581421","0.3999999761581421"
"6720000","-0.7699999809265137","-0.7699999809265137","-0.7699999809265137"
"6784000","1.7999999523162842","1.7999999523162842","1.7999999523162842"
"6848000","2.2599999606609344","2.2599999606609344","2.2599999606609344"
"6912000","2.259999930858612","2.259999930858612","2.259999930858612"
"6976000","0.9600002765655518","0.9600002765655518","0.9600002765655518"
"7040000","3.240000009536743","3.240000009536743","3.240000009536743"
"7104000","1.4699998497962952","1.4699998497962952","1.4699998497962952"
"7168000","4.579999893903732","4.579999893903732","4.579999893903732"
"7232000","3.7100000865757465","3.7100000865757465","3.7100000865757465"
"7296000","3.2699999809265137","3.2699999809265137","3.2699999809265137"
"7360000","6.1399999260902405","6.1399999260902405","6.1399999260902405"
"7424000","4.649999916553497","4.649999916553497","4.649999916553497"
"7488000","6.870000064373016","6.870000064373016","6.870000064373016"
"7552000","4.50999990105629","4.50999990105629","4.50999990105629"
"7616000","4.3899999260902405","4.3899999260902405","4.3899999260902405"
"7680000","5.419999815523624","5.419999815523624","5.419999815523624"
"7744000","5.190000087022781","5.190000087022781","5.190000087022781"
"7808000","5.549999892711639","5.549999892711639","5.549999892711639"
"7872000","4.019999980926514","4.019999980926514","4.019999980926514"
"7936000","8.86999973654747","8.86999973654747","8.86999973654747"
"8000000","5.240000009536743","5.240000009536743","5.240000009536743"
"8064000","5.600000023841858","5.600000023841858","5.600000023841858"
"8128000","4.679999887943268","4.679999887943268","4.679999887943268"
"8192000","3.790000021457672","3.790000021457672","3.790000021457672"
"8256000","6.749999940395355","6.749999940395355","6.749999940395355"
"8320000","6.889999985694885","6.889999985694885","6.889999985694885"
"8384000","4.9400001764297485","4.9400001764297485","4.9400001764297485"
"8448000","3.950000047683716","3.950000047683716","3.950000047683716"
"8512000","4.700000055134296","4.700000055134296","4.700000055134296"
"8576000","6.459999859333038","6.459999859333038","6.459999859333038"
"8640000","1.7000001072883606","1.7000001072883606","1.7000001072883606"
"8704000","4.750000149011612","4.750000149011612","4.750000149011612"
"8768000","4.700000047683716","4.700000047683716","4.700000047683716"
"8832000","4.4700000286102295","4.4700000286102295","4.4700000286102295"
"8896000","4.880000025033951","4.880000025033951","4.880000025033951"
"8960000","2.3000000715255737","2.3000000715255737","2.3000000715255737"
"9024000","4.319999843835831","4.319999843835831","4.319999843835831"
"9088000","5.170000061392784","5.170000061392784","5.170000061392784"
"9152000","5.799999967217445","5.799999967217445","5.799999967217445"
"9216000","4.56000018119812","4.56000018119812","4.56000018119812"
"9280000","4.5700002908706665","4.5700002908706665","4.5700002908706665"
"9344000","1.9999999701976776","1.9999999701976776","1.9999999701976776"
"9408000","3.7399999499320984","3.7399999499320984","3.7399999499320984"
"9472000","3.9099996984004974","3.9099996984004974","3.9099996984004974"
"9536000","2.019999712705612","2.019999712705612","2.019999712705612"
"9600000","3.540000319480896","3.540000319480896","3.540000319480896"
"9664000","4.750000059604645","4.750000059604645","4.750000059604645"
"9728000","1.9900000989437103","1.9900000989437103","1.9900000989437103"
"9792000","4.299999892711639","4.299999892711639","4.299999892711639"
"9856000","5.240000069141388","5.240000069141388","5.240000069141388"
"9920000","4.559999972581863","4.559999972581863","4.559999972581863"
"9984000","5.599999651312828","5.599999651312828","5.599999651312828"
"10048000","2.9100001826882362","2.9100001826882362","2.9100001826882362"
"10112000","3.240000143647194","3.240000143647194","3.240000143647194"
"10176000","3.1599999517202377","3.1599999517202377","3.1599999517202377"
"10240000","3.549999888986349","3.549999888986349","3.549999888986349"
"10304000","3.1000000536441803","3.1000000536441803","3.1000000536441803"
"10368000","2.550000127404928","2.550000127404928","2.550000127404928"
"10432000","2.2699999287724495","2.2699999287724495","2.2699999287724495"
"10496000","4.500000335276127","4.500000335276127","4.500000335276127"
"10560000","3.2300001233816147","3.2300001233816147","3.2300001233816147"
"10624000","4.429999895393848","4.429999895393848","4.429999895393848"
"10688000","3.0299999490380287","3.0299999490380287","3.0299999490380287"
"10752000","2.560000089928508","2.560000089928508","2.560000089928508"
"10816000","5.770000047981739","5.770000047981739","5.770000047981739"
"10880000","5.200000187382102","5.200000187382102","5.200000187382102"
"10944000","3.9600000362843275","3.9600000362843275","3.9600000362843275"
"11008000","5.199999995529652","5.199999995529652","5.199999995529652"
"11072000","3.929999850690365","3.929999850690365","3.929999850690365"
"11136000","5.159999765455723","5.159999765455723","5.159999765455723"
"11200000","3.429999966174364","3.429999966174364","3.429999966174364"
"11264000","3.320000160485506","3.320000160485506","3.320000160485506"
"11328000","3.0699999909847975","3.0699999909847975","3.0699999909847975"
"11392000","4.240000177174807","4.240000177174807","4.240000177174807"
"11456000","3.650000113993883","3.650000113993883","3.650000113993883"
"11520000","2.8799999728798866","2.8799999728798866","2.8799999728798866"
"11584000","5.269999761134386","5.269999761134386","5.269999761134386"
"11648000","3.7199999764561653","3.7199999764561653","3.7199999764561653"
"11712000","2.1500000189989805","2.1500000189989805","2.1500000189989805"
"11776000","1.2200000565499067","1.2200000565499067","1.2200000565499067"
"11840000","1.8600000143051147","1.8600000143051147","1.8600000143051147"
"11904000","1.6299999468028545","1.6299999468028545","1.6299999468028545"
"11968000","2.300000011920929","2.300000011920929","2.300000011920929"
"12032000","3.350000001490116","3.350000001490116","3.350000001490116"
"12096000","2.059999892488122","2.059999892488122","2.059999892488122"
"12160000","1.0200000032782555","1.0200000032782555","1.0200000032782555"
"12224000","1.86000014282763","1.86000014282763","1.86000014282763"
"12288000","2.6000000331550837","2.6000000331550837","2.6000000331550837"
"12352000","1.5000001639127731","1.5000001639127731","1.5000001639127731"
"12416000","1.5700001809746027","1.5700001809746027","1.5700001809746027"
"12480000","1.8599998950958252","1.8599998950958252","1.8599998950958252"
"12544000","2.850000023841858","2.850000023841858","2.850000023841858"
"12608000","2.520000098273158","2.520000098273158","2.520000098273158"
"12672000","1.3599998950958252","1.3599998950958252","1.3599998950958252"
"12736000","2.319999933242798","2.319999933242798","2.319999933242798"
"12800000","2.1299999356269836","2.1299999356269836","2.1299999356269836"
"12864000","1.6799999065697193","1.6799999065697193","1.6799999065697193"
"12928000","2.3999999165534973","2.3999999165534973","2.3999999165534973"
"12992000","2.6500000078231096","2.6500000078231096","2.6500000078231096"
