Step,coin3_cbambaseline - SW_ep_rew_total,coin3_cbambaseline - SW_ep_rew_total__MIN,coin3_cbambaseline - SW_ep_rew_total__MAX
64000,-3.379999876022339,-3.379999876022339,-3.379999876022339
128000,-2.059999942779541,-2.059999942779541,-2.059999942779541
192000,-1.3899998664855957,-1.3899998664855957,-1.3899998664855957
256000,-4.079999998211861,-4.079999998211861,-4.079999998211861
320000,-3.1400000154972076,-3.1400000154972076,-3.1400000154972076
384000,-2.880000114440918,-2.880000114440918,-2.880000114440918
448000,-0.9100000858306885,-0.9100000858306885,-0.9100000858306885
512000,-2.1699999570846558,-2.1699999570846558,-2.1699999570846558
576000,-2.259999930858612,-2.259999930858612,-2.259999930858612
640000,-4.790000081062317,-4.790000081062317,-4.790000081062317
704000,-3.2600001096725464,-3.2600001096725464,-3.2600001096725464
768000,-2.169999986886978,-2.169999986886978,-2.169999986886978
832000,-4.140000224113464,-4.140000224113464,-4.140000224113464
896000,-0.8400001525878906,-0.8400001525878906,-0.8400001525878906
960000,-3.840000033378601,-3.840000033378601,-3.840000033378601
1024000,-1.4900000095367432,-1.4900000095367432,-1.4900000095367432
1088000,-2.7499998211860657,-2.7499998211860657,-2.7499998211860657
1152000,-2.8600001335144043,-2.8600001335144043,-2.8600001335144043
1216000,-2.7999998331069946,-2.7999998331069946,-2.7999998331069946
1280000,-2.6599999517202377,-2.6599999517202377,-2.6599999517202377
1344000,-3.7400000542402267,-3.7400000542402267,-3.7400000542402267
1408000,-2.509999930858612,-2.509999930858612,-2.509999930858612
1472000,-2.700000047683716,-2.700000047683716,-2.700000047683716
1536000,-3.3899997919797897,-3.3899997919797897,-3.3899997919797897
1600000,-2.53000009059906,-2.53000009059906,-2.53000009059906
1664000,-0.439999982714653,-0.439999982714653,-0.439999982714653
1728000,-1.6200000643730164,-1.6200000643730164,-1.6200000643730164
1792000,-3.870000123977661,-3.870000123977661,-3.870000123977661
1856000,-3.20000022649765,-3.20000022649765,-3.20000022649765
1920000,-3.780000016093254,-3.780000016093254,-3.780000016093254
1984000,-1.4400001764297485,-1.4400001764297485,-1.4400001764297485
2048000,-2.230000138282776,-2.230000138282776,-2.230000138282776
2112000,-2.8400002121925354,-2.8400002121925354,-2.8400002121925354
2176000,-3.5300002098083496,-3.5300002098083496,-3.5300002098083496
2240000,-3.4200000315904617,-3.4200000315904617,-3.4200000315904617
2304000,-2.970000147819519,-2.970000147819519,-2.970000147819519
2368000,-1.0300001502037048,-1.0300001502037048,-1.0300001502037048
2432000,-2.6599999964237213,-2.6599999964237213,-2.6599999964237213
2496000,-1.5399999618530273,-1.5399999618530273,-1.5399999618530273
2560000,-4.879999876022339,-4.879999876022339,-4.879999876022339
2624000,-3.9600001722574234,-3.9600001722574234,-3.9600001722574234
2688000,-3.399999976158142,-3.399999976158142,-3.399999976158142
2752000,-3.5999996662139893,-3.5999996662139893,-3.5999996662139893
2816000,-2.4099999964237213,-2.4099999964237213,-2.4099999964237213
2880000,-2.8599998354911804,-2.8599998354911804,-2.8599998354911804
2944000,-3.089999794960022,-3.089999794960022,-3.089999794960022
3008000,-2.9999998807907104,-2.9999998807907104,-2.9999998807907104
3072000,-3.299999952316284,-3.299999952316284,-3.299999952316284
3136000,-3.3200000524520874,-3.3200000524520874,-3.3200000524520874
3200000,-3.079999914392829,-3.079999914392829,-3.079999914392829
3264000,-1.7500001192092896,-1.7500001192092896,-1.7500001192092896
3328000,-3.8000000081956387,-3.8000000081956387,-3.8000000081956387
3392000,-3.409999907016754,-3.409999907016754,-3.409999907016754
3456000,-3.5299998335540295,-3.5299998335540295,-3.5299998335540295
3520000,-2.1800001561641693,-2.1800001561641693,-2.1800001561641693
3584000,-1.8399999141693115,-1.8399999141693115,-1.8399999141693115
3648000,-2.419999837875366,-2.419999837875366,-2.419999837875366
3712000,-3.1299999952316284,-3.1299999952316284,-3.1299999952316284
3776000,-4.029999792575836,-4.029999792575836,-4.029999792575836
3840000,-3.0900001525878906,-3.0900001525878906,-3.0900001525878906
3904000,-3.68999981880188,-3.68999981880188,-3.68999981880188
3968000,-1.9500001668930054,-1.9500001668930054,-1.9500001668930054
4032000,-2.490000069141388,-2.490000069141388,-2.490000069141388
4096000,-2.100000023841858,-2.100000023841858,-2.100000023841858
4160000,-4.53999999165535,-4.53999999165535,-4.53999999165535
4224000,-2,-2,-2
4288000,-1.8100000023841858,-1.8100000023841858,-1.8100000023841858
4352000,-1.9100001454353333,-1.9100001454353333,-1.9100001454353333
4416000,-2.869999885559082,-2.869999885559082,-2.869999885559082
4480000,-1.6200000047683716,-1.6200000047683716,-1.6200000047683716
4544000,-3.690000295639038,-3.690000295639038,-3.690000295639038
4608000,-2.1600000858306885,-2.1600000858306885,-2.1600000858306885
4672000,-3.240000009536743,-3.240000009536743,-3.240000009536743
4736000,-0.23000001907348633,-0.23000001907348633,-0.23000001907348633
4800000,-1.7799999713897705,-1.7799999713897705,-1.7799999713897705
4864000,-3.1899999380111694,-3.1899999380111694,-3.1899999380111694
4928000,-3.3399999737739563,-3.3399999737739563,-3.3399999737739563
4992000,-2.140000104904175,-2.140000104904175,-2.140000104904175
5056000,-1.4399999380111694,-1.4399999380111694,-1.4399999380111694
5120000,-2.309999942779541,-2.309999942779541,-2.309999942779541
5184000,-1.9000001102685928,-1.9000001102685928,-1.9000001102685928
5248000,-2.17999991774559,-2.17999991774559,-2.17999991774559
5312000,-2.6000000089406967,-2.6000000089406967,-2.6000000089406967
5376000,-2.449999988079071,-2.449999988079071,-2.449999988079071
5440000,-1.8800000101327896,-1.8800000101327896,-1.8800000101327896
5504000,-2.400000214576721,-2.400000214576721,-2.400000214576721
5568000,-3.279999941587448,-3.279999941587448,-3.279999941587448
5632000,-1.5399999618530273,-1.5399999618530273,-1.5399999618530273
5696000,-2.880000114440918,-2.880000114440918,-2.880000114440918
