"Step","coin4_cbamsvo - SW_ep_rew_total","coin4_cbamsvo - SW_ep_rew_total__MIN","coin4_cbamsvo - SW_ep_rew_total__MAX"
"64000","-3.8400004506111145","-3.8400004506111145","-3.8400004506111145"
"128000","-5.699999690055847","-5.699999690055847","-5.699999690055847"
"192000","-5.120000064373016","-5.120000064373016","-5.120000064373016"
"256000","-7.34000039100647","-7.34000039100647","-7.34000039100647"
"320000","-6.29999965429306","-6.29999965429306","-6.29999965429306"
"384000","-5.959999769926071","-5.959999769926071","-5.959999769926071"
"448000","-4.139999628067017","-4.139999628067017","-4.139999628067017"
"512000","-4.299999535083771","-4.299999535083771","-4.299999535083771"
"576000","-5.879999935626984","-5.879999935626984","-5.879999935626984"
"640000","-5.320000171661377","-5.320000171661377","-5.320000171661377"
"704000","-3.8200000673532486","-3.8200000673532486","-3.8200000673532486"
"768000","-4.779999852180481","-4.779999852180481","-4.779999852180481"
"832000","-4.940000206232071","-4.940000206232071","-4.940000206232071"
"896000","-7.559999853372574","-7.559999853372574","-7.559999853372574"
"960000","-6.880000114440918","-6.880000114440918","-6.880000114440918"
"1024000","-6.1000001430511475","-6.1000001430511475","-6.1000001430511475"
"1088000","-6.42000013589859","-6.42000013589859","-6.42000013589859"
"1152000","-5.7400000393390656","-5.7400000393390656","-5.7400000393390656"
"1216000","-6.039999604225159","-6.039999604225159","-6.039999604225159"
"1280000","-6.980000615119934","-6.980000615119934","-6.980000615119934"
"1344000","-7.4599997997283936","-7.4599997997283936","-7.4599997997283936"
"1408000","-7.420000076293945","-7.420000076293945","-7.420000076293945"
"1472000","-7.200000047683716","-7.200000047683716","-7.200000047683716"
"1536000","-8.339999437332153","-8.339999437332153","-8.339999437332153"
"1600000","-7.18000066280365","-7.18000066280365","-7.18000066280365"
"1664000","-6.660000026226044","-6.660000026226044","-6.660000026226044"
"1728000","-8.879999876022339","-8.879999876022339","-8.879999876022339"
"1792000","-8.820000171661377","-8.820000171661377","-8.820000171661377"
"1856000","-11.09999942779541","-11.09999942779541","-11.09999942779541"
"1920000","-11.31999921798706","-11.31999921798706","-11.31999921798706"
"1984000","-12.260000705718994","-12.260000705718994","-12.260000705718994"
"2048000","-12.080000162124634","-12.080000162124634","-12.080000162124634"
"2112000","-10.779999494552612","-10.779999494552612","-10.779999494552612"
"2176000","-11.840000629425049","-11.840000629425049","-11.840000629425049"
"2240000","-12.740000009536743","-12.740000009536743","-12.740000009536743"
"2304000","-11.980000495910645","-11.980000495910645","-11.980000495910645"
"2368000","-12.75999927520752","-12.75999927520752","-12.75999927520752"
"2432000","-14.040000438690186","-14.040000438690186","-14.040000438690186"
"2496000","-14.959999322891235","-14.959999322891235","-14.959999322891235"
"2560000","-15.97999906539917","-15.97999906539917","-15.97999906539917"
"2624000","-13.940000772476196","-13.940000772476196","-13.940000772476196"
"2688000","-15.179998874664307","-15.179998874664307","-15.179998874664307"
"2752000","-13.740000009536743","-13.740000009536743","-13.740000009536743"
