"Step","coin5_cbaminequity_aversion - SW_ep_rew_total","coin5_cbaminequity_aversion - SW_ep_rew_total__MIN","coin5_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","-8.799999594688416","-8.799999594688416","-8.799999594688416"
"128000","-11.34999942779541","-11.34999942779541","-11.34999942779541"
"192000","-9.74000072479248","-9.74000072479248","-9.74000072479248"
"256000","-11.18000054359436","-11.18000054359436","-11.18000054359436"
"320000","-10.300000667572021","-10.300000667572021","-10.300000667572021"
"384000","-12.499999761581421","-12.499999761581421","-12.499999761581421"
"448000","-11.219999313354492","-11.219999313354492","-11.219999313354492"
"512000","-9.699999690055847","-9.699999690055847","-9.699999690055847"
"576000","-10.59999942779541","-10.59999942779541","-10.59999942779541"
"640000","-10.65999984741211","-10.65999984741211","-10.65999984741211"
"704000","-11.660000801086426","-11.660000801086426","-11.660000801086426"
"768000","-11.319999933242798","-11.319999933242798","-11.319999933242798"
"832000","-11.620000123977661","-11.620000123977661","-11.620000123977661"
"896000","-11.09999942779541","-11.09999942779541","-11.09999942779541"
"960000","-10.259999394416809","-10.259999394416809","-10.259999394416809"
"1024000","-10","-10","-10"
"1088000","-11.359999895095825","-11.359999895095825","-11.359999895095825"
"1152000","-11.77999997138977","-11.77999997138977","-11.77999997138977"
"1216000","-10.820000171661377","-10.820000171661377","-10.820000171661377"
"1280000","-10.140000104904175","-10.140000104904175","-10.140000104904175"
"1344000","-11.219999551773071","-11.219999551773071","-11.219999551773071"
"1408000","-9.720000505447388","-9.720000505447388","-9.720000505447388"
"1472000","-12.0600004196167","-12.0600004196167","-12.0600004196167"
"1536000","-11.21999979019165","-11.21999979019165","-11.21999979019165"
"1600000","-10.360000371932983","-10.360000371932983","-10.360000371932983"
"1664000","-10.240000486373901","-10.240000486373901","-10.240000486373901"
"1728000","-10.539999723434448","-10.539999723434448","-10.539999723434448"
"1792000","-10.540000438690186","-10.540000438690186","-10.540000438690186"
"1856000","-10.539999723434448","-10.539999723434448","-10.539999723434448"
"1920000","-12.519999504089355","-12.519999504089355","-12.519999504089355"
"1984000","-11.580000162124634","-11.580000162124634","-11.580000162124634"
"2048000","-11.200000047683716","-11.200000047683716","-11.200000047683716"
"2112000","-10.18000078201294","-10.18000078201294","-10.18000078201294"
"2176000","-9.820000648498535","-9.820000648498535","-9.820000648498535"
"2240000","-9.860000133514404","-9.860000133514404","-9.860000133514404"
"2304000","-12.039999961853027","-12.039999961853027","-12.039999961853027"
"2368000","-9.240000486373901","-9.240000486373901","-9.240000486373901"
"2432000","-10.460000276565552","-10.460000276565552","-10.460000276565552"
"2496000","-9.74000096321106","-9.74000096321106","-9.74000096321106"
"2560000","-11.480000019073486","-11.480000019073486","-11.480000019073486"
"2624000","-12.619999408721924","-12.619999408721924","-12.619999408721924"
"2688000","-10.600000858306885","-10.600000858306885","-10.600000858306885"
"2752000","-11.289999961853027","-11.289999961853027","-11.289999961853027"
"2816000","-10.979999780654907","-10.979999780654907","-10.979999780654907"
"2880000","-10.260000228881836","-10.260000228881836","-10.260000228881836"
"2944000","-9.84000039100647","-9.84000039100647","-9.84000039100647"
"3008000","-9.920000314712524","-9.920000314712524","-9.920000314712524"
"3072000","-10.93999981880188","-10.93999981880188","-10.93999981880188"
"3136000","-9.93999981880188","-9.93999981880188","-9.93999981880188"
"3200000","-10.399999618530273","-10.399999618530273","-10.399999618530273"
"3264000","-11.660000324249268","-11.660000324249268","-11.660000324249268"
"3328000","-9.820000410079956","-9.820000410079956","-9.820000410079956"
"3392000","-11.019999980926514","-11.019999980926514","-11.019999980926514"
"3456000","-11.940000295639038","-11.940000295639038","-11.940000295639038"
"3520000","-9.980000019073486","-9.980000019073486","-9.980000019073486"
"3584000","-10.519999742507935","-10.519999742507935","-10.519999742507935"
"3648000","-11.259999752044678","-11.259999752044678","-11.259999752044678"
"3712000","-10.300000429153442","-10.300000429153442","-10.300000429153442"
"3776000","-12.56000018119812","-12.56000018119812","-12.56000018119812"
"3840000","-11.9399995803833","-11.9399995803833","-11.9399995803833"
"3904000","-10.919999599456787","-10.919999599456787","-10.919999599456787"
"3968000","-10.860000371932983","-10.860000371932983","-10.860000371932983"
"4032000","-10.8000009059906","-10.8000009059906","-10.8000009059906"
"4096000","-10.780000448226929","-10.780000448226929","-10.780000448226929"
"4160000","-10.979999542236328","-10.979999542236328","-10.979999542236328"
"4224000","-11.019999980926514","-11.019999980926514","-11.019999980926514"
"4288000","-10.119999885559082","-10.119999885559082","-10.119999885559082"
"4352000","-10.299999713897705","-10.299999713897705","-10.299999713897705"
"4416000","-9.539999723434448","-9.539999723434448","-9.539999723434448"
"4480000","-10.539999723434448","-10.539999723434448","-10.539999723434448"
"4544000","-10.919999599456787","-10.919999599456787","-10.919999599456787"
"4608000","-11.820000648498535","-11.820000648498535","-11.820000648498535"
"4672000","-10.320000171661377","-10.320000171661377","-10.320000171661377"
"4736000","-10.700000405311584","-10.700000405311584","-10.700000405311584"
"4800000","-11.440000534057617","-11.440000534057617","-11.440000534057617"
"4864000","-9.939999341964722","-9.939999341964722","-9.939999341964722"
"4928000","-10.899999380111694","-10.899999380111694","-10.899999380111694"
"4992000","-10.639999330043793","-10.639999330043793","-10.639999330043793"
"5056000","-9.259999632835388","-9.259999632835388","-9.259999632835388"
"5120000","-10.119999647140503","-10.119999647140503","-10.119999647140503"
"5184000","-11.180000066757202","-11.180000066757202","-11.180000066757202"
"5248000","-11","-11","-11"
"5312000","-11.380000352859497","-11.380000352859497","-11.380000352859497"
"5376000","-10.359999656677246","-10.359999656677246","-10.359999656677246"
"5440000","-8.940000057220459","-8.940000057220459","-8.940000057220459"
"5504000","-10.700000047683716","-10.700000047683716","-10.700000047683716"
"5568000","-10.479999780654907","-10.479999780654907","-10.479999780654907"
"5632000","-10.860000252723694","-10.860000252723694","-10.860000252723694"
"5696000","-10.480000495910645","-10.480000495910645","-10.480000495910645"
"5760000","-10.279999256134033","-10.279999256134033","-10.279999256134033"
"5824000","-11.880000114440918","-11.880000114440918","-11.880000114440918"
"5888000","-10.000000476837158","-10.000000476837158","-10.000000476837158"
"5952000","-12.260000705718994","-12.260000705718994","-12.260000705718994"
"6016000","-11.099999189376831","-11.099999189376831","-11.099999189376831"
"6080000","-12.040000200271606","-12.040000200271606","-12.040000200271606"
"6144000","-9.619999408721924","-9.619999408721924","-9.619999408721924"
"6208000","-10.900000095367432","-10.900000095367432","-10.900000095367432"
"6272000","-11.740000247955322","-11.740000247955322","-11.740000247955322"
"6336000","-9.640000343322754","-9.640000343322754","-9.640000343322754"
"6400000","-10.40000033378601","-10.40000033378601","-10.40000033378601"
"6464000","-10.900000095367432","-10.900000095367432","-10.900000095367432"
"6528000","-12.119999647140503","-12.119999647140503","-12.119999647140503"
"6592000","-10.499999403953552","-10.499999403953552","-10.499999403953552"
"6656000","-10.959999561309814","-10.959999561309814","-10.959999561309814"
"6720000","-11.059999465942383","-11.059999465942383","-11.059999465942383"
"6784000","-10.200000405311584","-10.200000405311584","-10.200000405311584"
"6848000","-13.06000018119812","-13.06000018119812","-13.06000018119812"
"6912000","-10.860000133514404","-10.860000133514404","-10.860000133514404"
"6976000","-10.999999761581421","-10.999999761581421","-10.999999761581421"
"7040000","-10.420000076293945","-10.420000076293945","-10.420000076293945"
"7104000","-10.480000734329224","-10.480000734329224","-10.480000734329224"
"7168000","-10.940000534057617","-10.940000534057617","-10.940000534057617"
"7232000","-11.28000020980835","-11.28000020980835","-11.28000020980835"
"7296000","-9.819999694824219","-9.819999694824219","-9.819999694824219"
"7360000","-9.680000305175781","-9.680000305175781","-9.680000305175781"
"7424000","-10.540000677108765","-10.540000677108765","-10.540000677108765"
"7488000","-11.079999208450317","-11.079999208450317","-11.079999208450317"
"7552000","-10.359999895095825","-10.359999895095825","-10.359999895095825"
"7616000","-11.059999465942383","-11.059999465942383","-11.059999465942383"
"7680000","-10.699999928474426","-10.699999928474426","-10.699999928474426"
"7744000","-11.140000343322754","-11.140000343322754","-11.140000343322754"
"7808000","-9.380000114440918","-9.380000114440918","-9.380000114440918"
"7872000","-10.719999551773071","-10.719999551773071","-10.719999551773071"
"7936000","-11.37999939918518","-11.37999939918518","-11.37999939918518"
"8000000","-10.419999718666077","-10.419999718666077","-10.419999718666077"
"8064000","-11.160000085830688","-11.160000085830688","-11.160000085830688"
"8128000","-9.100000381469727","-9.100000381469727","-9.100000381469727"
"8192000","-11.12000036239624","-11.12000036239624","-11.12000036239624"
"8256000","-10.620000004768372","-10.620000004768372","-10.620000004768372"
"8320000","-11.040000438690186","-11.040000438690186","-11.040000438690186"
"8384000","-9.980000019073486","-9.980000019073486","-9.980000019073486"
"8448000","-11.220000267028809","-11.220000267028809","-11.220000267028809"
"8512000","-10.839999675750732","-10.839999675750732","-10.839999675750732"
"8576000","-9.839999914169312","-9.839999914169312","-9.839999914169312"
"8640000","-11.239999532699585","-11.239999532699585","-11.239999532699585"
"8704000","-11.65999984741211","-11.65999984741211","-11.65999984741211"
"8768000","-9.339999794960022","-9.339999794960022","-9.339999794960022"
"8832000","-12.140000343322754","-12.140000343322754","-12.140000343322754"
"8896000","-11.960000038146973","-11.960000038146973","-11.960000038146973"
"8960000","-11.440000057220459","-11.440000057220459","-11.440000057220459"
"9024000","-11.059999942779541","-11.059999942779541","-11.059999942779541"
"9088000","-11.300000190734863","-11.300000190734863","-11.300000190734863"
"9152000","-11.5","-11.5","-11.5"
"9216000","-10.359999418258667","-10.359999418258667","-10.359999418258667"
"9280000","-11.839999675750732","-11.839999675750732","-11.839999675750732"
"9344000","-10.619999885559082","-10.619999885559082","-10.619999885559082"
"9408000","-9.4399995803833","-9.4399995803833","-9.4399995803833"
"9472000","-10.380000829696655","-10.380000829696655","-10.380000829696655"
"9536000","-10.800000190734863","-10.800000190734863","-10.800000190734863"
"9600000","-9.359999537467957","-9.359999537467957","-9.359999537467957"
"9664000","-10.679999589920044","-10.679999589920044","-10.679999589920044"
"9728000","-11.65999984741211","-11.65999984741211","-11.65999984741211"
"9792000","-9.800000429153442","-9.800000429153442","-9.800000429153442"
"9856000","-10.299999952316284","-10.299999952316284","-10.299999952316284"
"9920000","-10.880000114440918","-10.880000114440918","-10.880000114440918"
"9984000","-12.080000162124634","-12.080000162124634","-12.080000162124634"
"10048000","-10.940000295639038","-10.940000295639038","-10.940000295639038"
