"Step","coin5_cbamsvo - SW_ep_rew_total","coin5_cbamsvo - SW_ep_rew_total__MIN","coin5_cbamsvo - SW_ep_rew_total__MAX"
"64000","-10.059999465942383","-10.059999465942383","-10.059999465942383"
"128000","-11.420000314712524","-11.420000314712524","-11.420000314712524"
"192000","-10.079999446868896","-10.079999446868896","-10.079999446868896"
"256000","-12.080000400543213","-12.080000400543213","-12.080000400543213"
"320000","-11.65999984741211","-11.65999984741211","-11.65999984741211"
"384000","-11.180000305175781","-11.180000305175781","-11.180000305175781"
"448000","-12.140000104904175","-12.140000104904175","-12.140000104904175"
"512000","-11.119999647140503","-11.119999647140503","-11.119999647140503"
"576000","-12.96000051498413","-12.96000051498413","-12.96000051498413"
"640000","-11.460000038146973","-11.460000038146973","-11.460000038146973"
"704000","-10.759999752044678","-10.759999752044678","-10.759999752044678"
"768000","-11.540000438690186","-11.540000438690186","-11.540000438690186"
"832000","-12.380000114440918","-12.380000114440918","-12.380000114440918"
"896000","-11.780000448226929","-11.780000448226929","-11.780000448226929"
"960000","-12.08000111579895","-12.08000111579895","-12.08000111579895"
"1024000","-12.86000108718872","-12.86000108718872","-12.86000108718872"
"1088000","-12.639999866485596","-12.639999866485596","-12.639999866485596"
"1152000","-14.039999961853027","-14.039999961853027","-14.039999961853027"
"1216000","-13.999999523162842","-13.999999523162842","-13.999999523162842"
"1280000","-12.900000095367432","-12.900000095367432","-12.900000095367432"
"1344000","-15.159999370574951","-15.159999370574951","-15.159999370574951"
"1408000","-13.180000305175781","-13.180000305175781","-13.180000305175781"
"1472000","-13.140000343322754","-13.140000343322754","-13.140000343322754"
"1536000","-14.480000019073486","-14.480000019073486","-14.480000019073486"
"1600000","-13.279999732971191","-13.279999732971191","-13.279999732971191"
"1664000","-12.860000133514404","-12.860000133514404","-12.860000133514404"
"1728000","-15.099999904632568","-15.099999904632568","-15.099999904632568"
"1792000","-14.959999561309814","-14.959999561309814","-14.959999561309814"
"1856000","-13.279999732971191","-13.279999732971191","-13.279999732971191"
"1920000","-14.260000228881836","-14.260000228881836","-14.260000228881836"
"1984000","-12.53999924659729","-12.53999924659729","-12.53999924659729"
"2048000","-13.839999675750732","-13.839999675750732","-13.839999675750732"
"2112000","-13.260000228881836","-13.260000228881836","-13.260000228881836"
"2176000","-13.799999237060547","-13.799999237060547","-13.799999237060547"
"2240000","-13.640000104904175","-13.640000104904175","-13.640000104904175"
"2304000","-13.519999980926514","-13.519999980926514","-13.519999980926514"
"2368000","-14.18000054359436","-14.18000054359436","-14.18000054359436"
"2432000","-13.700000405311584","-13.700000405311584","-13.700000405311584"
"2496000","-14.599999904632568","-14.599999904632568","-14.599999904632568"
"2560000","-14.420000076293945","-14.420000076293945","-14.420000076293945"
"2624000","-14.099999904632568","-14.099999904632568","-14.099999904632568"
"2688000","-13.420000076293945","-13.420000076293945","-13.420000076293945"
"2752000","-14.15999984741211","-14.15999984741211","-14.15999984741211"
"2816000","-14.75999927520752","-14.75999927520752","-14.75999927520752"
"2880000","-15.420000314712524","-15.420000314712524","-15.420000314712524"
"2944000","-15.200000524520874","-15.200000524520874","-15.200000524520874"
"3008000","-15.539999723434448","-15.539999723434448","-15.539999723434448"
"3072000","-14.819999933242798","-14.819999933242798","-14.819999933242798"
"3136000","-15.240000486373901","-15.240000486373901","-15.240000486373901"
"3200000","-15.259999752044678","-15.259999752044678","-15.259999752044678"
"3264000","-15.500000238418579","-15.500000238418579","-15.500000238418579"
"3328000","-16.600000143051147","-16.600000143051147","-16.600000143051147"
"3392000","-16","-16","-16"
"3456000","-16.320000648498535","-16.320000648498535","-16.320000648498535"
"3520000","-15.37999963760376","-15.37999963760376","-15.37999963760376"
"3584000","-16.180000066757202","-16.180000066757202","-16.180000066757202"
"3648000","-15.800000667572021","-15.800000667572021","-15.800000667572021"
"3712000","-15.62000036239624","-15.62000036239624","-15.62000036239624"
"3776000","-15.479999780654907","-15.479999780654907","-15.479999780654907"
"3840000","-15.22000002861023","-15.22000002861023","-15.22000002861023"
"3904000","-16.639999866485596","-16.639999866485596","-16.639999866485596"
"3968000","-15.359999895095825","-15.359999895095825","-15.359999895095825"
"4032000","-15.579999685287476","-15.579999685287476","-15.579999685287476"
"4096000","-15.879999876022339","-15.879999876022339","-15.879999876022339"
"4160000","-15.71999979019165","-15.71999979019165","-15.71999979019165"
"4224000","-16.08000087738037","-16.08000087738037","-16.08000087738037"
"4288000","-16.839999675750732","-16.839999675750732","-16.839999675750732"
"4352000","-15.619999885559082","-15.619999885559082","-15.619999885559082"
"4416000","-16.59999918937683","-16.59999918937683","-16.59999918937683"
"4480000","-15.239999771118164","-15.239999771118164","-15.239999771118164"
"4544000","-15.759999513626099","-15.759999513626099","-15.759999513626099"
"4608000","-16.12000060081482","-16.12000060081482","-16.12000060081482"
"4672000","-16.559999704360962","-16.559999704360962","-16.559999704360962"
"4736000","-16.50000023841858","-16.50000023841858","-16.50000023841858"
"4800000","-15.019999265670776","-15.019999265670776","-15.019999265670776"
"4864000","-15.100000143051147","-15.100000143051147","-15.100000143051147"
"4928000","-15.759999990463257","-15.759999990463257","-15.759999990463257"
"4992000","-15.079999685287476","-15.079999685287476","-15.079999685287476"
"5056000","-15.940000057220459","-15.940000057220459","-15.940000057220459"
"5120000","-15.400000095367432","-15.400000095367432","-15.400000095367432"
"5184000","-15.180000066757202","-15.180000066757202","-15.180000066757202"
"5248000","-16.200000524520874","-16.200000524520874","-16.200000524520874"
"5312000","-15.839999675750732","-15.839999675750732","-15.839999675750732"
"5376000","-16.499999523162842","-16.499999523162842","-16.499999523162842"
