"Step","coin5_cbambaseline - SW_ep_rew_total","coin5_cbambaseline - SW_ep_rew_total__MIN","coin5_cbambaseline - SW_ep_rew_total__MAX"
"64000","-11.500000476837158","-11.500000476837158","-11.500000476837158"
"128000","-9.740000009536743","-9.740000009536743","-9.740000009536743"
"192000","-9.859999895095825","-9.859999895095825","-9.859999895095825"
"256000","-10.899999856948853","-10.899999856948853","-10.899999856948853"
"320000","-9.380000114440918","-9.380000114440918","-9.380000114440918"
"384000","-9.819999694824219","-9.819999694824219","-9.819999694824219"
"448000","-11.739999771118164","-11.739999771118164","-11.739999771118164"
"512000","-10.259999752044678","-10.259999752044678","-10.259999752044678"
"576000","-10.860000371932983","-10.860000371932983","-10.860000371932983"
"640000","-10.519999504089355","-10.519999504089355","-10.519999504089355"
"704000","-9.87999975681305","-9.87999975681305","-9.87999975681305"
"768000","-9.600000724196434","-9.600000724196434","-9.600000724196434"
"832000","-10.220000147819519","-10.220000147819519","-10.220000147819519"
"896000","-9.920000076293945","-9.920000076293945","-9.920000076293945"
"960000","-8.20000010728836","-8.20000010728836","-8.20000010728836"
"1024000","-9.180000126361847","-9.180000126361847","-9.180000126361847"
"1088000","-8.059999346733093","-8.059999346733093","-8.059999346733093"
"1152000","-8.279999852180481","-8.279999852180481","-8.279999852180481"
"1216000","-7.459999322891235","-7.459999322891235","-7.459999322891235"
"1280000","-6.200000286102295","-6.200000286102295","-6.200000286102295"
"1344000","-5.319999933242798","-5.319999933242798","-5.319999933242798"
"1408000","-4.999999284744263","-4.999999284744263","-4.999999284744263"
"1472000","-3.4200007915496826","-3.4200007915496826","-3.4200007915496826"
"1536000","-2.9599995613098145","-2.9599995613098145","-2.9599995613098145"
"1600000","-4.56000018119812","-4.56000018119812","-4.56000018119812"
"1664000","-2.700000286102295","-2.700000286102295","-2.700000286102295"
"1728000","-2.5799999237060547","-2.5799999237060547","-2.5799999237060547"
"1792000","-2.1999998092651367","-2.1999998092651367","-2.1999998092651367"
"1856000","-1.559999942779541","-1.559999942779541","-1.559999942779541"
"1920000","-1.880000352859497","-1.880000352859497","-1.880000352859497"
"1984000","-0.9800002574920654","-0.9800002574920654","-0.9800002574920654"
"2048000","-1.7599997520446777","-1.7599997520446777","-1.7599997520446777"
"2112000","-1.3000006675720215","-1.3000006675720215","-1.3000006675720215"
"2176000","-2.0799996852874756","-2.0799996852874756","-2.0799996852874756"
"2240000","-2.859999895095825","-2.859999895095825","-2.859999895095825"
"2304000","-1.9200005531311035","-1.9200005531311035","-1.9200005531311035"
"2368000","-1.2200000286102295","-1.2200000286102295","-1.2200000286102295"
"2432000","-2.4599995613098145","-2.4599995613098145","-2.4599995613098145"
"2496000","-2.4000000953674316","-2.4000000953674316","-2.4000000953674316"
"2560000","-0.2800002098083496","-0.2800002098083496","-0.2800002098083496"
"2624000","-1.1999993324279785","-1.1999993324279785","-1.1999993324279785"
"2688000","-2.1999998092651367","-2.1999998092651367","-2.1999998092651367"
"2752000","-1.1600003242492676","-1.1600003242492676","-1.1600003242492676"
"2816000","-2.559999704360962","-2.559999704360962","-2.559999704360962"
"2880000","-2.439999580383301","-2.439999580383301","-2.439999580383301"
"2944000","-2.2800004482269287","-2.2800004482269287","-2.2800004482269287"
"3008000","-1.4600000381469727","-1.4600000381469727","-1.4600000381469727"
"3072000","-1.640000343322754","-1.640000343322754","-1.640000343322754"
"3136000","-1.3999996185302734","-1.3999996185302734","-1.3999996185302734"
"3200000","-1.820000171661377","-1.820000171661377","-1.820000171661377"
"3264000","-1.8199994564056396","-1.8199994564056396","-1.8199994564056396"
"3328000","-1.820000171661377","-1.820000171661377","-1.820000171661377"
"3392000","-2.140000820159912","-2.140000820159912","-2.140000820159912"
"3456000","-1.5799999237060547","-1.5799999237060547","-1.5799999237060547"
"3520000","-1.3800005912780762","-1.3800005912780762","-1.3800005912780762"
"3584000","-2.499999523162842","-2.499999523162842","-2.499999523162842"
"3648000","-1.0799999237060547","-1.0799999237060547","-1.0799999237060547"
"3712000","-2.7799997329711914","-2.7799997329711914","-2.7799997329711914"
"3776000","-2.7199997901916504","-2.7199997901916504","-2.7199997901916504"
"3840000","-1.7199997901916504","-1.7199997901916504","-1.7199997901916504"
"3904000","-2.2800004482269287","-2.2800004482269287","-2.2800004482269287"
"3968000","-2.0999999046325684","-2.0999999046325684","-2.0999999046325684"
"4032000","-1.739999771118164","-1.739999771118164","-1.739999771118164"
"4096000","-2.4800000190734863","-2.4800000190734863","-2.4800000190734863"
"4160000","-1.4000000953674316","-1.4000000953674316","-1.4000000953674316"
"4224000","-0.6400001049041748","-0.6400001049041748","-0.6400001049041748"
"4288000","-1.6800000667572021","-1.6800000667572021","-1.6800000667572021"
"4352000","-1.1200003623962402","-1.1200003623962402","-1.1200003623962402"
"4416000","-1.5599994659423828","-1.5599994659423828","-1.5599994659423828"
"4480000","-1.6399998664855957","-1.6399998664855957","-1.6399998664855957"
"4544000","-1.500000238418579","-1.500000238418579","-1.500000238418579"
"4608000","-0.020000457763671875","-0.020000457763671875","-0.020000457763671875"
"4672000","-1.6200001239776611","-1.6200001239776611","-1.6200001239776611"
"4736000","-2.200000047683716","-2.200000047683716","-2.200000047683716"
"4800000","-1.5799994468688965","-1.5799994468688965","-1.5799994468688965"
"4864000","-1.260000228881836","-1.260000228881836","-1.260000228881836"
"4928000","-1.6400001049041748","-1.6400001049041748","-1.6400001049041748"
"4992000","-0.5","-0.5","-0.5"
"5056000","-1.559999942779541","-1.559999942779541","-1.559999942779541"
"5120000","-1.0799996852874756","-1.0799996852874756","-1.0799996852874756"
"5184000","-0.15999984741210938","-0.15999984741210938","-0.15999984741210938"
"5248000","-1.6600000858306885","-1.6600000858306885","-1.6600000858306885"
"5312000","-0.48000025749206543","-0.48000025749206543","-0.48000025749206543"
"5376000","-0.7599999904632568","-0.7599999904632568","-0.7599999904632568"
"5440000","-0.419999361038208","-0.419999361038208","-0.419999361038208"
"5504000","-0.7200000286102295","-0.7200000286102295","-0.7200000286102295"
"5568000","0.08000040054321289","0.08000040054321289","0.08000040054321289"
"5632000","-0.3600008487701416","-0.3600008487701416","-0.3600008487701416"
"5696000","0.019999980926513672","0.019999980926513672","0.019999980926513672"
