"Step","harvest_cbamcausal - SW_ep_rew_total","harvest_cbamcausal - SW_ep_rew_total__MIN","harvest_cbamcausal - SW_ep_rew_total__MAX"
"64000","-3542.359375","-3542.359375","-3542.359375"
"128000","-3336.7799682617188","-3336.7799682617188","-3336.7799682617188"
"192000","-2940.9000854492188","-2940.9000854492188","-2940.9000854492188"
"256000","-2384.469970703125","-2384.469970703125","-2384.469970703125"
"320000","-2036.52001953125","-2036.52001953125","-2036.52001953125"
"384000","-1661.8500366210938","-1661.8500366210938","-1661.8500366210938"
"448000","-1336.0600280761719","-1336.0600280761719","-1336.0600280761719"
"512000","-1043.4900207519531","-1043.4900207519531","-1043.4900207519531"
"576000","-799.4600219726562","-799.4600219726562","-799.4600219726562"
"640000","-594.6100158691406","-594.6100158691406","-594.6100158691406"
"704000","-458.7699966430664","-458.7699966430664","-458.7699966430664"
"768000","-408.90999603271484","-408.90999603271484","-408.90999603271484"
"832000","-342.4000053405762","-342.4000053405762","-342.4000053405762"
"896000","-248.5500030517578","-248.5500030517578","-248.5500030517578"
"960000","-228.8300018310547","-228.8300018310547","-228.8300018310547"
"1024000","-210.36999893188477","-210.36999893188477","-210.36999893188477"
"1088000","-140.6200008392334","-140.6200008392334","-140.6200008392334"
"1152000","-147.83999633789062","-147.83999633789062","-147.83999633789062"
"1216000","-128.48999977111816","-128.48999977111816","-128.48999977111816"
"1280000","-86.75999927520752","-86.75999927520752","-86.75999927520752"
"1344000","-66.22000074386597","-66.22000074386597","-66.22000074386597"
"1408000","-67.03999853134155","-67.03999853134155","-67.03999853134155"
"1472000","-62.64999923110008","-62.64999923110008","-62.64999923110008"
"1536000","-63.27999973297119","-63.27999973297119","-63.27999973297119"
"1600000","-44.6800000667572","-44.6800000667572","-44.6800000667572"
"1664000","-23.68999981880188","-23.68999981880188","-23.68999981880188"
"1728000","-9.519999623298645","-9.519999623298645","-9.519999623298645"
"1792000","-20.289999127388","-20.289999127388","-20.289999127388"
"1856000","0.9100003838539124","0.9100003838539124","0.9100003838539124"
