"Step","harvest_cbaminequity_aversion - SW_ep_rew_total","harvest_cbaminequity_aversion - SW_ep_rew_total__MIN","harvest_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","-6083.9698486328125","-6083.9698486328125","-6083.9698486328125"
"128000","-5398.555969238281","-5398.555969238281","-5398.555969238281"
"192000","-4734.499572753906","-4734.499572753906","-4734.499572753906"
"256000","-4234.178283691406","-4234.178283691406","-4234.178283691406"
"320000","-3578.3231811523438","-3578.3231811523438","-3578.3231811523438"
"384000","-3273.1685791015625","-3273.1685791015625","-3273.1685791015625"
"448000","-2733.022705078125","-2733.022705078125","-2733.022705078125"
"512000","-2160.1432189941406","-2160.1432189941406","-2160.1432189941406"
"576000","-1723.1015014648438","-1723.1015014648438","-1723.1015014648438"
"640000","-1402.376953125","-1402.376953125","-1402.376953125"
"704000","-1219.1021728515625","-1219.1021728515625","-1219.1021728515625"
"768000","-1063.662353515625","-1063.662353515625","-1063.662353515625"
"832000","-846.6673583984375","-846.6673583984375","-846.6673583984375"
"896000","-671.4024353027344","-671.4024353027344","-671.4024353027344"
"960000","-490.26991271972656","-490.26991271972656","-490.26991271972656"
"1024000","-584.9749755859375","-584.9749755859375","-584.9749755859375"
"1088000","-648.7499313354492","-648.7499313354492","-648.7499313354492"
"1152000","-557.0548782348633","-557.0548782348633","-557.0548782348633"
"1216000","-472.0273971557617","-472.0273971557617","-472.0273971557617"
"1280000","-440.0023651123047","-440.0023651123047","-440.0023651123047"
"1344000","-387.4923400878906","-387.4923400878906","-387.4923400878906"
"1408000","-363.0123481750488","-363.0123481750488","-363.0123481750488"
"1472000","-319.45482635498047","-319.45482635498047","-319.45482635498047"
"1536000","-288.6523628234863","-288.6523628234863","-288.6523628234863"
"1600000","-222.64235305786133","-222.64235305786133","-222.64235305786133"
"1664000","-209.05487632751465","-209.05487632751465","-209.05487632751465"
"1728000","-178.38738250732422","-178.38738250732422","-178.38738250732422"
"1792000","-137.06738090515137","-137.06738090515137","-137.06738090515137"
"1856000","-97.14742851257324","-97.14742851257324","-97.14742851257324"
"1920000","-78.23995876312256","-78.23995876312256","-78.23995876312256"
"1984000","-56.904940366744995","-56.904940366744995","-56.904940366744995"
"2048000","-60.66992235183716","-60.66992235183716","-60.66992235183716"
"2112000","-48.03743624687195","-48.03743624687195","-48.03743624687195"
"2176000","-33.69494104385376","-33.69494104385376","-33.69494104385376"
"2240000","-34.459959745407104","-34.459959745407104","-34.459959745407104"
"2304000","-18.79996371269226","-18.79996371269226","-18.79996371269226"
"2368000","-0.20498592406511307","-0.20498592406511307","-0.20498592406511307"
"2432000","7.6350201312452555","7.6350201312452555","7.6350201312452555"
"2496000","9.752508163452148","9.752508163452148","9.752508163452148"
"2560000","23.432496547698975","23.432496547698975","23.432496547698975"
"2624000","31.069990158081055","31.069990158081055","31.069990158081055"
"2688000","36.60997748374939","36.60997748374939","36.60997748374939"
"2752000","52.69246965646744","52.69246965646744","52.69246965646744"
"2816000","53.22496449947357","53.22496449947357","53.22496449947357"
"2880000","53.81247380375862","53.81247380375862","53.81247380375862"
"2944000","57.52496600151062","57.52496600151062","57.52496600151062"
"3008000","63.75996381044388","63.75996381044388","63.75996381044388"
"3072000","66.56745958328247","66.56745958328247","66.56745958328247"
"3136000","64.28745546936989","64.28745546936989","64.28745546936989"
"3200000","66.3749566078186","66.3749566078186","66.3749566078186"
"3264000","67.66996335983276","67.66996335983276","67.66996335983276"
"3328000","77.03744506835938","77.03744506835938","77.03744506835938"
"3392000","73.81495094299316","73.81495094299316","73.81495094299316"
"3456000","74.75245761871338","74.75245761871338","74.75245761871338"
"3520000","74.84494304656982","74.84494304656982","74.84494304656982"
"3584000","74.23494911193848","74.23494911193848","74.23494911193848"
"3648000","76.8049488067627","76.8049488067627","76.8049488067627"
"3712000","77.46245002746582","77.46245002746582","77.46245002746582"
"3776000","73.99245929718018","73.99245929718018","73.99245929718018"
"3840000","77.5599479675293","77.5599479675293","77.5599479675293"
"3904000","81.12495231628418","81.12495231628418","81.12495231628418"
"3968000","80.6449556350708","80.6449556350708","80.6449556350708"
"4032000","80.18743991851807","80.18743991851807","80.18743991851807"
"4096000","81.15244674682617","81.15244674682617","81.15244674682617"
"4160000","81.04994773864746","81.04994773864746","81.04994773864746"
"4224000","79.66494941711426","79.66494941711426","79.66494941711426"
"4288000","79.05746078491211","79.05746078491211","79.05746078491211"
"4352000","81.22995567321777","81.22995567321777","81.22995567321777"
"4416000","82.28245162963867","82.28245162963867","82.28245162963867"
"4480000","82.43494892120361","82.43494892120361","82.43494892120361"
"4544000","81.9449520111084","81.9449520111084","81.9449520111084"
"4608000","82.80244827270508","82.80244827270508","82.80244827270508"
"4672000","83.76744365692139","83.76744365692139","83.76744365692139"
"4736000","83.06494617462158","83.06494617462158","83.06494617462158"
"4800000","82.57244968414307","82.57244968414307","82.57244968414307"
"4864000","81.87495422363281","81.87495422363281","81.87495422363281"
"4928000","79.41994857788086","79.41994857788086","79.41994857788086"
"4992000","82.01995754241943","82.01995754241943","82.01995754241943"
"5056000","82.4474573135376","82.4474573135376","82.4474573135376"
"5120000","81.05745220184326","81.05745220184326","81.05745220184326"
"5184000","82.50244808197021","82.50244808197021","82.50244808197021"
"5248000","81.88744354248047","81.88744354248047","81.88744354248047"
"5312000","82.54494285583496","82.54494285583496","82.54494285583496"
"5376000","84.262451171875","84.262451171875","84.262451171875"
"5440000","82.69495105743408","82.69495105743408","82.69495105743408"
"5504000","83.41744709014893","83.41744709014893","83.41744709014893"
"5568000","83.38244533538818","83.38244533538818","83.38244533538818"
"5632000","84.4749526977539","84.4749526977539","84.4749526977539"
"5696000","84.1299467086792","84.1299467086792","84.1299467086792"
"5760000","84.56494617462158","84.56494617462158","84.56494617462158"
"5824000","82.30994415283203","82.30994415283203","82.30994415283203"
"5888000","81.88245105743408","81.88245105743408","81.88245105743408"
"5952000","84.2324447631836","84.2324447631836","84.2324447631836"
"6016000","84.98495292663574","84.98495292663574","84.98495292663574"
"6080000","83.75744724273682","83.75744724273682","83.75744724273682"
"6144000","83.95244979858398","83.95244979858398","83.95244979858398"
"6208000","84.86994743347168","84.86994743347168","84.86994743347168"
"6272000","84.87745094299316","84.87745094299316","84.87745094299316"
"6336000","82.69744873046875","82.69744873046875","82.69744873046875"
"6400000","82.35995197296143","82.35995197296143","82.35995197296143"
"6464000","85.31495189666748","85.31495189666748","85.31495189666748"
"6528000","84.50744724273682","84.50744724273682","84.50744724273682"
"6592000","84.49495220184326","84.49495220184326","84.49495220184326"
"6656000","85.79745674133301","85.79745674133301","85.79745674133301"
"6720000","85.3724536895752","85.3724536895752","85.3724536895752"
"6784000","85.2899522781372","85.2899522781372","85.2899522781372"
"6848000","85.35744667053223","85.35744667053223","85.35744667053223"
"6912000","85.22494411468506","85.22494411468506","85.22494411468506"
"6976000","85.23493957519531","85.23493957519531","85.23493957519531"
"7040000","85.10995101928711","85.10995101928711","85.10995101928711"
"7104000","85.13995838165283","85.13995838165283","85.13995838165283"
"7168000","85.3849515914917","85.3849515914917","85.3849515914917"
"7232000","85.41495323181152","85.41495323181152","85.41495323181152"
"7296000","85.09994792938232","85.09994792938232","85.09994792938232"
"7360000","84.59495067596436","84.59495067596436","84.59495067596436"
"7424000","84.87994956970215","84.87994956970215","84.87994956970215"
"7488000","84.7649564743042","84.7649564743042","84.7649564743042"
"7552000","85.07745265960693","85.07745265960693","85.07745265960693"
"7616000","85.15745067596436","85.15745067596436","85.15745067596436"
"7680000","84.53246021270752","84.53246021270752","84.53246021270752"
"7744000","84.85995864868164","84.85995864868164","84.85995864868164"
"7808000","86.03995132446289","86.03995132446289","86.03995132446289"
"7872000","85.77994728088379","85.77994728088379","85.77994728088379"
"7936000","86.00994682312012","86.00994682312012","86.00994682312012"
"8000000","85.79494571685791","85.79494571685791","85.79494571685791"
"8064000","85.14245223999023","85.14245223999023","85.14245223999023"
"8128000","84.89745330810547","84.89745330810547","84.89745330810547"
"8192000","85.78745174407959","85.78745174407959","85.78745174407959"
"8256000","85.93245697021484","85.93245697021484","85.93245697021484"
"8320000","85.7924575805664","85.7924575805664","85.7924575805664"
"8384000","86.45995426177979","86.45995426177979","86.45995426177979"
"8448000","86.1374568939209","86.1374568939209","86.1374568939209"
"8512000","85.95995044708252","85.95995044708252","85.95995044708252"
"8576000","85.22245025634766","85.22245025634766","85.22245025634766"
"8640000","85.00995635986328","85.00995635986328","85.00995635986328"
"8704000","86.12245750427246","86.12245750427246","86.12245750427246"
"8768000","85.8849515914917","85.8849515914917","85.8849515914917"
"8832000","85.92744636535645","85.92744636535645","85.92744636535645"
"8896000","86.01745414733887","86.01745414733887","86.01745414733887"
