"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"64000","-4032.953125","-4032.953125","-4032.953125"
"128000","-3397.199981689453","-3397.199981689453","-3397.199981689453"
"192000","-2580.9100341796875","-2580.9100341796875","-2580.9100341796875"
"256000","-2001.7300109863281","-2001.7300109863281","-2001.7300109863281"
"320000","-1487.9599609375","-1487.9599609375","-1487.9599609375"
"384000","-1089.239990234375","-1089.239990234375","-1089.239990234375"
"448000","-758.6699981689453","-758.6699981689453","-758.6699981689453"
"512000","-532.9900131225586","-532.9900131225586","-532.9900131225586"
"576000","-379.7100028991699","-379.7100028991699","-379.7100028991699"
"640000","-200.48999786376953","-200.48999786376953","-200.48999786376953"
"704000","-82.93999671936035","-82.93999671936035","-82.93999671936035"
"768000","-46.22999930381775","-46.22999930381775","-46.22999930381775"
"832000","-56.4499996304512","-56.4499996304512","-56.4499996304512"
"896000","61.12000048160553","61.12000048160553","61.12000048160553"
"960000","142.42999839782715","142.42999839782715","142.42999839782715"
"1024000","182.83000373840332","182.83000373840332","182.83000373840332"
"1088000","237.0800018310547","237.0800018310547","237.0800018310547"
"1152000","271.7299995422363","271.7299995422363","271.7299995422363"
"1216000","318.5399971008301","318.5399971008301","318.5399971008301"
"1280000","360.62000274658203","360.62000274658203","360.62000274658203"
"1344000","389.2800064086914","389.2800064086914","389.2800064086914"
"1408000","420.11000061035156","420.11000061035156","420.11000061035156"
"1472000","441.39000701904297","441.39000701904297","441.39000701904297"
"1536000","457.24000549316406","457.24000549316406","457.24000549316406"
"1600000","477.6899948120117","477.6899948120117","477.6899948120117"
"1664000","491.9300079345703","491.9300079345703","491.9300079345703"
"1728000","517.6399993896484","517.6399993896484","517.6399993896484"
"1792000","534.0800018310547","534.0800018310547","534.0800018310547"
"1856000","542.9099960327148","542.9099960327148","542.9099960327148"
"1920000","545.9600067138672","545.9600067138672","545.9600067138672"
"1984000","543.7299957275391","543.7299957275391","543.7299957275391"
"2048000","562.7700042724609","562.7700042724609","562.7700042724609"
"2112000","566.9900054931641","566.9900054931641","566.9900054931641"
"2176000","557.4299926757812","557.4299926757812","557.4299926757812"
"2240000","571.3500061035156","571.3500061035156","571.3500061035156"
"2304000","579.5199966430664","579.5199966430664","579.5199966430664"
"2368000","581.1900100708008","581.1900100708008","581.1900100708008"
"2432000","590.4599990844727","590.4599990844727","590.4599990844727"
"2496000","593.0800094604492","593.0800094604492","593.0800094604492"
"2560000","597.9399948120117","597.9399948120117","597.9399948120117"
"2624000","600.7300033569336","600.7300033569336","600.7300033569336"
"2688000","599.1500015258789","599.1500015258789","599.1500015258789"
"2752000","586.5","586.5","586.5"
"2816000","593.7399978637695","593.7399978637695","593.7399978637695"
"2880000","612.1500091552734","612.1500091552734","612.1500091552734"
"2944000","621.1000061035156","621.1000061035156","621.1000061035156"
"3008000","627.6399993896484","627.6399993896484","627.6399993896484"
"3072000","604.7900009155273","604.7900009155273","604.7900009155273"
"3136000","604.4799880981445","604.4799880981445","604.4799880981445"
"3200000","630.5199890136719","630.5199890136719","630.5199890136719"
"3264000","621.7999954223633","621.7999954223633","621.7999954223633"
"3328000","616.2500076293945","616.2500076293945","616.2500076293945"
"3392000","615.859992980957","615.859992980957","615.859992980957"
"3456000","623.9800109863281","623.9800109863281","623.9800109863281"
"3520000","628.7599945068359","628.7599945068359","628.7599945068359"
"3584000","627.0500030517578","627.0500030517578","627.0500030517578"
"3648000","626.3199844360352","626.3199844360352","626.3199844360352"
"3712000","633.0200042724609","633.0200042724609","633.0200042724609"
"3776000","612.0199890136719","612.0199890136719","612.0199890136719"
"3840000","614.7999954223633","614.7999954223633","614.7999954223633"
"3904000","625.3500061035156","625.3500061035156","625.3500061035156"
"3968000","624.119987487793","624.119987487793","624.119987487793"
"4032000","637.3500061035156","637.3500061035156","637.3500061035156"
"4096000","631.9900054931641","631.9900054931641","631.9900054931641"
"4160000","617.0500030517578","617.0500030517578","617.0500030517578"
"4224000","614.8100051879883","614.8100051879883","614.8100051879883"
"4288000","626.870002746582","626.870002746582","626.870002746582"
"4352000","629.8000030517578","629.8000030517578","629.8000030517578"
"4416000","630.5299911499023","630.5299911499023","630.5299911499023"
"4480000","617.0999984741211","617.0999984741211","617.0999984741211"
"4544000","613.3499984741211","613.3499984741211","613.3499984741211"
"4608000","614.0000076293945","614.0000076293945","614.0000076293945"
"4672000","616.5899887084961","616.5899887084961","616.5899887084961"
"4736000","613.2499847412109","613.2499847412109","613.2499847412109"
"4800000","617.7199935913086","617.7199935913086","617.7199935913086"
"4864000","634.4600067138672","634.4600067138672","634.4600067138672"
"4928000","628.0800094604492","628.0800094604492","628.0800094604492"
"4992000","623.2700042724609","623.2700042724609","623.2700042724609"
"5056000","631.7200088500977","631.7200088500977","631.7200088500977"
"5120000","623.879997253418","623.879997253418","623.879997253418"
"5184000","637.2999954223633","637.2999954223633","637.2999954223633"
"5248000","648.2200012207031","648.2200012207031","648.2200012207031"
"5312000","642.7699966430664","642.7699966430664","642.7699966430664"
"5376000","631.0699844360352","631.0699844360352","631.0699844360352"
"5440000","647.8099975585938","647.8099975585938","647.8099975585938"
"5504000","644.2200012207031","644.2200012207031","644.2200012207031"
"5568000","635.9000015258789","635.9000015258789","635.9000015258789"
"5632000","631.8999938964844","631.8999938964844","631.8999938964844"
"5696000","639.6299896240234","639.6299896240234","639.6299896240234"
"5760000","635.9500045776367","635.9500045776367","635.9500045776367"
"5824000","627.0399932861328","627.0399932861328","627.0399932861328"
"5888000","626.6599960327148","626.6599960327148","626.6599960327148"
"5952000","638.0700073242188","638.0700073242188","638.0700073242188"
"6016000","628.5400085449219","628.5400085449219","628.5400085449219"
"6080000","649.9200057983398","649.9200057983398","649.9200057983398"
"6144000","648.2299957275391","648.2299957275391","648.2299957275391"
"6208000","635.5600051879883","635.5600051879883","635.5600051879883"
"6272000","636.9199981689453","636.9199981689453","636.9199981689453"
"6336000","636.2600021362305","636.2600021362305","636.2600021362305"
"6400000","635.3099899291992","635.3099899291992","635.3099899291992"
"6464000","642.3299942016602","642.3299942016602","642.3299942016602"
"6528000","641.7399826049805","641.7399826049805","641.7399826049805"
"6592000","637.6200103759766","637.6200103759766","637.6200103759766"
"6656000","635.5600051879883","635.5600051879883","635.5600051879883"
"6720000","633.0700073242188","633.0700073242188","633.0700073242188"
"6784000","628.9099960327148","628.9099960327148","628.9099960327148"
"6848000","626.879997253418","626.879997253418","626.879997253418"
"6912000","638.6899948120117","638.6899948120117","638.6899948120117"
"6976000","638.1199951171875","638.1199951171875","638.1199951171875"
"7040000","643.900016784668","643.900016784668","643.900016784668"
"7104000","643.1999969482422","643.1999969482422","643.1999969482422"
