Step,harvest_original_cbam_causal - SW_ep_rew_total,harvest_original_cbam_causal - SW_ep_rew_total__MIN,harvest_original_cbam_causal - SW_ep_rew_total__MAX
64000,-4038.2043341422127014,-4038.1913624056569461,-4027.7113838582044991
128000,-3403.3691776780633518,-3403.3514284498814959,-3391.0078224721623883
192000,-2586.2125533732441909,-2575.0385822092930539,-2575.0868559828254547
256000,-2007.5530550147332178,-1995.9736094389099890,-2007.5292068953801845
320000,-1482.2256198044794928,-1493.7736972882426016,-1482.1728158919911493
384000,-1083.5266220557293764,-1095.0850689549179151,-1094.9907046745108801
448000,-764.0825923875551098,-764.0539546106875832,-753.2646423182683293
512000,-526.8800054759008162,-526.9967821706896984,-539.0453034541736770
576000,-385.6476433422527634,-373.8689193364415360,-373.9149334548263823
640000,-193.8843804545657861,-206.3867360251047103,-194.6699624377667703
704000,-77.7670746416771834,-77.7826519092178188,-77.8001763613096955
768000,-39.9976939883802913,-52.4432448162267306,-52.4061379618509378
832000,-50.4509338893262651,-62.8947641015384491,-62.8091248802821411
896000,66.9969151459169154,67.2096390045633996,55.7136382236968899
960000,148.3986993773369818,148.4107496220093765,136.4290093999726992
1024000,188.9209959830909895,176.7519296549772889,188.9428497733228483
1088000,231.8543866058232936,242.2570467754547678,242.2378683910436905
1152000,277.8204815060271926,277.2152129523319104,265.9184549743304160
1216000,312.7655787914456482,312.3852109603924418,312.2266156139677378
1280000,355.3484045357227501,355.1283647610119942,355.4553584448201491
1344000,395.1659261901219793,383.3870325397261922,395.1735259833475311
1408000,426.7754285977136419,414.4081546959816933,413.8793600464964015
1472000,446.8129491829420203,435.8716599350435104,435.8885892358220531
1536000,451.8588061756797174,462.5995786204840670,451.8616251992405637
1600000,472.0708352420617189,483.0732699103122627,483.9539707072385113
1664000,498.1473265053689374,498.0419388411230557,498.1451019856160656
1728000,511.7848180469329691,511.5822854446352039,523.7558165979744444
1792000,527.9978653815294365,528.0322790245879787,527.8718977356674031
1856000,537.6191824290606291,548.0862089897426586,548.0874169470364450
1920000,551.7578768489520371,552.1943870547682991,540.5571910187400135
1984000,537.8084633092817057,549.7111535763084476,537.6721794248495598
2048000,568.9660198222285317,557.4477698342041094,568.6094078702710704
2112000,561.4876252973651845,572.5085636906268292,572.6059807954965208
2176000,551.4309093859827726,563.6923896680976895,550.7324747764944277
2240000,566.0111646117641158,565.8344533073205866,565.5698798210933091
2304000,573.3023490235627833,573.4972284442826549,585.3321642358508825
2368000,587.1948172650000970,575.4002080813016846,575.2614529601061122
2432000,595.6138106127561969,595.7992028771348032,584.7489283216052627
2496000,587.3373014985684222,598.7542240459837330,598.9232297838983641
2560000,592.1630834490520101,603.6403486650877994,592.2722931394109764
2624000,594.0156205115252988,606.8043708966011991,595.0963549028004991
2688000,605.2982084890768419,605.2178178550148004,605.0682301974964048
2752000,580.8842105338650299,580.7796618836907783,580.5341439413163016
2816000,588.2321298862555068,587.6922986943942533,587.6267829381197316
2880000,618.6490532300471159,618.3632935075586374,605.9043238744044402
