Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-6352.3550481502252296,-6352.7001248180504263,-6352.1970520814684278
128000,-6408.7988030961305412,-6407.5879690595638749,-6400.1991105082897775
192000,-5574.7576644517776003,-5575.7026953491704262,-5568.1481240534931203
256000,-4885.9743329431721577,-4891.9625685452929247,-4892.9774939784902017
320000,-5487.7331745086239607,-5480.6693973795181591,-5489.0574362060315252
384000,-5366.1870624614120970,-5365.1249769081323393,-5360.9808462720520765
448000,-4655.8107667562435381,-4650.3972576338237559,-4658.3474775190952641
512000,-4605.5159384283888357,-4613.0898763898239849,-4606.1716994012449504
576000,-5293.9021666272483344,-5300.2798990681340001,-5294.9048910885112491
640000,-5549.7635157142831304,-5543.9942829769461241,-5549.3343935717575732
704000,-5748.6147707784521117,-5751.3341061050232383,-5752.1696257556368437
768000,-5511.5373411777000001,-5516.9040714270831813,-5509.7601631354746132
832000,-5042.7860895074190921,-5045.2099186203349745,-5040.2181375172649496
896000,-4629.0528845654143879,-4630.2063938599549147,-4632.3061925318461363
960000,-4216.7056476939123968,-4216.6484541178124346,-4210.9487665683027444
1024000,-4089.3443020595686903,-4088.1088900846507386,-4085.1486159003034118
1088000,-4305.4100266088671560,-4308.8366412462546577,-4306.8160115885648338
1152000,-4235.5599758126545566,-4242.3265844059733354,-4236.6251676127785686
1216000,-3859.1751182363568660,-3860.5103514221641490,-3864.5563719132965161
1280000,-3262.4037753148845695,-3262.4123837840070337,-3260.5025324655762233
1344000,-3200.1794583971995962,-3194.8492939029524678,-3203.4872099591907499
1408000,-3275.0462183713661943,-3268.4879208257902974,-3271.9412403558467304
1472000,-3118.5196247384988055,-3112.0198890088890948,-3112.5347633733636030
1536000,-2705.5832304750479125,-2703.7625709610665581,-2700.1691504192340290
1600000,-2691.4225976205466395,-2698.4417384176258565,-2697.6907022334717112
