"Step","harvest_original_cbam_inequity_aversion - SW_ep_rew_total","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN","harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"64000","-19375.16064453125","-19375.16064453125","-19375.16064453125"
"128000","-15695.516479492188","-15695.516479492188","-15695.516479492188"
"192000","-13846.1748046875","-13846.1748046875","-13846.1748046875"
"256000","-13298.262084960938","-13298.262084960938","-13298.262084960938"
"320000","-13871.939453125","-13871.939453125","-13871.939453125"
"384000","-13980.567260742188","-13980.567260742188","-13980.567260742188"
"448000","-15092.13720703125","-15092.13720703125","-15092.13720703125"
"512000","-14021.521850585938","-14021.521850585938","-14021.521850585938"
"576000","-13344.770263671875","-13344.770263671875","-13344.770263671875"
"640000","-13021.277709960938","-13021.277709960938","-13021.277709960938"
"704000","-11995.055419921875","-11995.055419921875","-11995.055419921875"
"768000","-11967.345092773438","-11967.345092773438","-11967.345092773438"
"832000","-11648.828369140625","-11648.828369140625","-11648.828369140625"
"896000","-10904.770751953125","-10904.770751953125","-10904.770751953125"
"960000","-9710.338134765625","-9710.338134765625","-9710.338134765625"
"1024000","-8607.69580078125","-8607.69580078125","-8607.69580078125"
"1088000","-8314.003784179688","-8314.003784179688","-8314.003784179688"
"1152000","-8275.360229492188","-8275.360229492188","-8275.360229492188"
"1216000","-8552.965209960938","-8552.965209960938","-8552.965209960938"
"1280000","-8171.9267578125","-8171.9267578125","-8171.9267578125"
"1344000","-8523.218627929688","-8523.218627929688","-8523.218627929688"
"1408000","-9227.079711914062","-9227.079711914062","-9227.079711914062"
"1472000","-9075.863159179688","-9075.863159179688","-9075.863159179688"
"1536000","-8876.240844726562","-8876.240844726562","-8876.240844726562"
"1600000","-9295.663452148438","-9295.663452148438","-9295.663452148438"
"1664000","-8905.3212890625","-8905.3212890625","-8905.3212890625"
"1728000","-9093.873779296875","-9093.873779296875","-9093.873779296875"
"1792000","-9016.42431640625","-9016.42431640625","-9016.42431640625"
"1856000","-9400.529907226562","-9400.529907226562","-9400.529907226562"
"1920000","-8704.967041015625","-8704.967041015625","-8704.967041015625"
"1984000","-8224.299438476562","-8224.299438476562","-8224.299438476562"
"2048000","-8240.581420898438","-8240.581420898438","-8240.581420898438"
"2112000","-7858.957763671875","-7858.957763671875","-7858.957763671875"
"2176000","-7684.1734619140625","-7684.1734619140625","-7684.1734619140625"
"2240000","-7012.899841308594","-7012.899841308594","-7012.899841308594"
"2304000","-6698.139831542969","-6698.139831542969","-6698.139831542969"
"2368000","-6830.718017578125","-6830.718017578125","-6830.718017578125"
"2432000","-7068.4783935546875","-7068.4783935546875","-7068.4783935546875"
"2496000","-7458.8782958984375","-7458.8782958984375","-7458.8782958984375"
"2560000","-7076.8626708984375","-7076.8626708984375","-7076.8626708984375"
"2624000","-7194.796691894531","-7194.796691894531","-7194.796691894531"
"2688000","-6464.168395996094","-6464.168395996094","-6464.168395996094"
"2752000","-5815.8355712890625","-5815.8355712890625","-5815.8355712890625"
"2816000","-5398.621826171875","-5398.621826171875","-5398.621826171875"
