"Step","harvest_cbamsvo - SW_ep_rew_total","harvest_cbamsvo - SW_ep_rew_total__MIN","harvest_cbamsvo - SW_ep_rew_total__MAX"
"64000","-4131.953125","-4131.953125","-4131.953125"
"128000","-3515.7899780273438","-3515.7899780273438","-3515.7899780273438"
"192000","-2760.7300415039062","-2760.7300415039062","-2760.7300415039062"
"256000","-2271.4700317382812","-2271.4700317382812","-2271.4700317382812"
"320000","-1948.5","-1948.5","-1948.5"
"384000","-1630.7499694824219","-1630.7499694824219","-1630.7499694824219"
"448000","-1369.5499877929688","-1369.5499877929688","-1369.5499877929688"
"512000","-1081.9499969482422","-1081.9499969482422","-1081.9499969482422"
"576000","-784.2400054931641","-784.2400054931641","-784.2400054931641"
"640000","-677.3499984741211","-677.3499984741211","-677.3499984741211"
"704000","-505.0699996948242","-505.0699996948242","-505.0699996948242"
"768000","-405.92000579833984","-405.92000579833984","-405.92000579833984"
"832000","-344.0700035095215","-344.0700035095215","-344.0700035095215"
"896000","-272.2599983215332","-272.2599983215332","-272.2599983215332"
"960000","-221.86000061035156","-221.86000061035156","-221.86000061035156"
"1024000","-170.31000137329102","-170.31000137329102","-170.31000137329102"
"1088000","-140.94000053405762","-140.94000053405762","-140.94000053405762"
"1152000","-133.72000122070312","-133.72000122070312","-133.72000122070312"
"1216000","-72.5699987411499","-72.5699987411499","-72.5699987411499"
"1280000","-30.25000023841858","-30.25000023841858","-30.25000023841858"
"1344000","-28.270000457763672","-28.270000457763672","-28.270000457763672"
"1408000","-17.84999990463257","-17.84999990463257","-17.84999990463257"
"1472000","4.699999570846558","4.699999570846558","4.699999570846558"
"1536000","11.960000187158585","11.960000187158585","11.960000187158585"
"1600000","19.47000002861023","19.47000002861023","19.47000002861023"
"1664000","24.709999918937683","24.709999918937683","24.709999918937683"
"1728000","41.16999959945679","41.16999959945679","41.16999959945679"
"1792000","52.15000057220459","52.15000057220459","52.15000057220459"
"1856000","47.39999961853027","47.39999961853027","47.39999961853027"
"1920000","76.88000011444092","76.88000011444092","76.88000011444092"
"1984000","94.18999862670898","94.18999862670898","94.18999862670898"
"2048000","91.31000328063965","91.31000328063965","91.31000328063965"
"2112000","95.37000179290771","95.37000179290771","95.37000179290771"
"2176000","100","100","100"
"2240000","100.94999885559082","100.94999885559082","100.94999885559082"
"2304000","108.86999893188477","108.86999893188477","108.86999893188477"
"2368000","120.09000015258789","120.09000015258789","120.09000015258789"
"2432000","117.10000038146973","117.10000038146973","117.10000038146973"
"2496000","124.11000061035156","124.11000061035156","124.11000061035156"
"2560000","125.05999755859375","125.05999755859375","125.05999755859375"
"2624000","123.97000122070312","123.97000122070312","123.97000122070312"
"2688000","127.0099983215332","127.0099983215332","127.0099983215332"
"2752000","133.3299961090088","133.3299961090088","133.3299961090088"
"2816000","136.38999938964844","136.38999938964844","136.38999938964844"
"2880000","133.92000007629395","133.92000007629395","133.92000007629395"
"2944000","136.98999977111816","136.98999977111816","136.98999977111816"
"3008000","140.30999946594238","140.30999946594238","140.30999946594238"
"3072000","143.76999855041504","143.76999855041504","143.76999855041504"
"3136000","141.2899990081787","141.2899990081787","141.2899990081787"
"3200000","142.92999839782715","142.92999839782715","142.92999839782715"
"3264000","141.22999954223633","141.22999954223633","141.22999954223633"
"3328000","141.10000038146973","141.10000038146973","141.10000038146973"
"3392000","140.81999969482422","140.81999969482422","140.81999969482422"
"3456000","143.55000114440918","143.55000114440918","143.55000114440918"
"3520000","142.10000038146973","142.10000038146973","142.10000038146973"
"3584000","142.57999801635742","142.57999801635742","142.57999801635742"
"3648000","146.18999862670898","146.18999862670898","146.18999862670898"
"3712000","146.52999877929688","146.52999877929688","146.52999877929688"
"3776000","147.05999946594238","147.05999946594238","147.05999946594238"
"3840000","147.76999855041504","147.76999855041504","147.76999855041504"
"3904000","146.81000137329102","146.81000137329102","146.81000137329102"
"3968000","148.54000091552734","148.54000091552734","148.54000091552734"
"4032000","148.07999992370605","148.07999992370605","148.07999992370605"
"4096000","147.73999977111816","147.73999977111816","147.73999977111816"
"4160000","149.53000259399414","149.53000259399414","149.53000259399414"
"4224000","147.91000366210938","147.91000366210938","147.91000366210938"
"4288000","146.72000122070312","146.72000122070312","146.72000122070312"
"4352000","149.5300006866455","149.5300006866455","149.5300006866455"
"4416000","149.0900001525879","149.0900001525879","149.0900001525879"
"4480000","149.11999893188477","149.11999893188477","149.11999893188477"
"4544000","151.1599998474121","151.1599998474121","151.1599998474121"
"4608000","150.17999839782715","150.17999839782715","150.17999839782715"
"4672000","152.46000289916992","152.46000289916992","152.46000289916992"
"4736000","149.76999855041504","149.76999855041504","149.76999855041504"
"4800000","151.4300022125244","151.4300022125244","151.4300022125244"
"4864000","152.55999946594238","152.55999946594238","152.55999946594238"
"4928000","151.98999786376953","151.98999786376953","151.98999786376953"
"4992000","149.4699993133545","149.4699993133545","149.4699993133545"
"5056000","151.2299976348877","151.2299976348877","151.2299976348877"
"5120000","151.6800022125244","151.6800022125244","151.6800022125244"
"5184000","153.2899990081787","153.2899990081787","153.2899990081787"
"5248000","153.56999969482422","153.56999969482422","153.56999969482422"
"5312000","151.42000007629395","151.42000007629395","151.42000007629395"
"5376000","150.44000053405762","150.44000053405762","150.44000053405762"
"5440000","153.23999786376953","153.23999786376953","153.23999786376953"
"5504000","151.9300022125244","151.9300022125244","151.9300022125244"
"5568000","151.77000045776367","151.77000045776367","151.77000045776367"
"5632000","151.69000053405762","151.69000053405762","151.69000053405762"
"5696000","152.79999923706055","152.79999923706055","152.79999923706055"
"5760000","153.29999923706055","153.29999923706055","153.29999923706055"
"5824000","153.05000114440918","153.05000114440918","153.05000114440918"
"5888000","153.14000129699707","153.14000129699707","153.14000129699707"
"5952000","153.4799976348877","153.4799976348877","153.4799976348877"
"6016000","153.6200008392334","153.6200008392334","153.6200008392334"
"6080000","153.03000259399414","153.03000259399414","153.03000259399414"
"6144000","152.49000358581543","152.49000358581543","152.49000358581543"
"6208000","153.13999938964844","153.13999938964844","153.13999938964844"
"6272000","153.6599998474121","153.6599998474121","153.6599998474121"
"6336000","152.93000030517578","152.93000030517578","152.93000030517578"
