"Step","harvest_original_cbam_svo - SW_ep_rew_total","harvest_original_cbam_svo - SW_ep_rew_total__MIN","harvest_original_cbam_svo - SW_ep_rew_total__MAX"
"64000","-9986.0625","-9986.0625","-9986.0625"
"128000","-7827.890075683594","-7827.890075683594","-7827.890075683594"
"192000","-6561.159973144531","-6561.159973144531","-6561.159973144531"
"256000","-6671.649963378906","-6671.649963378906","-6671.649963378906"
"320000","-6730.010009765625","-6730.010009765625","-6730.010009765625"
"384000","-6395.31005859375","-6395.31005859375","-6395.31005859375"
"448000","-6261.009948730469","-6261.009948730469","-6261.009948730469"
"512000","-6277.190002441406","-6277.190002441406","-6277.190002441406"
"576000","-5986.43994140625","-5986.43994140625","-5986.43994140625"
"640000","-5514.0899658203125","-5514.0899658203125","-5514.0899658203125"
"704000","-5229.149963378906","-5229.149963378906","-5229.149963378906"
"768000","-5028.5499267578125","-5028.5499267578125","-5028.5499267578125"
"832000","-4951.350036621094","-4951.350036621094","-4951.350036621094"
"896000","-4774.3499755859375","-4774.3499755859375","-4774.3499755859375"
"960000","-4873.610046386719","-4873.610046386719","-4873.610046386719"
"1024000","-4593.1300048828125","-4593.1300048828125","-4593.1300048828125"
"1088000","-4281.260009765625","-4281.260009765625","-4281.260009765625"
"1152000","-4067.5899658203125","-4067.5899658203125","-4067.5899658203125"
"1216000","-3945.47998046875","-3945.47998046875","-3945.47998046875"
"1280000","-3984.110107421875","-3984.110107421875","-3984.110107421875"
"1344000","-4028.320068359375","-4028.320068359375","-4028.320068359375"
"1408000","-4478.889953613281","-4478.889953613281","-4478.889953613281"
"1472000","-4107.6400146484375","-4107.6400146484375","-4107.6400146484375"
"1536000","-4138.210021972656","-4138.210021972656","-4138.210021972656"
"1600000","-4021.919921875","-4021.919921875","-4021.919921875"
"1664000","-3643.6500244140625","-3643.6500244140625","-3643.6500244140625"
"1728000","-3278.070037841797","-3278.070037841797","-3278.070037841797"
"1792000","-3262.5900268554688","-3262.5900268554688","-3262.5900268554688"
"1856000","-3214.0399780273438","-3214.0399780273438","-3214.0399780273438"
"1920000","-2837.0899963378906","-2837.0899963378906","-2837.0899963378906"
"1984000","-2545.6199951171875","-2545.6199951171875","-2545.6199951171875"
"2048000","-2366.0399780273438","-2366.0399780273438","-2366.0399780273438"
"2112000","-2359.0499877929688","-2359.0499877929688","-2359.0499877929688"
"2176000","-2266.3800048828125","-2266.3800048828125","-2266.3800048828125"
"2240000","-2240.029998779297","-2240.029998779297","-2240.029998779297"
"2304000","-2360.6699829101562","-2360.6699829101562","-2360.6699829101562"
"2368000","-2151.0899963378906","-2151.0899963378906","-2151.0899963378906"
"2432000","-1972.3500061035156","-1972.3500061035156","-1972.3500061035156"
"2496000","-1860.8600006103516","-1860.8600006103516","-1860.8600006103516"
"2560000","-1503.3500061035156","-1503.3500061035156","-1503.3500061035156"
"2624000","-1358.1999816894531","-1358.1999816894531","-1358.1999816894531"
"2688000","-1197.1100006103516","-1197.1100006103516","-1197.1100006103516"
"2752000","-1023.7000122070312","-1023.7000122070312","-1023.7000122070312"
"2816000","-898.3500061035156","-898.3500061035156","-898.3500061035156"
"2880000","-843.2100067138672","-843.2100067138672","-843.2100067138672"
"2944000","-759.6399993896484","-759.6399993896484","-759.6399993896484"
"3008000","-633.4300003051758","-633.4300003051758","-633.4300003051758"
"3072000","-503.9800109863281","-503.9800109863281","-503.9800109863281"
"3136000","-453.5600051879883","-453.5600051879883","-453.5600051879883"
"3200000","-389.1999969482422","-389.1999969482422","-389.1999969482422"
"3264000","-353.9300060272217","-353.9300060272217","-353.9300060272217"
"3328000","-315.16000175476074","-315.16000175476074","-315.16000175476074"
"3392000","-290.12000274658203","-290.12000274658203","-290.12000274658203"
"3456000","-307.8499984741211","-307.8499984741211","-307.8499984741211"
"3520000","-312.95000076293945","-312.95000076293945","-312.95000076293945"
"3584000","-305.6800022125244","-305.6800022125244","-305.6800022125244"
"3648000","-303.51000213623047","-303.51000213623047","-303.51000213623047"
"3712000","-225.169997215271","-225.169997215271","-225.169997215271"
"3776000","-281.04000091552734","-281.04000091552734","-281.04000091552734"
"3840000","-299.29999923706055","-299.29999923706055","-299.29999923706055"
"3904000","-291.36999702453613","-291.36999702453613","-291.36999702453613"
"3968000","-341.84999656677246","-341.84999656677246","-341.84999656677246"
"4032000","-311.52000427246094","-311.52000427246094","-311.52000427246094"
"4096000","-265.18999767303467","-265.18999767303467","-265.18999767303467"
"4160000","-386.0199947357178","-386.0199947357178","-386.0199947357178"
"4224000","-361.82999420166016","-361.82999420166016","-361.82999420166016"
"4288000","-297.7200012207031","-297.7200012207031","-297.7200012207031"
"4352000","-333.04000091552734","-333.04000091552734","-333.04000091552734"
"4416000","-290.7900047302246","-290.7900047302246","-290.7900047302246"
"4480000","-208.0699977874756","-208.0699977874756","-208.0699977874756"
"4544000","-241.7100009918213","-241.7100009918213","-241.7100009918213"
"4608000","-342.32999992370605","-342.32999992370605","-342.32999992370605"
"4672000","-339.02000427246094","-339.02000427246094","-339.02000427246094"
"4736000","-325.62999725341797","-325.62999725341797","-325.62999725341797"
"4800000","-265.1599979400635","-265.1599979400635","-265.1599979400635"
"4864000","-272.9500026702881","-272.9500026702881","-272.9500026702881"
"4928000","-269.0799961090088","-269.0799961090088","-269.0799961090088"
"4992000","-252.63999938964844","-252.63999938964844","-252.63999938964844"
"5056000","-260.60999870300293","-260.60999870300293","-260.60999870300293"
"5120000","-300.42999267578125","-300.42999267578125","-300.42999267578125"
"5184000","-271.75","-271.75","-271.75"
"5248000","-326.4800033569336","-326.4800033569336","-326.4800033569336"
"5312000","-221.9499969482422","-221.9499969482422","-221.9499969482422"
"5376000","-291.9299964904785","-291.9299964904785","-291.9299964904785"
"5440000","-263.11000061035156","-263.11000061035156","-263.11000061035156"
"5504000","-296.0799980163574","-296.0799980163574","-296.0799980163574"
"5568000","-276.79000091552734","-276.79000091552734","-276.79000091552734"
"5632000","-296.2299976348877","-296.2299976348877","-296.2299976348877"
"5696000","-337.7299995422363","-337.7299995422363","-337.7299995422363"
"5760000","-340.99000549316406","-340.99000549316406","-340.99000549316406"
"5824000","-369.38000106811523","-369.38000106811523","-369.38000106811523"
"5888000","-315.78000259399414","-315.78000259399414","-315.78000259399414"
"5952000","-273.1599979400635","-273.1599979400635","-273.1599979400635"
"6016000","-281.8400001525879","-281.8400001525879","-281.8400001525879"
"6080000","-312.04999923706055","-312.04999923706055","-312.04999923706055"
"6144000","-282.1900005340576","-282.1900005340576","-282.1900005340576"
"6208000","-269.3500051498413","-269.3500051498413","-269.3500051498413"
"6272000","-253.7899990081787","-253.7899990081787","-253.7899990081787"
"6336000","-297.38999938964844","-297.38999938964844","-297.38999938964844"
"6400000","-237.01000022888184","-237.01000022888184","-237.01000022888184"
"6464000","-159.64000368118286","-159.64000368118286","-159.64000368118286"
"6528000","-74.94999933242798","-74.94999933242798","-74.94999933242798"
"6592000","-144.05000114440918","-144.05000114440918","-144.05000114440918"
"6656000","-146.21999788284302","-146.21999788284302","-146.21999788284302"
"6720000","-116.73999881744385","-116.73999881744385","-116.73999881744385"
"6784000","-69.75000023841858","-69.75000023841858","-69.75000023841858"
"6848000","-60.15000009536743","-60.15000009536743","-60.15000009536743"
"6912000","-97.08999848365784","-97.08999848365784","-97.08999848365784"
"6976000","-83.0099995136261","-83.0099995136261","-83.0099995136261"
"7040000","-66.04000091552734","-66.04000091552734","-66.04000091552734"
"7104000","-68.40999853610992","-68.40999853610992","-68.40999853610992"
"7168000","-103.6099990606308","-103.6099990606308","-103.6099990606308"
"7232000","-107.82000124454498","-107.82000124454498","-107.82000124454498"
"7296000","-71.44000029563904","-71.44000029563904","-71.44000029563904"
"7360000","-88.9500002861023","-88.9500002861023","-88.9500002861023"
"7424000","-102.26000165939331","-102.26000165939331","-102.26000165939331"
"7488000","-102.48000001907349","-102.48000001907349","-102.48000001907349"
"7552000","-159.1699981689453","-159.1699981689453","-159.1699981689453"
"7616000","-207.2699966430664","-207.2699966430664","-207.2699966430664"
"7680000","-155.14000034332275","-155.14000034332275","-155.14000034332275"
"7744000","-141.29000210762024","-141.29000210762024","-141.29000210762024"
"7808000","-145.1499981880188","-145.1499981880188","-145.1499981880188"
"7872000","-111.75000166893005","-111.75000166893005","-111.75000166893005"
"7936000","-160.63999843597412","-160.63999843597412","-160.63999843597412"
"8000000","-181.55000400543213","-181.55000400543213","-181.55000400543213"
"8064000","-187.55999565124512","-187.55999565124512","-187.55999565124512"
"8128000","-153.4600009918213","-153.4600009918213","-153.4600009918213"
"8192000","-161.94999885559082","-161.94999885559082","-161.94999885559082"
"8256000","-159.0499997138977","-159.0499997138977","-159.0499997138977"
"8320000","-120.98999726772308","-120.98999726772308","-120.98999726772308"
"8384000","-90.910001039505","-90.910001039505","-90.910001039505"
"8448000","-43.50999867916107","-43.50999867916107","-43.50999867916107"
"8512000","26.12999963760376","26.12999963760376","26.12999963760376"
"8576000","58.47999954223633","58.47999954223633","58.47999954223633"
"8640000","27.649999141693115","27.649999141693115","27.649999141693115"
"8704000","39.119998663663864","39.119998663663864","39.119998663663864"
"8768000","84.82999950647354","84.82999950647354","84.82999950647354"
"8832000","83.24999904632568","83.24999904632568","83.24999904632568"
"8896000","60.019999980926514","60.019999980926514","60.019999980926514"
"8960000","89.41999936103821","89.41999936103821","89.41999936103821"
"9024000","77.34999978542328","77.34999978542328","77.34999978542328"
"9088000","28.600000381469727","28.600000381469727","28.600000381469727"
"9152000","1.4399993419647217","1.4399993419647217","1.4399993419647217"
"9216000","-17.34999966621399","-17.34999966621399","-17.34999966621399"
"9280000","4.470000386238098","4.470000386238098","4.470000386238098"
"9344000","-9.019999980926514","-9.019999980926514","-9.019999980926514"
"9408000","13.5600004196167","13.5600004196167","13.5600004196167"
"9472000","46.110000014305115","46.110000014305115","46.110000014305115"
"9536000","-1.6200016736984253","-1.6200016736984253","-1.6200016736984253"
"9600000","-41.65999886393547","-41.65999886393547","-41.65999886393547"
"9664000","-37.360000133514404","-37.360000133514404","-37.360000133514404"
"9728000","-25.949999928474426","-25.949999928474426","-25.949999928474426"
"9792000","-52.499998807907104","-52.499998807907104","-52.499998807907104"
"9856000","-31.06999933719635","-31.06999933719635","-31.06999933719635"
"9920000","-3.919999420642853","-3.919999420642853","-3.919999420642853"
"9984000","-8.899999022483826","-8.899999022483826","-8.899999022483826"
"10048000","-24.179999828338623","-24.179999828338623","-24.179999828338623"
"10112000","5.110000848770142","5.110000848770142","5.110000848770142"
"10176000","36.790000915527344","36.790000915527344","36.790000915527344"
"10240000","65.01000022888184","65.01000022888184","65.01000022888184"
"10304000","80.5900000333786","80.5900000333786","80.5900000333786"
"10368000","43.4900004863739","43.4900004863739","43.4900004863739"
"10432000","31.139999628067017","31.139999628067017","31.139999628067017"
"10496000","34.809998989105225","34.809998989105225","34.809998989105225"
"10560000","42.73999905586243","42.73999905586243","42.73999905586243"
"10624000","52.97999954223633","52.97999954223633","52.97999954223633"
"10688000","7.020000457763672","7.020000457763672","7.020000457763672"
"10752000","50.28999948501587","50.28999948501587","50.28999948501587"
"10816000","90.45999932289124","90.45999932289124","90.45999932289124"
"10880000","86.02999973297119","86.02999973297119","86.02999973297119"
"10944000","84.26000022888184","84.26000022888184","84.26000022888184"
"11008000","38.0599999576807","38.0599999576807","38.0599999576807"
"11072000","50.929999589920044","50.929999589920044","50.929999589920044"
"11136000","114.24999713897705","114.24999713897705","114.24999713897705"
"11200000","122.45999884605408","122.45999884605408","122.45999884605408"
"11264000","118.56000101566315","118.56000101566315","118.56000101566315"
"11328000","114.80000019073486","114.80000019073486","114.80000019073486"
"11392000","110.99000060558319","110.99000060558319","110.99000060558319"
"11456000","136.48999977111816","136.48999977111816","136.48999977111816"
"11520000","154.7100009918213","154.7100009918213","154.7100009918213"
"11584000","174.3600025177002","174.3600025177002","174.3600025177002"
"11648000","149.84000205993652","149.84000205993652","149.84000205993652"
"11712000","137.58000087738037","137.58000087738037","137.58000087738037"
"11776000","128.47000074386597","128.47000074386597","128.47000074386597"
"11840000","104.08000040054321","104.08000040054321","104.08000040054321"
"11904000","143.31999969482422","143.31999969482422","143.31999969482422"
"11968000","136.3000020980835","136.3000020980835","136.3000020980835"
"12032000","137.5300009250641","137.5300009250641","137.5300009250641"
"12096000","104.3199987411499","104.3199987411499","104.3199987411499"
"12160000","102.0600004196167","102.0600004196167","102.0600004196167"
"12224000","115.71999955177307","115.71999955177307","115.71999955177307"
"12288000","137.03000164031982","137.03000164031982","137.03000164031982"
"12352000","128.83000087738037","128.83000087738037","128.83000087738037"
"12416000","106.89000028371811","106.89000028371811","106.89000028371811"
"12480000","103.3200011253357","103.3200011253357","103.3200011253357"
"12544000","122.97999954223633","122.97999954223633","122.97999954223633"
"12608000","78.33999955654144","78.33999955654144","78.33999955654144"
"12672000","77.25000131130219","77.25000131130219","77.25000131130219"
