Step,harvest_original_cbam_svo - SW_ep_rew_total,harvest_original_cbam_svo - SW_ep_rew_total__MIN,harvest_original_cbam_svo - SW_ep_rew_total__MAX
64000,-9933.5910235546307376,-10032.9918546647022595,-9930.3183939092959918
128000,-7931.4048348450696722,-7842.6778925100297784,-7728.8926574545293988
192000,-6605.2767576213909706,-6655.4477538791888946,-6480.1433891385331663
256000,-6696.7075077201088789,-6706.2707998966598097,-6634.7666840954252621
320000,-6758.7510163160641241,-6697.8803970273320374,-6687.8561354589255643
384000,-6466.8139423122347580,-6332.3358678102658814,-6470.0637778473492290
448000,-6330.9009088418524698,-6187.3727113110726350,-6186.3313204657388269
512000,-6193.2800151601768448,-6217.8873644911136580,-6184.9688221295009498
576000,-6034.1169225262865439,-5948.9186847365690483,-5951.9036312912603535
640000,-5425.0019254494718552,-5576.5733372476925069,-5439.3586331103442717
704000,-5292.5638458986468322,-5159.8497831274062264,-5290.1207916515131728
768000,-5061.3366826159490302,-5045.9349334539174379,-5000.3652713153815057
832000,-4900.2055082818915253,-4982.0775096712286540,-4973.2318906715154299
896000,-4822.7769521651925970,-4825.6018572216735265,-4823.7051553867386247
960000,-4829.0773845606772738,-4912.5968893438166560,-4920.0811674673705056
1024000,-4558.6132979078111020,-4626.4265583869546390,-4552.3661275230460888
1088000,-4306.9889829111980362,-4333.8809254048828734,-4228.8750077299582699
1152000,-4140.9975835353425282,-4140.8293212118187512,-4151.0929324204962541
1216000,-4022.1659587975591421,-3853.5194045124831064,-3875.1789894292105600
1280000,-3908.7022302559594209,-4066.8299781855421315,-3909.5174856306225593
1344000,-4071.5320328972234165,-4075.5608423683411274,-4071.8688624275887378
1408000,-4554.2383441861948086,-4386.8957546613410159,-4570.9739355922811228
1472000,-4178.9174978163164269,-4192.6544099067878051,-4193.5906333945231381
1536000,-4063.4762872439659986,-4195.7128787617721173,-4049.5427881720497680
1600000,-4089.4600015867049478,-4089.3283838128932075,-3954.3893799678317009
1664000,-3599.6538727422512238,-3549.8121328725187595,-3678.1650481497595138
1728000,-3238.7110930972548886,-3321.3447187352353467,-3241.5543859421900379
1792000,-3239.5953522662557589,-3287.4867144152462970,-3235.8530464358841527
1856000,-3293.5815256071819022,-3133.8114010281942683,-3296.2051771398696474
1920000,-2922.0127924545831775,-2748.3678949502418618,-2745.3831604191218503
1984000,-2590.8222091793982145,-2500.4790548612627390,-2501.2385627779885908
2048000,-2435.5014505251206174,-2265.3205981933324438,-2426.5333832878127396
2112000,-2422.7644707220219971,-2307.1364167165320396,-2421.9368231177327289
2176000,-2172.8405125347449030,-2245.7691240423255294,-2184.3161884573128191
2240000,-2195.9787308236132048,-2287.1927279115284364,-2199.4403940699771738
2304000,-2298.3649157733616448,-2299.0041341055457451,-2298.1217583416946582
2368000,-2085.0343156809440188,-2209.7735319895491557,-2208.5274903830932089
2432000,-1991.8112701246263896,-1944.8025294731060058,-2021.1936262936610547
2496000,-1826.1041509295957894,-1887.3904536494148942,-1889.5364441436765901
2560000,-1444.0627645801539529,-1458.6451370260842850,-1430.7962035197620025
2624000,-1472.2824085374261358,-1289.0883196603738270,-1430.9112118071284385
2688000,-1255.5801691130059226,-1136.2536530899199079,-1251.6969432931352912
