"Step","harvest_original_cbam_baseline - SW_ep_rew_total","harvest_original_cbam_baseline - SW_ep_rew_total__MIN","harvest_original_cbam_baseline - SW_ep_rew_total__MAX"
"448000","-7436.6600341796875","-7436.6600341796875","-7436.6600341796875"
"896000","-5451.810119628906","-5451.810119628906","-5451.810119628906"
"1344000","-5200.1600341796875","-5200.1600341796875","-5200.1600341796875"
"1792000","-3552.290008544922","-3552.290008544922","-3552.290008544922"
"2240000","-2471.5599060058594","-2471.5599060058594","-2471.5599060058594"
"2688000","-2250.0099487304688","-2250.0099487304688","-2250.0099487304688"
"3136000","-1582.9100341796875","-1582.9100341796875","-1582.9100341796875"
"3584000","-1060.5699615478516","-1060.5699615478516","-1060.5699615478516"
"4032000","-938.9799957275391","-938.9799957275391","-938.9799957275391"
"4480000","-863.1000213623047","-863.1000213623047","-863.1000213623047"
"4928000","-386.6800117492676","-386.6800117492676","-386.6800117492676"
"5376000","-223.2999973297119","-223.2999973297119","-223.2999973297119"
"5824000","-204.82000160217285","-204.82000160217285","-204.82000160217285"
"6272000","-75.04000186920166","-75.04000186920166","-75.04000186920166"
"6720000","17.290000200271606","17.290000200271606","17.290000200271606"
"7168000","19.94999933242798","19.94999933242798","19.94999933242798"
"7616000","176.19000053405762","176.19000053405762","176.19000053405762"
"8064000","142.23999786376953","142.23999786376953","142.23999786376953"
"8512000","218.53999519348145","218.53999519348145","218.53999519348145"
"8960000","315.5600128173828","315.5600128173828","315.5600128173828"
"9408000","395.01000213623047","395.01000213623047","395.01000213623047"
"9856000","309.26000213623047","309.26000213623047","309.26000213623047"
"10304000","382.19998931884766","382.19998931884766","382.19998931884766"
"10752000","409.2900085449219","409.2900085449219","409.2900085449219"
"11200000","474.1799850463867","474.1799850463867","474.1799850463867"
"11648000","480.3400192260742","480.3400192260742","480.3400192260742"
"12096000","525.5600128173828","525.5600128173828","525.5600128173828"
"12544000","479.7099914550781","479.7099914550781","479.7099914550781"
"12992000","556.1499786376953","556.1499786376953","556.1499786376953"
"13440000","564.3400192260742","564.3400192260742","564.3400192260742"
"13888000","517.7900085449219","517.7900085449219","517.7900085449219"
"14336000","516.6699829101562","516.6699829101562","516.6699829101562"
"14784000","532.9099807739258","532.9099807739258","532.9099807739258"
"15232000","524.1599807739258","524.1599807739258","524.1599807739258"
"15680000","501.19998931884766","501.19998931884766","501.19998931884766"
"16128000","505.05001068115234","505.05001068115234","505.05001068115234"
"16576000","481.94998931884766","481.94998931884766","481.94998931884766"
"17024000","483.13997650146484","483.13997650146484","483.13997650146484"
"17472000","480.0600128173828","480.0600128173828","480.0600128173828"
"17920000","441.2099914550781","441.2099914550781","441.2099914550781"
"18368000","462.3500213623047","462.3500213623047","462.3500213623047"
"18816000","419.16000747680664","419.16000747680664","419.16000747680664"
"19264000","396.33999252319336","396.33999252319336","396.33999252319336"
"19712000","375.55001068115234","375.55001068115234","375.55001068115234"
"20160000","376.6700096130371","376.6700096130371","376.6700096130371"
