Step,harvest_original_cbam_baseline - SW_ep_rew_total,harvest_original_cbam_baseline - SW_ep_rew_total__MIN,harvest_original_cbam_baseline - SW_ep_rew_total__MAX
64000,-4075.4764085300457737,-4059.1601326702188999,-4075.5601551089803252
128000,-3960.5313240084869904,-3960.7653365557180223,-3962.5047632448358854
192000,-3667.1481186863734365,-3668.2404661794485037,-3687.7894751442881898
256000,-3566.2194849071561293,-3585.5943638965209175,-3566.4665360808362493
320000,-3393.7549927248219319,-3363.0219959868313708,-3359.5222700641952542
384000,-3009.1841230036779962,-3010.3555503076368041,-2986.2678484181769818
448000,-2960.5034901151952909,-2963.3200438784233484,-2960.4965291073817752
512000,-3216.6476161410359964,-3218.1147377835482075,-3217.1475030937108386
576000,-3291.6455526894155810,-3317.7307283239101707,-3323.5777296865940116
640000,-3203.1003397059180315,-3200.0962280204553281,-3202.1553833163939089
704000,-2985.9491116203112142,-2969.3142886038913275,-2987.8597374428163675
768000,-2787.1399713799255551,-2766.2939784563673129,-2787.0916797843315180
832000,-2616.4730249054850901,-2615.9788944151205214,-2637.7069976568204765
896000,-2505.6445039963005001,-2529.7460875726696941,-2530.1956443038257021
960000,-2466.8519234659443100,-2450.6988097649673364,-2449.3160429246054264
1024000,-2496.0615513102088698,-2487.6209475468749588,-2485.3955270360297618
1088000,-2524.7515940966154631,-2546.9962269760799245,-2547.5973174245336850
1152000,-2472.9182097866168988,-2472.2615965137019884,-2459.4276420159126246
1216000,-2225.2439595650521369,-2248.1629946709003889,-2248.1789611305489416
1280000,-2121.4058547044633087,-2121.5000442127470706,-2122.9699258282030314
1344000,-2035.4499717914861776,-2039.1650329980568586,-2038.1324828430545040
1408000,-1920.0437445240597754,-1948.3487313051855381,-1950.1631475668580151
1472000,-1855.3479873976407362,-1834.1289798702182452,-1856.7268492233922643
1536000,-1827.8060833726308374,-1827.8161324242541923,-1827.7548947525353924
1600000,-1862.1574060806333364,-1834.9792046177021803,-1861.5242914453556295
1664000,-1819.4772373835075996,-1848.0270356347587040,-1840.0548647080415776
1728000,-1859.4417935152941936,-1836.8989172453455012,-1831.5496752473140987
1792000,-1697.2073500776143646,-1725.7812775432664694,-1701.2734502457924464
1856000,-1641.4560403439431866,-1620.1189005335490947,-1641.1620542254224802
1920000,-1698.3444476822780871,-1698.1207313889601664,-1704.3237177497774155
1984000,-1778.7907686820456092,-1778.6338516111720764,-1753.7498113126157477
2048000,-1736.3916784434281908,-1730.7131816239430009,-1705.3672621945704577
2112000,-1681.1182713942878308,-1681.0077881283816623,-1706.2286017427186380
2176000,-1598.5290066613144973,-1597.9387722618091630,-1619.8898162666137068
2240000,-1447.2820118197148531,-1450.9529754332493212,-1448.2482711630912036
2304000,-1372.0008625008686067,-1354.0346741717221448,-1356.9654023916052665
2368000,-1282.2574074755834772,-1307.6446938820149626,-1278.7621671933916332
