"Step","harvest_cbaminequity_aversion - SW_ep_rew_total","harvest_cbaminequity_aversion - SW_ep_rew_total__MIN","harvest_cbaminequity_aversion - SW_ep_rew_total__MAX"
"64000","-6535.756286621094","-6535.756286621094","-6535.756286621094"
"128000","-6285.1370849609375","-6285.1370849609375","-6285.1370849609375"
"192000","-5684.3162841796875","-5684.3162841796875","-5684.3162841796875"
"256000","-5123.791809082031","-5123.791809082031","-5123.791809082031"
"320000","-4542.638916015625","-4542.638916015625","-4542.638916015625"
"384000","-3886.5858764648438","-3886.5858764648438","-3886.5858764648438"
"448000","-3318.2963256835938","-3318.2963256835938","-3318.2963256835938"
"512000","-2634.7952880859375","-2634.7952880859375","-2634.7952880859375"
"576000","-2199.3707580566406","-2199.3707580566406","-2199.3707580566406"
"640000","-1942.0083618164062","-1942.0083618164062","-1942.0083618164062"
"704000","-1531.6268920898438","-1531.6268920898438","-1531.6268920898438"
"768000","-1244.2146759033203","-1244.2146759033203","-1244.2146759033203"
"832000","-968.033935546875","-968.033935546875","-968.033935546875"
"896000","-798.6117706298828","-798.6117706298828","-798.6117706298828"
"960000","-648.1592407226562","-648.1592407226562","-648.1592407226562"
"1024000","-641.4942855834961","-641.4942855834961","-641.4942855834961"
"1088000","-621.5402679443359","-621.5402679443359","-621.5402679443359"
"1152000","-512.2557907104492","-512.2557907104492","-512.2557907104492"
"1216000","-470.46402740478516","-470.46402740478516","-470.46402740478516"
"1280000","-397.81729888916016","-397.81729888916016","-397.81729888916016"
"1344000","-362.549015045166","-362.549015045166","-362.549015045166"
"1408000","-308.4955139160156","-308.4955139160156","-308.4955139160156"
"1472000","-325.27752685546875","-325.27752685546875","-325.27752685546875"
"1536000","-300.5247688293457","-300.5247688293457","-300.5247688293457"
"1600000","-310.8362579345703","-310.8362579345703","-310.8362579345703"
"1664000","-279.978759765625","-279.978759765625","-279.978759765625"
"1728000","-255.79725646972656","-255.79725646972656","-255.79725646972656"
"1792000","-191.76924514770508","-191.76924514770508","-191.76924514770508"
"1856000","-168.28049278259277","-168.28049278259277","-168.28049278259277"
"1920000","-134.53349113464355","-134.53349113464355","-134.53349113464355"
"1984000","-118.52824211120605","-118.52824211120605","-118.52824211120605"
