"Step","Group: harvest_cf_modified_discrete_causal_independent_1_0.55 - SW_ep_rew_total","Group: harvest_cf_modified_discrete_causal_independent_1_0.55 - SW_ep_rew_total__MIN","Group: harvest_cf_modified_discrete_causal_independent_1_0.55 - SW_ep_rew_total__MAX"
"64000","-3291.84375","-3291.84375","-3291.84375"
"128000","-3386.22998046875","-3386.22998046875","-3386.22998046875"
"192000","-3198.5299682617188","-3198.5299682617188","-3198.5299682617188"
"256000","-2414.2000122070312","-2414.2000122070312","-2414.2000122070312"
"320000","-2063.989990234375","-2063.989990234375","-2063.989990234375"
"384000","-1817.9200134277344","-1817.9200134277344","-1817.9200134277344"
"448000","-1342.8800048828125","-1342.8800048828125","-1342.8800048828125"
"512000","-1089.3599853515625","-1089.3599853515625","-1089.3599853515625"
"576000","-906.0799865722656","-906.0799865722656","-906.0799865722656"
"640000","-649.2500076293945","-649.2500076293945","-649.2500076293945"
"704000","-437.12999725341797","-437.12999725341797","-437.12999725341797"
"768000","-290.7999954223633","-290.7999954223633","-290.7999954223633"
"832000","-148.80000114440918","-148.80000114440918","-148.80000114440918"
"896000","-103.57999920845032","-103.57999920845032","-103.57999920845032"
"960000","-261.61000061035156","-261.61000061035156","-261.61000061035156"
"1024000","-204.4800033569336","-204.4800033569336","-204.4800033569336"
"1088000","-71.11999869346619","-71.11999869346619","-71.11999869346619"
"1152000","-22.44000017642975","-22.44000017642975","-22.44000017642975"
"1216000","16.97000026702881","16.97000026702881","16.97000026702881"
"1280000","93.55999851226807","93.55999851226807","93.55999851226807"
"1344000","118.78999996185303","118.78999996185303","118.78999996185303"
"1408000","133.0800018310547","133.0800018310547","133.0800018310547"
"1472000","197.07999992370605","197.07999992370605","197.07999992370605"
"1536000","181.3400001525879","181.3400001525879","181.3400001525879"
"1600000","189.6599998474121","189.6599998474121","189.6599998474121"
"1664000","227.79999923706055","227.79999923706055","227.79999923706055"
"1728000","230.88999938964844","230.88999938964844","230.88999938964844"
"1792000","225.05000495910645","225.05000495910645","225.05000495910645"
"1856000","237.18999862670898","237.18999862670898","237.18999862670898"
"1920000","248.7400016784668","248.7400016784668","248.7400016784668"
"1984000","249.09000396728516","249.09000396728516","249.09000396728516"
"2048000","281.7799987792969","281.7799987792969","281.7799987792969"
"2112000","297.7100028991699","297.7100028991699","297.7100028991699"
"2176000","315.33999252319336","315.33999252319336","315.33999252319336"
"2240000","333.1599998474121","333.1599998474121","333.1599998474121"
"2304000","349.55999755859375","349.55999755859375","349.55999755859375"
"2368000","359.97999572753906","359.97999572753906","359.97999572753906"
"2432000","380.38001251220703","380.38001251220703","380.38001251220703"
"2496000","402.5199966430664","402.5199966430664","402.5199966430664"
"2560000","418.72999572753906","418.72999572753906","418.72999572753906"
"2624000","415.20999908447266","415.20999908447266","415.20999908447266"
"2688000","429.04000091552734","429.04000091552734","429.04000091552734"
"2752000","446.1300048828125","446.1300048828125","446.1300048828125"
"2816000","443.04000091552734","443.04000091552734","443.04000091552734"
"2880000","461.4100036621094","461.4100036621094","461.4100036621094"
"2944000","473.3300094604492","473.3300094604492","473.3300094604492"
"3008000","475.2300033569336","475.2300033569336","475.2300033569336"
"3072000","476.5800018310547","476.5800018310547","476.5800018310547"
"3136000","466.4500045776367","466.4500045776367","466.4500045776367"
"3200000","467.4100036621094","467.4100036621094","467.4100036621094"
"3264000","476.8800048828125","476.8800048828125","476.8800048828125"
"3328000","488.1199951171875","488.1199951171875","488.1199951171875"
"3392000","481.74999237060547","481.74999237060547","481.74999237060547"
"3456000","475.6999969482422","475.6999969482422","475.6999969482422"
"3520000","488.5800018310547","488.5800018310547","488.5800018310547"
"3584000","499.5899963378906","499.5899963378906","499.5899963378906"
"3648000","499.4199981689453","499.4199981689453","499.4199981689453"
"3712000","502.95999908447266","502.95999908447266","502.95999908447266"
"3776000","502.1199951171875","502.1199951171875","502.1199951171875"
"3840000","507.95001220703125","507.95001220703125","507.95001220703125"
"3904000","504.8399963378906","504.8399963378906","504.8399963378906"
"3968000","512.3600006103516","512.3600006103516","512.3600006103516"
"4032000","503.5499954223633","503.5499954223633","503.5499954223633"
"4096000","500.02999114990234","500.02999114990234","500.02999114990234"
"4160000","516.8000030517578","516.8000030517578","516.8000030517578"
"4224000","517.5599975585938","517.5599975585938","517.5599975585938"
"4288000","526.6399993896484","526.6399993896484","526.6399993896484"
"4352000","524","524","524"
"4416000","527.1999893188477","527.1999893188477","527.1999893188477"
"4480000","517.3899917602539","517.3899917602539","517.3899917602539"
"4544000","523.3899993896484","523.3899993896484","523.3899993896484"
"4608000","522.3699951171875","522.3699951171875","522.3699951171875"
"4672000","536.2700042724609","536.2700042724609","536.2700042724609"
"4736000","533.6599960327148","533.6599960327148","533.6599960327148"
"4800000","530.370002746582","530.370002746582","530.370002746582"
"4864000","524.1900024414062","524.1900024414062","524.1900024414062"
"4928000","534.6700057983398","534.6700057983398","534.6700057983398"
"4992000","531.760009765625","531.760009765625","531.760009765625"
"5056000","548.0800018310547","548.0800018310547","548.0800018310547"
"5120000","544.9299926757812","544.9299926757812","544.9299926757812"
"5184000","547.370002746582","547.370002746582","547.370002746582"
"5248000","543.379997253418","543.379997253418","543.379997253418"
"5312000","541.4800033569336","541.4800033569336","541.4800033569336"
"5376000","548.7399978637695","548.7399978637695","548.7399978637695"
"5440000","557.129997253418","557.129997253418","557.129997253418"
"5504000","544.2199935913086","544.2199935913086","544.2199935913086"
"5568000","556","556","556"
"5632000","549.5600051879883","549.5600051879883","549.5600051879883"
"5696000","559.6300048828125","559.6300048828125","559.6300048828125"
"5760000","556.1499938964844","556.1499938964844","556.1499938964844"
"5824000","551.6700057983398","551.6700057983398","551.6700057983398"
"5888000","559.7399978637695","559.7399978637695","559.7399978637695"
"5952000","562.7900009155273","562.7900009155273","562.7900009155273"
"6016000","559.379997253418","559.379997253418","559.379997253418"
"6080000","564.1800079345703","564.1800079345703","564.1800079345703"
"6144000","570.1399917602539","570.1399917602539","570.1399917602539"
"6208000","566.5000076293945","566.5000076293945","566.5000076293945"
"6272000","574.6199951171875","574.6199951171875","574.6199951171875"
"6336000","569.5200042724609","569.5200042724609","569.5200042724609"
"6400000","573.859992980957","573.859992980957","573.859992980957"
"6464000","583.8600082397461","583.8600082397461","583.8600082397461"
"6528000","583.7400054931641","583.7400054931641","583.7400054931641"
"6592000","578.5399932861328","578.5399932861328","578.5399932861328"
"6656000","576.3600006103516","576.3600006103516","576.3600006103516"
"6720000","583.8499908447266","583.8499908447266","583.8499908447266"
"6784000","574.8099975585938","574.8099975585938","574.8099975585938"
"6848000","565.9599990844727","565.9599990844727","565.9599990844727"
"6912000","569.6900024414062","569.6900024414062","569.6900024414062"
"6976000","573.2200088500977","573.2200088500977","573.2200088500977"
"7040000","580.9899978637695","580.9899978637695","580.9899978637695"
"7104000","575.3600006103516","575.3600006103516","575.3600006103516"
"7168000","573.4700088500977","573.4700088500977","573.4700088500977"
"7232000","570.3600006103516","570.3600006103516","570.3600006103516"
"7296000","576.6399993896484","576.6399993896484","576.6399993896484"
"7360000","578.5800018310547","578.5800018310547","578.5800018310547"
"7424000","577.6399993896484","577.6399993896484","577.6399993896484"
"7488000","569.3000030517578","569.3000030517578","569.3000030517578"
"7552000","571.9700012207031","571.9700012207031","571.9700012207031"
"7616000","588.879997253418","588.879997253418","588.879997253418"
"7680000","593","593","593"
"7744000","590","590","590"
"7808000","589.0800018310547","589.0800018310547","589.0800018310547"
"7872000","588.4399948120117","588.4399948120117","588.4399948120117"
"7936000","586.5599975585938","586.5599975585938","586.5599975585938"
"8000000","594.9500045776367","594.9500045776367","594.9500045776367"
