"Step","harvest_cbam_baseline - SW_ep_rew_total","harvest_cbam_baseline - SW_ep_rew_total__MIN","harvest_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-3084.15625","-3084.15625","-3084.15625"
"128000","-2861.2200317382812","-2861.2200317382812","-2861.2200317382812"
"192000","-2987.2500610351562","-2987.2500610351562","-2987.2500610351562"
"256000","-2569.3600158691406","-2569.3600158691406","-2569.3600158691406"
"320000","-1895.6499938964844","-1895.6499938964844","-1895.6499938964844"
"384000","-1515.8399658203125","-1515.8399658203125","-1515.8399658203125"
"448000","-1234.6600036621094","-1234.6600036621094","-1234.6600036621094"
"512000","-974.7299957275391","-974.7299957275391","-974.7299957275391"
"576000","-712.2900085449219","-712.2900085449219","-712.2900085449219"
"640000","-525.9099960327148","-525.9099960327148","-525.9099960327148"
"704000","-373.13999938964844","-373.13999938964844","-373.13999938964844"
"768000","-195.47999954223633","-195.47999954223633","-195.47999954223633"
"832000","-120.23000144958496","-120.23000144958496","-120.23000144958496"
"896000","-48.02999973297119","-48.02999973297119","-48.02999973297119"
"960000","-140.1500015258789","-140.1500015258789","-140.1500015258789"
"1024000","-214.78000259399414","-214.78000259399414","-214.78000259399414"
"1088000","-148.32000350952148","-148.32000350952148","-148.32000350952148"
"1152000","-84.90000057220459","-84.90000057220459","-84.90000057220459"
"1216000","-9.37999963760376","-9.37999963760376","-9.37999963760376"
"1280000","64.6599988937378","64.6599988937378","64.6599988937378"
"1344000","76.36999779939651","76.36999779939651","76.36999779939651"
"1408000","108.41000270843506","108.41000270843506","108.41000270843506"
"1472000","136.9900016784668","136.9900016784668","136.9900016784668"
"1536000","145.8199977874756","145.8199977874756","145.8199977874756"
"1600000","148.76000118255615","148.76000118255615","148.76000118255615"
"1664000","210.89999771118164","210.89999771118164","210.89999771118164"
"1728000","259.54000091552734","259.54000091552734","259.54000091552734"
"1792000","270.6599998474121","270.6599998474121","270.6599998474121"
"1856000","273.7599983215332","273.7599983215332","273.7599983215332"
"1920000","302.8999900817871","302.8999900817871","302.8999900817871"
"1984000","337.2000045776367","337.2000045776367","337.2000045776367"
"2048000","353.439998626709","353.439998626709","353.439998626709"
"2112000","366.4700012207031","366.4700012207031","366.4700012207031"
"2176000","377","377","377"
"2240000","392.76000213623047","392.76000213623047","392.76000213623047"
"2304000","418.87999725341797","418.87999725341797","418.87999725341797"
"2368000","444.9100036621094","444.9100036621094","444.9100036621094"
"2432000","449.0400085449219","449.0400085449219","449.0400085449219"
"2496000","463.15999603271484","463.15999603271484","463.15999603271484"
"2560000","488.5899963378906","488.5899963378906","488.5899963378906"
"2624000","494.6000061035156","494.6000061035156","494.6000061035156"
"2688000","500.59000396728516","500.59000396728516","500.59000396728516"
"2752000","504.2000045776367","504.2000045776367","504.2000045776367"
"2816000","509.8699951171875","509.8699951171875","509.8699951171875"
"2880000","518.7200012207031","518.7200012207031","518.7200012207031"
"2944000","542.2700042724609","542.2700042724609","542.2700042724609"
"3008000","523.7200012207031","523.7200012207031","523.7200012207031"
"3072000","528.0799942016602","528.0799942016602","528.0799942016602"
"3136000","540.1499938964844","540.1499938964844","540.1499938964844"
"3200000","544.8899993896484","544.8899993896484","544.8899993896484"
"3264000","547.4300003051758","547.4300003051758","547.4300003051758"
"3328000","561.1300048828125","561.1300048828125","561.1300048828125"
"3392000","541.1300048828125","541.1300048828125","541.1300048828125"
"3456000","549.7899932861328","549.7899932861328","549.7899932861328"
"3520000","563.4199981689453","563.4199981689453","563.4199981689453"
"3584000","555.7400054931641","555.7400054931641","555.7400054931641"
"3648000","566.8299942016602","566.8299942016602","566.8299942016602"
"3712000","582.2300033569336","582.2300033569336","582.2300033569336"
"3776000","577.1500015258789","577.1500015258789","577.1500015258789"
"3840000","569","569","569"
"3904000","580.4400024414062","580.4400024414062","580.4400024414062"
"3968000","587.0999908447266","587.0999908447266","587.0999908447266"
"4032000","585.3199996948242","585.3199996948242","585.3199996948242"
"4096000","589.3400039672852","589.3400039672852","589.3400039672852"
"4160000","593.2299957275391","593.2299957275391","593.2299957275391"
"4224000","586.9399948120117","586.9399948120117","586.9399948120117"
"4288000","590.7699966430664","590.7699966430664","590.7699966430664"
"4352000","600.370002746582","600.370002746582","600.370002746582"
"4416000","595.1500091552734","595.1500091552734","595.1500091552734"
"4480000","587.6199951171875","587.6199951171875","587.6199951171875"
"4544000","591.6999893188477","591.6999893188477","591.6999893188477"
"4608000","602.0100021362305","602.0100021362305","602.0100021362305"
"4672000","606.8999938964844","606.8999938964844","606.8999938964844"
"4736000","600.1100082397461","600.1100082397461","600.1100082397461"
"4800000","603.1800079345703","603.1800079345703","603.1800079345703"
"4864000","607.760009765625","607.760009765625","607.760009765625"
"4928000","605.2099990844727","605.2099990844727","605.2099990844727"
"4992000","619.1300048828125","619.1300048828125","619.1300048828125"
"5056000","608.8399963378906","608.8399963378906","608.8399963378906"
"5120000","621.0600128173828","621.0600128173828","621.0600128173828"
"5184000","616.1800079345703","616.1800079345703","616.1800079345703"
"5248000","609.8899993896484","609.8899993896484","609.8899993896484"
"5312000","617.6899948120117","617.6899948120117","617.6899948120117"
"5376000","625.6700057983398","625.6700057983398","625.6700057983398"
"5440000","628.7299957275391","628.7299957275391","628.7299957275391"
"5504000","633.3800048828125","633.3800048828125","633.3800048828125"
"5568000","628.120002746582","628.120002746582","628.120002746582"
"5632000","616.0099945068359","616.0099945068359","616.0099945068359"
"5696000","633.8300018310547","633.8300018310547","633.8300018310547"
"5760000","632.3100051879883","632.3100051879883","632.3100051879883"
"5824000","625.609992980957","625.609992980957","625.609992980957"
"5888000","635.8200073242188","635.8200073242188","635.8200073242188"
"5952000","646.4999923706055","646.4999923706055","646.4999923706055"
"6016000","642.9999923706055","642.9999923706055","642.9999923706055"
"6080000","640.8000030517578","640.8000030517578","640.8000030517578"
"6144000","631.7699966430664","631.7699966430664","631.7699966430664"
"6208000","626.3000030517578","626.3000030517578","626.3000030517578"
"6272000","651.02001953125","651.02001953125","651.02001953125"
"6336000","641.4999923706055","641.4999923706055","641.4999923706055"
"6400000","631.3000106811523","631.3000106811523","631.3000106811523"
"6464000","649.4399948120117","649.4399948120117","649.4399948120117"
"6528000","654.7199935913086","654.7199935913086","654.7199935913086"
"6592000","649.6100082397461","649.6100082397461","649.6100082397461"
"6656000","654.9499893188477","654.9499893188477","654.9499893188477"
"6720000","653.6000061035156","653.6000061035156","653.6000061035156"
"6784000","652.1700057983398","652.1700057983398","652.1700057983398"
"6848000","651.3300018310547","651.3300018310547","651.3300018310547"
"6912000","646.6800003051758","646.6800003051758","646.6800003051758"
"6976000","647.2200088500977","647.2200088500977","647.2200088500977"
"7040000","655.6099853515625","655.6099853515625","655.6099853515625"
"7104000","651.8700103759766","651.8700103759766","651.8700103759766"
"7168000","633.379997253418","633.379997253418","633.379997253418"
"7232000","641.1499862670898","641.1499862670898","641.1499862670898"
"7296000","653.1000061035156","653.1000061035156","653.1000061035156"
"7360000","651.9100036621094","651.9100036621094","651.9100036621094"
"7424000","647.8199920654297","647.8199920654297","647.8199920654297"
"7488000","640.9100112915039","640.9100112915039","640.9100112915039"
"7552000","642.6699905395508","642.6699905395508","642.6699905395508"
"7616000","657.7400054931641","657.7400054931641","657.7400054931641"
"7680000","654.150016784668","654.150016784668","654.150016784668"
"7744000","647.1399993896484","647.1399993896484","647.1399993896484"
"7808000","659.1600036621094","659.1600036621094","659.1600036621094"
"7872000","666.1200103759766","666.1200103759766","666.1200103759766"
"7936000","657.7000045776367","657.7000045776367","657.7000045776367"
"8000000","658.8300018310547","658.8300018310547","658.8300018310547"
"8064000","655.7399978637695","655.7399978637695","655.7399978637695"
"8128000","669.5000076293945","669.5000076293945","669.5000076293945"
"8192000","665.8300018310547","665.8300018310547","665.8300018310547"
"8256000","666.3700103759766","666.3700103759766","666.3700103759766"
"8320000","662.8500061035156","662.8500061035156","662.8500061035156"
"8384000","658.7000122070312","658.7000122070312","658.7000122070312"
"8448000","667.6500015258789","667.6500015258789","667.6500015258789"
"8512000","666.5999984741211","666.5999984741211","666.5999984741211"
"8576000","661.0599975585938","661.0599975585938","661.0599975585938"
"8640000","657.3299865722656","657.3299865722656","657.3299865722656"
"8704000","666.4200134277344","666.4200134277344","666.4200134277344"
"8768000","675.5600128173828","675.5600128173828","675.5600128173828"
"8832000","667.4900054931641","667.4900054931641","667.4900054931641"
"8896000","654.3800048828125","654.3800048828125","654.3800048828125"
"8960000","659.9500045776367","659.9500045776367","659.9500045776367"
"9024000","662.0199966430664","662.0199966430664","662.0199966430664"
"9088000","669.0499954223633","669.0499954223633","669.0499954223633"
"9152000","676.5499954223633","676.5499954223633","676.5499954223633"
"9216000","670.8700180053711","670.8700180053711","670.8700180053711"
