"Step","harvest_cbambaseline - SW_ep_rew_total","harvest_cbambaseline - SW_ep_rew_total__MIN","harvest_cbambaseline - SW_ep_rew_total__MAX"
"64000","-4058.421875","-4058.421875","-4058.421875"
"128000","-3472.0199584960938","-3472.0199584960938","-3472.0199584960938"
"192000","-2822.7200317382812","-2822.7200317382812","-2822.7200317382812"
"256000","-2420.8999938964844","-2420.8999938964844","-2420.8999938964844"
"320000","-1971.9299926757812","-1971.9299926757812","-1971.9299926757812"
"384000","-1552.6099853515625","-1552.6099853515625","-1552.6099853515625"
"448000","-1213.6900024414062","-1213.6900024414062","-1213.6900024414062"
"512000","-937.2099914550781","-937.2099914550781","-937.2099914550781"
"576000","-747.9499969482422","-747.9499969482422","-747.9499969482422"
"640000","-610.3300094604492","-610.3300094604492","-610.3300094604492"
"704000","-519.7399978637695","-519.7399978637695","-519.7399978637695"
"768000","-496.2199935913086","-496.2199935913086","-496.2199935913086"
"832000","-449.26000213623047","-449.26000213623047","-449.26000213623047"
"896000","-410.4100036621094","-410.4100036621094","-410.4100036621094"
"960000","-328.54000091552734","-328.54000091552734","-328.54000091552734"
"1024000","-291.60000228881836","-291.60000228881836","-291.60000228881836"
"1088000","-239.8400001525879","-239.8400001525879","-239.8400001525879"
"1152000","-190.84000205993652","-190.84000205993652","-190.84000205993652"
"1216000","-145.3799991607666","-145.3799991607666","-145.3799991607666"
"1280000","-168.72999954223633","-168.72999954223633","-168.72999954223633"
"1344000","-109.45000076293945","-109.45000076293945","-109.45000076293945"
"1408000","-130.06999969482422","-130.06999969482422","-130.06999969482422"
"1472000","-90.42999839782715","-90.42999839782715","-90.42999839782715"
"1536000","-67.59999942779541","-67.59999942779541","-67.59999942779541"
"1600000","-35.3100004196167","-35.3100004196167","-35.3100004196167"
"1664000","-29.71999979019165","-29.71999979019165","-29.71999979019165"
"1728000","-10.470000714063644","-10.470000714063644","-10.470000714063644"
"1792000","16.490000009536743","16.490000009536743","16.490000009536743"
"1856000","31.21000051498413","31.21000051498413","31.21000051498413"
"1920000","35.34000039100647","35.34000039100647","35.34000039100647"
"1984000","42.540000200271606","42.540000200271606","42.540000200271606"
"2048000","64.21999883651733","64.21999883651733","64.21999883651733"
"2112000","83.48999881744385","83.48999881744385","83.48999881744385"
"2176000","77.36000061035156","77.36000061035156","77.36000061035156"
"2240000","87.69999980926514","87.69999980926514","87.69999980926514"
"2304000","98.25000095367432","98.25000095367432","98.25000095367432"
"2368000","103.19999980926514","103.19999980926514","103.19999980926514"
"2432000","113.17000007629395","113.17000007629395","113.17000007629395"
"2496000","116.01999855041504","116.01999855041504","116.01999855041504"
"2560000","119.86999893188477","119.86999893188477","119.86999893188477"
"2624000","121.07999801635742","121.07999801635742","121.07999801635742"
"2688000","121.82000160217285","121.82000160217285","121.82000160217285"
"2752000","122.1299991607666","122.1299991607666","122.1299991607666"
"2816000","120.62000274658203","120.62000274658203","120.62000274658203"
"2880000","121.05999946594238","121.05999946594238","121.05999946594238"
"2944000","127.85000038146973","127.85000038146973","127.85000038146973"
"3008000","134.76999855041504","134.76999855041504","134.76999855041504"
"3072000","134.29999923706055","134.29999923706055","134.29999923706055"
"3136000","133.36000061035156","133.36000061035156","133.36000061035156"
"3200000","137.88999938964844","137.88999938964844","137.88999938964844"
"3264000","138.87999725341797","138.87999725341797","138.87999725341797"
"3328000","140.22000122070312","140.22000122070312","140.22000122070312"
"3392000","140.4300022125244","140.4300022125244","140.4300022125244"
"3456000","142.39000129699707","142.39000129699707","142.39000129699707"
"3520000","142.02999877929688","142.02999877929688","142.02999877929688"
"3584000","146.00000190734863","146.00000190734863","146.00000190734863"
"3648000","147.27000045776367","147.27000045776367","147.27000045776367"
"3712000","147.0199966430664","147.0199966430664","147.0199966430664"
"3776000","143.68000030517578","143.68000030517578","143.68000030517578"
"3840000","143.17999839782715","143.17999839782715","143.17999839782715"
"3904000","145.1400032043457","145.1400032043457","145.1400032043457"
"3968000","145.31999969482422","145.31999969482422","145.31999969482422"
"4032000","145.69999885559082","145.69999885559082","145.69999885559082"
"4096000","145.2599983215332","145.2599983215332","145.2599983215332"
"4160000","146.23000144958496","146.23000144958496","146.23000144958496"
"4224000","145.70999717712402","145.70999717712402","145.70999717712402"
"4288000","146.80999946594238","146.80999946594238","146.80999946594238"
"4352000","148.75000190734863","148.75000190734863","148.75000190734863"
"4416000","148.54000282287598","148.54000282287598","148.54000282287598"
"4480000","148.63000297546387","148.63000297546387","148.63000297546387"
"4544000","151.18000030517578","151.18000030517578","151.18000030517578"
"4608000","152.0699977874756","152.0699977874756","152.0699977874756"
"4672000","152.0900001525879","152.0900001525879","152.0900001525879"
