Step,lbf15_cbaminequity_aversion - rollout/ep_rew_mean,lbf15_cbaminequity_aversion - rollout/ep_rew_mean__MIN,lbf15_cbaminequity_aversion - rollout/ep_rew_mean__MAX
256002,-1.626000165939331,-1.626000165939331,-1.626000165939331
512002,-1.78600001335144,-1.78600001335144,-1.78600001335144
768002,-0.9220001697540283,-0.9220001697540283,-0.9220001697540283
1024002,-1.8559999465942383,-1.8559999465942383,-1.8559999465942383
1280002,-0.7465002536773682,-0.7465002536773682,-0.7465002536773682
1536002,-1.067000150680542,-1.067000150680542,-1.067000150680542
1792002,-1.5210003852844238,-1.5210003852844238,-1.5210003852844238
2048002,-1.4744997024536133,-1.4744997024536133,-1.4744997024536133
2304002,-1.3624999523162842,-1.3624999523162842,-1.3624999523162842
2560002,-0.876500129699707,-0.876500129699707,-0.876500129699707
2816002,-0.3429999351501465,-0.3429999351501465,-0.3429999351501465
3072002,-1.498999834060669,-1.498999834060669,-1.498999834060669
3328002,-0.7120001316070561,-0.7120001316070561,-0.7120001316070561
3584002,-0.559999942779541,-0.559999942779541,-0.559999942779541
3840002,-2.509000301361084,-2.509000301361084,-2.509000301361084
4096002,-0.14149999618530273,-0.14149999618530273,-0.14149999618530273
4352002,-0.9615001678466801,-0.9615001678466801,-0.9615001678466801
4608002,-0.744499921798706,-0.744499921798706,-0.744499921798706
4864002,-1.8690001964569092,-1.8690001964569092,-1.8690001964569092
5120002,-1.6389999389648442,-1.6389999389648442,-1.6389999389648442
5376002,-1.2574996948242188,-1.2574996948242188,-1.2574996948242188
5632002,-0.994499921798706,-0.994499921798706,-0.994499921798706
5888002,-0.8565001487731934,-0.8565001487731934,-0.8565001487731934
6144002,-1.2115001678466801,-1.2115001678466801,-1.2115001678466801
6400002,-1.0470001697540283,-1.0470001697540283,-1.0470001697540283
6656002,-2.171999931335449,-2.171999931335449,-2.171999931335449
6912002,-0.3234996795654297,-0.3234996795654297,-0.3234996795654297
7168002,-0.7644999027252202,-0.7644999027252202,-0.7644999027252202
7424002,-0.9614999294281006,-0.9614999294281006,-0.9614999294281006
7680002,-1.4035000801086426,-1.4035000801086426,-1.4035000801086426
7936002,-0.24449968338012695,-0.24449968338012695,-0.24449968338012695
8192002,-2.262500286102295,-2.262500286102295,-2.262500286102295
8448002,-0.2774999141693115,-0.2774999141693115,-0.2774999141693115
8704002,-0.21150016784668013,-0.21150016784668013,-0.21150016784668013
8960002,0.0644998550415039,0.0644998550415039,0.0644998550415039
9216002,-1.1590001583099365,-1.1590001583099365,-1.1590001583099365
9472002,-0.626000165939331,-0.626000165939331,-0.626000165939331
9728002,-0.5864999294281006,-0.5864999294281006,-0.5864999294281006
9984002,-1.9124996662139888,-1.9124996662139888,-1.9124996662139888
10240002,-0.09999990463256836,-0.09999990463256836,-0.09999990463256836
10496002,-2.191499710083008,-2.191499710083008,-2.191499710083008
10752002,-4.134500026702881,-4.134500026702881,-4.134500026702881
11008002,0.06450033187866211,0.06450033187866211,0.06450033187866211
11264002,-0.36999988555908203,-0.36999988555908203,-0.36999988555908203
11520002,0.01850008964538552,0.01850008964538552,0.01850008964538552
11776002,-0.211999893188477,-0.211999893188477,-0.211999893188477
12032002,-0.48799967765808105,-0.48799967765808105,-0.48799967765808105
12288002,-0.5605001449584961,-0.5605001449584961,-0.5605001449584961
12544002,-0.053999900817871094,-0.053999900817871094,-0.053999900817871094
12800002,-0.35650014877319336,-0.35650014877319336,-0.35650014877319336
13056002,-1.0210001468658447,-1.0210001468658447,-1.0210001468658447
13312002,-4.124500274658203,-4.124500274658203,-4.124500274658203
13568002,-5.567999362945557,-5.567999362945557,-5.567999362945557
13824002,-1.0935001373291016,-1.0935001373291016,-1.0935001373291016
14080002,-4.183499336242676,-4.183499336242676,-4.183499336242676
14336002,-0.560499906539917,-0.560499906539917,-0.560499906539917
14592002,-5.085000514984131,-5.085000514984131,-5.085000514984131
14848002,-1.435500144958496,-1.435500144958496,-1.435500144958496
15104002,-4.661499500274658,-4.661499500274658,-4.661499500274658
15360002,-1.435999870300293,-1.435999870300293,-1.435999870300293
15616002,-1.3924999237060547,-1.3924999237060547,-1.3924999237060547
15872002,-1.053999900817871,-1.053999900817871,-1.053999900817871
16128002,-1.2865002155303955,-1.2865002155303955,-1.2865002155303955
16384002,-0.9840002059936523,-0.9840002059936523,-0.9840002059936523
16640002,-1.6729998588562012,-1.6729998588562012,-1.6729998588562012
16896002,-0.7514998912811279,-0.7514998912811279,-0.7514998912811279
17152002,-1.1285004615783691,-1.1285004615783691,-1.1285004615783691
17408002,-6.635998725891113,-6.635998725891113,-6.635998725891113
17664002,-0.9774999618530278,-0.9774999618530278,-0.9774999618530278
17920002,-0.574000358581543,-0.574000358581543,-0.574000358581543
18176002,-1.2974998950958252,-1.2974998950958252,-1.2974998950958252
18432002,-4.011499404907227,-4.011499404907227,-4.011499404907227
18688002,-1.435999870300293,-1.435999870300293,-1.435999870300293
18944002,-4.695499897003174,-4.695499897003174,-4.695499897003174
19200002,-3.1559996604919434,-3.1559996604919434,-3.1559996604919434
19456002,-0.6420001983642578,-0.6420001983642578,-0.6420001983642578
19712002,-6.260499954223633,-6.260499954223633,-6.260499954223633
19968002,-4.83650016784668,-4.83650016784668,-4.83650016784668
20224002,-5.369999885559082,-5.369999885559082,-5.369999885559082
