"Step","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_baseline_1 - SW_ep_rew_mean","Group: coin3_baseline_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_1 - SW_ep_rew_mean__MAX","Group: coin3_baseline_independent_1 - SW_ep_rew_mean","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MAX"
"48000","","","","","","","","","","","","","","","","-1.8600000341733296","-1.8600000341733296","-1.8600000341733296"
"64000","-0.2600000699361165","-0.2600000699361165","-0.2600000699361165","-2.6800000270207724","-2.6800000270207724","-2.6800000270207724","-2.7966666618982954","-2.8999999364217124","-2.693333387374878","-2.7733333110809326","-2.7733333110809326","-2.7733333110809326","","","","","",""
"72000","","","","","","","","","","","","","-2.430000066757202","-2.430000066757202","-2.430000066757202","","",""
"96000","","","","","","","","","","","","","","","","-2.196666677792867","-2.196666677792867","-2.196666677792867"
"128000","-0.54666668176651","-0.54666668176651","-0.54666668176651","-3.136666754881541","-3.136666754881541","-3.136666754881541","-2.7316666642824807","-2.9266666571299234","-2.536666671435038","-2.6233333746592202","-2.6233333746592202","-2.6233333746592202","","","","","",""
"144000","","","","","","","","","","","","","-2.490000009536743","-2.490000009536743","-2.490000009536743","-2.3866666555404663","-2.3866666555404663","-2.3866666555404663"
"192000","-0.3399999936421712","-0.3399999936421712","-0.3399999936421712","-3.130000034968058","-3.130000034968058","-3.130000034968058","-2.8649999797344208","-3.136666695276896","-2.5933332641919455","-2.1999999632438025","-2.1999999632438025","-2.1999999632438025","","","","-2.4333332777023315","-2.4333332777023315","-2.4333332777023315"
"216000","","","","","","","","","","","","","-3.119999885559082","-3.119999885559082","-3.119999885559082","","",""
"240000","","","","","","","","","","","","","","","","-2.6133333444595337","-2.6133333444595337","-2.6133333444595337"
"256000","-0.5066667000452677","-0.5066667000452677","-0.5066667000452677","-2.2200000286102295","-2.2200000286102295","-2.2200000286102295","-2.766666665673256","-2.7733333905537925","-2.7599999407927194","-2.31666667945683","-2.31666667945683","-2.31666667945683","","","","","",""
