"Step","coin3_cbam_causal - SW_ep_rew_mean","coin3_cbam_causal - SW_ep_rew_mean__MIN","coin3_cbam_causal - SW_ep_rew_mean__MAX"
"64000","-2.8999999364217124","-2.8999999364217124","-2.8999999364217124"
"128000","-2.9266666571299234","-2.9266666571299234","-2.9266666571299234"
"192000","-2.5933332641919455","-2.5933332641919455","-2.5933332641919455"
"256000","-2.7733333905537925","-2.7733333905537925","-2.7733333905537925"
"320000","-2.9533333778381348","-2.9533333778381348","-2.9533333778381348"
"384000","-3.18666672706604","-3.18666672706604","-3.18666672706604"
"448000","-2.403333326180776","-2.403333326180776","-2.403333326180776"
"512000","-3.006666620572408","-3.006666620572408","-3.006666620572408"
"576000","-2.053333282470703","-2.053333282470703","-2.053333282470703"
"640000","-2.953333338101705","-2.953333338101705","-2.953333338101705"
"704000","-2.6466667453447976","-2.6466667453447976","-2.6466667453447976"
"768000","-2.246666649977366","-2.246666649977366","-2.246666649977366"
"832000","-2.7733333905537925","-2.7733333905537925","-2.7733333905537925"
"896000","-2.753333250681559","-2.753333250681559","-2.753333250681559"
"960000","-3.5466666221618652","-3.5466666221618652","-3.5466666221618652"
"1024000","-3.193333387374878","-3.193333387374878","-3.193333387374878"
"1088000","-2.623333295186361","-2.623333295186361","-2.623333295186361"
"1152000","-3.0466666221618652","-3.0466666221618652","-3.0466666221618652"
"1216000","-3.0300000508626304","-3.0300000508626304","-3.0300000508626304"
"1280000","-3.1466666062672934","-3.1466666062672934","-3.1466666062672934"
"1344000","-2.793333331743876","-2.793333331743876","-2.793333331743876"
"1408000","-2.8466667334238687","-2.8466667334238687","-2.8466667334238687"
"1472000","-3.0733333428700766","-3.0733333428700766","-3.0733333428700766"
"1536000","-3.0466667811075845","-3.0466667811075845","-3.0466667811075845"
"1600000","-3.099999984105428","-3.099999984105428","-3.099999984105428"
"1664000","-2.2300000389417014","-2.2300000389417014","-2.2300000389417014"
"1728000","-3.0200000603993735","-3.0200000603993735","-3.0200000603993735"
