"Step","coin3_baseline - SW_ep_rew_mean","coin3_baseline - SW_ep_rew_mean__MIN","coin3_baseline - SW_ep_rew_mean__MAX"
"48000","-1.8600000341733296","-1.8600000341733296","-1.8600000341733296"
"96000","-2.196666677792867","-2.196666677792867","-2.196666677792867"
"144000","-2.3866666555404663","-2.3866666555404663","-2.3866666555404663"
"192000","-2.4333332777023315","-2.4333332777023315","-2.4333332777023315"
"240000","-2.6133333444595337","-2.6133333444595337","-2.6133333444595337"
"288000","-2.859999934832255","-2.859999934832255","-2.859999934832255"
"336000","-2.7133333683013916","-2.7133333683013916","-2.7133333683013916"
"384000","-1.946666657924652","-1.946666657924652","-1.946666657924652"
"432000","-2.416666626930237","-2.416666626930237","-2.416666626930237"
"480000","-2.993333339691162","-2.993333339691162","-2.993333339691162"
"528000","-2.7266666889190674","-2.7266666889190674","-2.7266666889190674"
"576000","-2.3666666746139526","-2.3666666746139526","-2.3666666746139526"
"624000","-2.173333322008451","-2.173333322008451","-2.173333322008451"
"672000","-2.3266667226950326","-2.3266667226950326","-2.3266667226950326"
"720000","-2.3933332711458206","-2.3933332711458206","-2.3933332711458206"
"768000","-1.7600000103314717","-1.7600000103314717","-1.7600000103314717"
"816000","-2.086666656037172","-2.086666656037172","-2.086666656037172"
"864000","-1.4200000365575154","-1.4200000365575154","-1.4200000365575154"
"912000","-2.3866666220128536","-2.3866666220128536","-2.3866666220128536"
"960000","-2.486666679382324","-2.486666679382324","-2.486666679382324"
"1008000","-2.0666666676600776","-2.0666666676600776","-2.0666666676600776"
"1056000","-1.7800000111262004","-1.7800000111262004","-1.7800000111262004"
"1104000","-1.033333306511243","-1.033333306511243","-1.033333306511243"
"1152000","-1.7133332987626393","-1.7133332987626393","-1.7133332987626393"
"1200000","-1.526666725675265","-1.526666725675265","-1.526666725675265"
"1248000","-1.4800000861287117","-1.4800000861287117","-1.4800000861287117"
"1296000","-1.853333314259847","-1.853333314259847","-1.853333314259847"
"1344000","-1.8400000433127086","-1.8400000433127086","-1.8400000433127086"
"1392000","-1.6333333651224773","-1.6333333651224773","-1.6333333651224773"
"1440000","-2.2200000087420144","-2.2200000087420144","-2.2200000087420144"
"1488000","-1.3600000341733296","-1.3600000341733296","-1.3600000341733296"
"1536000","-1.399999996026357","-1.399999996026357","-1.399999996026357"
"1584000","-2.9199999968210855","-2.9199999968210855","-2.9199999968210855"
"1632000","-1.4733333860834439","-1.4733333860834439","-1.4733333860834439"
"1680000","-1.6466666956742604","-1.6466666956742604","-1.6466666956742604"
"1728000","-1.7666666309038799","-1.7666666309038799","-1.7666666309038799"
"1776000","-1.0466666022936504","-1.0466666022936504","-1.0466666022936504"
"1824000","-1.0266666809717815","-1.0266666809717815","-1.0266666809717815"
"1872000","-1.1733332773049672","-1.1733332773049672","-1.1733332773049672"
"1920000","-1.1600000113248825","-1.1600000113248825","-1.1600000113248825"
"1968000","-1.3133333524068196","-1.3133333524068196","-1.3133333524068196"
"2016000","-0.9133333365122477","-0.9133333365122477","-0.9133333365122477"
"2064000","-1.4333334068457286","-1.4333334068457286","-1.4333334068457286"
"2112000","-1.5866667032241821","-1.5866667032241821","-1.5866667032241821"
"2160000","-1.2533332705497742","-1.2533332705497742","-1.2533332705497742"
"2208000","-1.2399999300638835","-1.2399999300638835","-1.2399999300638835"
"2256000","-1.2600000395129125","-1.2600000395129125","-1.2600000395129125"
"2304000","-0.7733333458503088","-0.7733333458503088","-0.7733333458503088"
"2352000","-0.6799999276796976","-0.6799999276796976","-0.6799999276796976"
"2400000","-0.9666667431592941","-0.9666667431592941","-0.9666667431592941"
"2448000","-1.6333332657814026","-1.6333332657814026","-1.6333332657814026"
"2496000","-2.00000007947286","-2.00000007947286","-2.00000007947286"
"2544000","-0.9466666777928671","-0.9466666777928671","-0.9466666777928671"
"2592000","-1.0133334050575893","-1.0133334050575893","-1.0133334050575893"
"2640000","-1.5266666412353516","-1.5266666412353516","-1.5266666412353516"
"2688000","-0.6400000055631002","-0.6400000055631002","-0.6400000055631002"
"2736000","-0.28666673103968304","-0.28666673103968304","-0.28666673103968304"
"2784000","-0.7133332292238871","-0.7133332292238871","-0.7133332292238871"
